sample	MEgreen	MEmagenta	MEpink	MEred	MEblue	MEturquoise	MEblack	MEbrown	MEyellow	MEgrey
LV3003047167	-0.0547172360603222	-0.0270718704975624	0.000403405380581332	-0.02714804594161	-0.0118231247002227	-0.0181954876293414	-0.0589574165188726	-0.0216951476229724	-0.0280625174716344	-0.0255094298704158
LV3003047154	-0.0359090365158916	-0.0298954588238713	-0.037942051606522	-0.0251166533808776	0.00896752760522897	0.0169919161311565	-0.0532221571385092	-0.0466263016731229	-0.0291619811492126	-0.0244806382981039
LV3003047142	-0.055891456816417	-0.0298954588238713	0.0152224171932482	-0.0222629621460003	0.00843458005553944	-0.012582281168864	-0.050658158165274	-0.002327520705311	-0.0219599482617726	-0.0295566967483546
LV3003047129	-0.0546145568021265	-0.0272944538233622	0.110151271089265	-0.0174313268466964	0.040982738844079	0.0177940917260143	-0.0386933513135555	0.0256423562165082	-0.023607884089439	-0.0240650635619561
LV3003047113	-0.0499499357838743	-0.0298954588238713	0.146860749703195	-0.010610032141509	0.0625430305077023	0.0394770179888975	0.00458589073418225	0.0519267101408953	-0.022753263998817	-0.0233088474655836
LV3003047096	-0.0527998072996641	-0.0298954588238713	0.15402606802973	-0.0180283831123593	0.0436528427473279	0.0257117755570381	-0.0312319980167643	0.0265641355513411	-0.0237121376388508	-0.0183763973241836
LV3003047083	-0.0418511853847688	-0.0298954588238713	0.0061791571426972	-0.0298883107202878	0.0188328732150874	0.0211935323554224	-0.0489038297216635	-0.037833063018735	-0.0286340960539221	-0.0281751619962928
LV3003047068	-0.0506270579683948	-0.0298954588238713	-0.0138068805538163	-0.0271518603610611	0.0214537171864998	0.0214238833967652	-0.0551957102634826	-0.031560414947337	-0.0286569257893552	-0.0252370568763766
LV3003047166	-0.0256248223543568	-0.0298954588238713	0.031007355466545	-0.0263873825682028	0.0442566371661418	0.0298760657774363	-0.0429548199865599	0.00482444166595098	-0.0256138697793297	-0.0248327572483162
LV3003047153	-0.0272292369912798	-0.0298954588238713	0.0141315338127152	-0.0265081824165711	0.041792487503447	0.0357360297009868	-0.0471549595358898	-0.00296149918084849	-0.0268890885350437	-0.0290695954823418
LV3003047141	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.03183786655258	-0.131492846461656	-0.17392301903663	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0303204357459231
LV3003047128	-0.0557082697474454	-0.0247391883163485	0.082626438717949	-0.0216431765114771	0.0379963653793504	0.0173079759463965	-0.0202869176273626	0.0345038465835184	-0.0194892492756161	-0.0257148656543079
LV3003047112	-0.0400757463776996	-0.0298954588238713	-0.0196676018562488	-0.0280527768911505	0.0406165323739055	0.0269352164186482	-0.0251384186971278	-0.0084618523809432	-0.0291640303024549	-0.027743196815466
LV3003047095	-0.0302050405460973	-0.0298954588238713	-0.0320254428895327	-0.0276968693205236	0.00349687388503125	0.0181327529056824	-0.0511359095762859	-0.0505716144506581	-0.0274223358512848	-0.0222840417340183
LV3003047082	-0.0447712141246171	-0.0247763661212702	-0.0309103116003775	-0.0284578725515541	-0.0107047454214208	0.00469370209009323	-0.0532853267066056	-0.0527455062156942	-0.0316787096187054	-0.0238902042959272
LV3003047067	-0.0152563661965192	-0.0298954588238713	0.0139495822033657	-0.0159151973302249	0.0511032362142228	0.0337994294370198	-0.00509827564459907	7.74755987839888e-05	-0.0299590242423255	-0.028622458925106
LV3003047164	-0.0515172635492259	-0.0298954588238713	-0.00252930541618455	-0.031165456037402	-0.00729171000191721	0.000498660207261523	-0.0570524451602155	-0.0404930007823992	-0.0306249851798889	-0.0222056434245241
LV3003047152	-0.021532233681342	-0.0244712308560926	-0.00786701149108406	-0.0283819743560295	0.030744334334932	0.0225214601212208	-0.0493450575544377	-0.0313327467664305	-0.029591523191588	-0.023761753494161
LV3003047140	-0.057152085634216	-0.0298954588238713	-0.043194176911056	-0.033329110812266	-0.102369634393336	-0.122406520725274	-0.0589574165188726	-0.0625409469160997	-0.0325307865357179	-0.0304029182133899
LV3003047127	-0.057152085634216	-0.0298954588238713	-0.0433163064804582	-0.0270546330123945	-0.0851730249091222	-0.0496089366653539	-0.0589574165188726	-0.0606060791159288	-0.0313678227111089	-0.0200155199810324
LV3003047110	-0.0524803165402102	-0.0298954588238713	-0.0351861129456345	-0.0314726913103774	-0.0257050571004428	-0.00695918838756389	-0.0532908516698611	-0.0514158625937254	-0.0325307865357179	-0.024749542075747
LV3003047094	-0.0154556776489535	-0.0298954588238713	-0.0240466038681941	-0.0302393722490802	0.00206145951638547	0.0223551103015254	-0.0436784869831614	-0.0491513054249426	-0.0314224703963045	-0.0163055953583203
LV3003047081	-0.0308616676839901	-0.0224055342481165	-0.00442089640484647	-0.0224395432446437	0.0313392872362713	0.0211133949445656	-0.0237452703809806	-0.00386960669453104	-0.0227813271433951	-0.0264935229380328
LV3003047065	-0.0527938310969202	-0.0298954588238713	-0.0466096198164225	-0.0172513898391517	-0.0681611326201864	-0.0585546592555746	-0.0544109037740996	-0.0459102122038189	-0.0209223650825242	-0.021220321476455
LV3003047161	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.033329110812266	-0.12953487257104	-0.176091020733394	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0297177199242019
LV3003047160	-0.057152085634216	-0.0298954588238713	-0.0466096198164225	-0.0326359778638138	-0.134746081285443	-0.182086815817399	-0.0589574165188726	-0.0624782672333587	-0.0325307865357179	-0.0285261502426173
LV3003047159	-0.0262589773358451	-0.0274323788899254	-0.0434961358416219	-0.027611511777314	-0.0313609375965564	-0.00041866134702615	-0.0512195702580567	-0.0517820196993232	-0.0325307865357179	-0.0271531887576948
LV3003047158	-0.0544680543340876	-0.0268129287501786	-0.0408662420644032	-0.0251301944623382	-0.00229786110653812	-0.0279136875871982	-0.057154012055492	-0.0169370170379242	-0.0299646305813747	-0.0271922218831713
LV3003047139	-0.0557474535391172	-0.0270410779443747	-0.0466096198164225	-0.0262910364840963	-0.00570767442477749	-0.0237315974980209	-0.0571859299582006	-0.0198399278278611	-0.0305267082162591	-0.027766717827769
LV3003047150	-0.0512834993965377	-0.0217468069371972	-0.0404821713758208	-0.0176975784237089	0.0381502734499859	0.015637852448476	-0.0290746702325671	0.0224126709518892	-0.0237597969647452	-0.0245514622403948
LV3003047149	-0.045329173090136	-0.0298954588238713	-0.0466096198164225	-0.0223227287741596	-0.029450492264136	-0.00298885475989013	-0.0556433354836471	-0.0488106054881245	-0.0310926607164953	-0.0256268526025127
LV3003047148	-0.0501679045202071	-0.0298954588238713	-0.0466096198164225	-0.021122473911445	-0.0120506477600481	0.00541773967681956	-0.0573064751812091	-0.0426853525146516	-0.0298256753436126	-0.01433324183718
LV3003047147	-0.0513019390484718	-0.0298954588238713	-0.0466096198164225	-0.0234925449445884	0.00960179934499786	0.00344097548988362	-0.0486371687926374	-0.0274671599038379	-0.0277818216520052	-0.0227921113775103
LV3003047146	-0.0423304266261079	-0.0271984736804858	-0.0264164708518437	-0.01676194689625	0.0487932706819824	0.0334702272884893	-0.00193173863885666	0.0337713275430718	-0.0250638366031394	-0.0238336266418919
LV3003047126	-0.0497783557921646	-0.0298954588238713	-0.0408839831246076	-0.0324675334541768	-0.0234774514958611	-0.00123671197716937	-0.0555577294404947	-0.0483844440854598	-0.0306357446405619	-0.0247248244047322
LV3003047138	0.0276794296006561	-0.0160054183387836	-0.0432034321277051	-0.0300058773941178	-0.0393233117458286	0.0145145942283906	-0.0494657725968896	-0.0575631501380306	-0.0313949090218825	-0.015459789183849
LV3003047137	-0.0517207389425503	-0.0273928493221513	-0.0309546754592496	-0.0217862227438906	-0.0363913923521169	-0.0368237092739672	-0.0573426978178261	-0.0407916626413427	-0.0301860346830447	-0.015287375245352
LV3003047136	0.0824989737516616	-0.0236893748156497	-0.0466096198164225	-0.02984821797882	-0.0154108619796353	0.0230694034544901	-0.0344523152460478	-0.0478569104839268	-0.0314681467700665	-0.0165629299431149
LV3003047134	0.123959707832221	0.027182610900201	-0.0466096198164225	-0.0301814882583297	-0.0565695826141298	0.0025274130917905	-0.0257090739081038	-0.0597839793377876	-0.0286360981990821	-0.0113683750302273
LV3003047133	-0.0141147763237945	-0.0298954588238713	-0.026378132632102	-0.0323149858607028	-0.0170930762558555	0.0188543509268358	-0.0571568948810307	-0.0583459487191194	-0.0325307865357179	-0.0103076271368592
LV3003047107	-0.00790490145934006	-0.0298954588238713	-0.0380585777838882	-0.0282059197030751	-0.0094290446334895	0.0262287908281727	-0.0481045840407781	-0.0501736600993683	-0.0325307865357179	-0.009605926213286
LV3003047125	-0.0323181510362933	-0.0298954588238713	-0.0466096198164225	-0.033329110812266	-0.0986950061242312	-0.0442360157635059	-0.0589574165188726	-0.0617417560552541	-0.0325307865357179	-0.0210169071748441
LV3003047124	-0.0557514830507643	-0.0298954588238713	-0.0466096198164225	-0.0265089972422261	-0.108309706182559	-0.116835045838931	-0.0573257497188954	-0.0576502963917948	-0.0315970003130713	-0.0189940251633271
LV3003047123	-0.0557882105219077	-0.0272480615268703	-0.0466096198164225	-0.0323395592161369	-0.122912214263324	-0.143348600898307	-0.0589574165188726	-0.0593098695441343	-0.0325307865357179	-0.0268767977343232
LV3003047122	-0.057152085634216	-0.026854032931561	-0.0466096198164225	-0.0309139489556894	-0.10715840028004	-0.121321251443817	-0.0589574165188726	-0.0625886636348463	-0.0325307865357179	-0.0217672716001602
LV3003047093	0.0795440333598977	-0.0298954588238713	-0.0466096198164225	-0.0304083875577393	-0.0438127123481142	0.0233852088323592	-0.0298247099632827	-0.061523505026963	-0.0317371194462261	0.00169515519152345
LV3003047106	-0.0351266620061735	-0.0298954588238713	-0.0466096198164225	-0.031816103228847	-0.0934632881708165	-0.0286527174967015	-0.0589574165188726	-0.06258564729788	-0.0325307865357179	0.00422281501719165
LV3003047105	-0.0557288838724253	-0.0298954588238713	-0.0466096198164225	-0.033329110812266	-0.12195540601539	-0.116936330536658	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0218149688293418
LV3003047104	-0.0516115141637761	-0.0298954588238713	-0.0466096198164225	-0.033329110812266	-0.115651470601292	-0.108320149073209	-0.0589574165188726	-0.0625104672378634	-0.0325307865357179	-0.0193894882893277
