core	mg	al	si	p	s	cl	ar	k	ca	ti	v	cr	mn	fe	ni	cu	zn	ge	as	se	br	rb	sr	y	zr	nb	mo	sn	sb	ba	la	ce	nd	sm	eu	tm	yb	hg	pb	at	u	depth_in_core_cm	ga	ru	bi	ag	cd	te	y_bp
GeoB25202	79	962	10242	146	1235	25615	NA	5659	36789	12931	NA	119	1614	86522	2472	366	514	NA	NA	NA	1412	861	6626	NA	4355	845	367	1268	NA	1337	NA	NA	NA	NA	NA	NA	NA	NA	56	NA	NA	52	86	18924	43	151216	68	865	12942
GeoB25202	71	723	8134	84	1431	28252	NA	5755	37538	14540	NA	303	1499	91710	2489	371	483	NA	NA	NA	1372	1183	6616	NA	4544	744	504	2276	NA	707	NA	NA	NA	NA	NA	NA	NA	NA	56	NA	NA	53	109	18774	34	151027	94	591	13298
GeoB25202	65	770	8537	153	1274	27070	NA	4847	38356	16034	NA	322	1733	96587	2573	242	454	NA	NA	NA	1423	1454	6620	NA	4547	705	229	1151	NA	1928	NA	NA	NA	NA	NA	NA	NA	NA	53	NA	NA	54	112	19219	34	151265	46	960	13628
GeoB25202	72	759	8127	131	1478	28603	NA	5653	35281	13622	NA	201	1404	90243	2488	255	537	NA	NA	NA	1549	1848	7376	NA	5330	694	136	1027	NA	2053	NA	NA	NA	NA	NA	NA	NA	NA	51	NA	NA	55	141	19313	30	151636	107	769	13957
GeoB25202	59	628	6765	96	1417	29389	NA	4969	30666	11161	NA	18	1377	80877	2395	286	491	NA	NA	NA	1596	1618	7219	NA	5004	513	113	1141	NA	1855	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	56	93	19674	46	152162	62	721	14491
GeoB25202	74	737	7540	114	1478	29087	NA	6215	33150	11078	NA	79	1187	78849	2520	282	528	NA	NA	NA	1562	1615	7077	NA	5232	1008	61	1149	NA	1611	NA	NA	NA	NA	NA	NA	NA	NA	54	NA	NA	57	89	19393	28	152270	124	869	15050
GeoB25202	67	694	8068	85	1293	26894	NA	6186	32474	10764	NA	189	1329	73555	2471	311	540	NA	NA	NA	1705	1509	7021	NA	4864	814	236	1017	NA	1671	NA	NA	NA	NA	NA	NA	NA	NA	56	NA	NA	58	127	20877	39	152069	132	702	15617
GeoB25202	93	983	9391	118	1348	27321	NA	8658	36617	9741	NA	130	1227	70743	2523	281	528	NA	NA	NA	1628	1068	6553	NA	4729	777	226	965	NA	1137	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	59	130	21039	18	151210	102	756	16154
GeoB25202	91	925	9106	126	1315	27132	NA	7935	33529	9189	NA	16	1233	70760	2448	270	512	NA	NA	NA	1457	1042	7223	NA	4341	768	272	1103	NA	1332	NA	NA	NA	NA	NA	NA	NA	NA	62	NA	NA	60	104	18644	23	151472	97	956	16721
GeoB25202	64	790	7782	75	1462	28640	NA	6857	30853	9167	NA	-86	1236	70731	2575	304	531	NA	NA	NA	1495	1338	7857	NA	4707	658	236	2363	NA	680	NA	NA	NA	NA	NA	NA	NA	NA	112	NA	NA	61	119	19156	35	150686	60	606	17079
GeoB25202	43	735	7308	71	1241	28606	NA	6869	30142	9308	NA	160	1227	70349	2469	229	502	NA	NA	NA	1492	1575	8154	NA	4334	501	248	1136	NA	1981	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	62	119	19003	13	150856	61	891	17479
GeoB25202	71	845	8338	98	1325	28111	NA	6132	29790	11503	NA	95	1317	80910	2429	238	586	NA	NA	NA	1518	1583	8238	NA	4363	843	280	992	NA	1945	NA	NA	NA	NA	NA	NA	NA	NA	94	NA	NA	63	84	19298	23	150591	111	835	17915
GeoB25202	48	550	5697	59	1400	29733	NA	5128	28367	10766	NA	219	1425	77743	2412	242	468	NA	NA	NA	1499	1487	8194	NA	4544	768	149	1107	NA	2257	NA	NA	NA	NA	NA	NA	NA	NA	63	NA	NA	64	122	18969	22	151469	77	861	18318
GeoB25202	22	506	5358	90	1356	29773	NA	5534	25290	8225	NA	18	1146	66436	2428	220	583	NA	NA	NA	1419	1333	8364	NA	4781	682	169	1136	NA	1690	NA	NA	NA	NA	NA	NA	NA	NA	67	NA	NA	65	93	18472	24	151343	51	834	18762
GeoB25202	83	879	8566	111	1373	26613	NA	7312	33630	9043	NA	41	1085	69836	2338	222	471	NA	NA	NA	1391	1103	7547	NA	4275	708	610	1012	NA	1484	NA	NA	NA	NA	NA	NA	NA	NA	43	NA	NA	66	102	18577	27	151128	116	774	19305
GeoB25202	83	1242	11804	154	1213	23972	NA	8952	40041	9834	NA	86	1242	70740	2462	287	516	NA	NA	NA	1273	779	6804	NA	4368	972	345	1155	NA	1508	NA	NA	NA	NA	NA	NA	NA	NA	54	NA	NA	67	128	17199	41	151392	100	848	19854
GeoB25202	78	1178	11464	139	1313	25062	NA	8115	37422	10098	NA	3	1195	73147	2334	343	531	NA	NA	NA	1373	698	6287	NA	4464	605	248	1134	NA	941	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	68	121	18033	43	150085	75	793	20400
GeoB25202	84	1198	11388	127	1323	25722	NA	7871	37415	9970	NA	81	1322	73461	2405	321	512	NA	NA	NA	1102	702	6885	NA	4726	913	311	1117	NA	1178	NA	NA	NA	NA	NA	NA	NA	NA	52	NA	NA	69	109	16473	34	150285	72	827	20929
GeoB25202	99	1480	13877	179	1202	22612	NA	7976	39144	10794	NA	232	1451	74866	2379	299	507	NA	NA	NA	1357	1160	7499	NA	4411	780	346	2214	NA	615	NA	NA	NA	NA	NA	NA	NA	NA	102	NA	NA	70	95	17469	53	150602	73	558	21453
