state	module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
5	leiden6	MFI	include_grey	35	0	0.183258120020342	0.0800579199844347	ok	0.193410009033494	no_call
5	leiden3	MFI	include_grey	35	0	0.183258120020342	0.0800579199844347	ok	0.193410009033494	no_call
5	grey	MFI	include_grey	34	0	0.188648064726822	0.0800579199844347	ok	0.193410009033494	no_call
5	leiden5	MFI	include_grey	35	0	-0.0737999082458619	0.944182513250483	ok	1	no_call
2	leiden1	MFI	include_grey	34	0	0.0893920526829468	0.422678074170636	ok	0.47903515072672	no_call
2	leiden5	MFI	include_grey	36	0	0.041380475119879	1	ok	1	no_call
2	grey	MFI	include_grey	29	0	-0.375139277739277	0.789268026134281	ok	0.865648802856954	no_call
2	leiden6	MFI	include_grey	7	0	0		insufficient_n		no_call
4	leiden4	MFI	include_grey	48	0	-0.13578824005396	0.100348246462291	ok	0.193410009033494	no_call
4	leiden1	MFI	include_grey	48	0	-0.13578824005396	0.100348246462291	ok	0.193410009033494	no_call
4	leiden2	MFI	include_grey	48	0	-0.13578824005396	0.100348246462291	ok	0.193410009033494	no_call
4	leiden5	MFI	include_grey	46	0	0.850152459468271	0.100348246462291	ok	0.193410009033494	no_call
4	leiden6	MFI	include_grey	43	0	-0.151577570292793	0.100348246462291	ok	0.193410009033494	no_call
4	leiden3	MFI	include_grey	48	0	-0.13578824005396	0.100348246462291	ok	0.193410009033494	no_call
4	grey	MFI	include_grey	37	0	-0.176157716826759	0.100348246462291	ok	0.193410009033494	no_call
3	leiden1	DCI	include_grey	32	1.47249196864927	0.663290743559843	0.0388064986482967	ok	0.0659710477021044	no_call
3	leiden2	DCI	include_grey	32	2.69903845319369	2.60227190359291	7.08168084004665e-05	ok	0.000401295247602644	enriched
3	leiden3	DCI	include_grey	32	1.4632742714218	-0.200039992091827	0.257934794711997	ok	0.302406311041651	no_call
3	leiden4	DCI	include_grey	32	1.65312315619408	0.993525953424092	0.0529485538276133	ok	0.085726230006612	no_call
3	grey	DCI	include_grey	32	-7.75262063412671	-1.15062689199429	0.494915698265862	ok	0.560904458034643	no_call
3	leiden5	DCI	include_grey	32	0.57755895445163	0.134582603450847	0.227786022140464	ok	0.276597312599135	no_call
3	leiden6	DCI	include_grey	24	-0.562605550407143	-4.05733909325543	0.0696337497749372	ok	0.102936847493385	no_call
1	leiden3	DCI	include_grey	60	1.41143741240389	1.68071478930563	0.0010127675003413	ok	0.00313037227378221	enriched
1	leiden4	DCI	include_grey	60	0.736470788351268	1.10274811025912	0.00066226739572707	ok	0.00225170914547204	enriched
1	leiden1	DCI	include_grey	60	0.220241710896238	-0.481934064806616	0.645444309442853	ok	0.705769982947585	no_call
