sample	module	module_abundance	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	n_taxa_in_module_sample	module_total_reads	core	age_kyr	state	state_label
LV7008886705	leiden4	0.816301629679742	370.93574388834	-13.8155105579643	0	-3.23488039900992	-2.28870615075806	-0.782872583151418	ko	148	146	140	121	0.996640570659011	0.967278862233799	0.896553255094641	148	67571	GeoB25202_R1	59.738	4	IG-B
LV7008886705	leiden6	0.0385976780989889	762.911395916556	-13.8155105579643	0	-2.01687346452956	-2.14304768031436	-9.21034037197618	ko	12	12	12	11	1	1	0.940219092331768	12	3195	GeoB25202_R1	59.738	4	IG-B
LV7008886705	leiden2	0.0809041158775989	606.883649485853	-13.8155105579643	0	0.405421902589923	-2.44755383082783	-1.26179593923061	ko	25	25	23	21	1	0.96729879050321	0.779304166044498	25	6697	GeoB25202_R1	59.738	4	IG-B
LV7008886705	leiden5	0.0216847675078826	393.574997917804	-13.8155105579643	0	12.5746541402078	-15.2403960147428	0.296493248719506	ko	6	6	6	6	1	1	1	6	1795	GeoB25202_R1	59.738	4	IG-B
LV7008886705	leiden3	0.0199693151479276	652.754752694115	-13.8155105579643	0	-1.44085334537033	-2.01226040396446	-1.13500117904779	ko	8	8	8	7	1	1	0.938294010889292	8	1653	GeoB25202_R1	59.738	4	IG-B
LV7008886705	leiden1	0.0225424936878602	575.288364541958	-13.8155105579643	0	1.44738958830867	-2.1097623098302	-2.00068686713152	ko	8	8	8	8	1	1	1	8	1866	GeoB25202_R1	59.738	4	IG-B
LV7008886706	leiden3	0.123960709528343	438.973630436559	-13.8155105579643	0	-0.25151046947469	-2.79020421979989	-0.059723358559185	ko	184	169	155	129	0.977833196991478	0.936946524871137	0.849613609829321	184	125909	GeoB25202_R1	79.0255	1	IG-D
LV7008886706	leiden4	0.689713768697383	331.475737723518	-13.8155105579643	0	-1.72386185281951	-3.09820952624677	-0.596009039290308	ko	296	290	274	242	0.996482783625531	0.937643636322111	0.876206545105731	296	700554	GeoB25202_R1	79.0255	1	IG-D
LV7008886706	leiden2	0.0821085006945832	577.513196392675	-13.8155105579643	0	-1.225275153729	-3.14212706760261	-0.922208649437821	ko	192	180	169	144	0.969771819805993	0.860945574886989	0.811952181680836	192	83399	GeoB25202_R1	79.0255	1	IG-D
LV7008886706	leiden1	0.00881446308371328	547.642738253946	-13.8155105579643	0	-0.287682072451781	-2.48278008824291	-0.756804877306129	ko	46	43	42	39	0.927733720540601	0.913436836814476	0.857589634759299	46	8953	GeoB25202_R1	79.0255	1	IG-D
LV7008886706	grey	0.0775462062759607	554.05769936687	-13.8155105579643	0	-1.04320778570079	-1.63611585663711	-0.449188731165216	ko	33	33	33	33	1	1	1	33	78765	GeoB25202_R1	79.0255	1	IG-D
LV7008886706	leiden5	0.0163785778912827	345.101082915642	-13.8155105579643	0	-4.3054791205891	-3.02051962149072	0.29151782605997	ko	14	14	14	14	1	1	1	14	16636	GeoB25202_R1	79.0255	1	IG-D
LV7008886706	leiden6	0.00147777382873379		-13.8155105579643	0	0	-14.9141228466324	-9.21034037197618	ko	2	2	2	0	1	1	0	2	1501	GeoB25202_R1	79.0255	1	IG-D
LV7008886707	leiden1	0.00770776242865706	452.959558794488	-13.8155105579643	0	-2.23628401317281	-0.903628349951485	-0.460004728295761	ko	21	21	21	19	1	1	0.931356898517674	21	4385	GeoB25202_R2	95.3875	1	IG-D
