sample	MEblack	MEmagenta	MEred	MEgreen	MEblue	MEbrown	MEyellow	MEpurple	MEpink	MEturquoise	MEgrey
LV3003047148	-0.0548393337854217	-0.0345562337855558	-0.0513935743828287	-0.0306175511467243	-0.0284311763616883	-0.03509782778236	-0.0543027792269522	-0.026292258185352	-0.0601244687245805	-0.0563635613569478	-0.0176220222612764
LV3003047147	-0.0548393337854217	-0.0345562337855558	-0.0573093471950499	-0.0303633821715326	-0.00720905955955729	-0.0337933145408232	-0.0281929480655773	-0.0225665891661704	-0.0953177552791441	-0.047951076147702	-0.0260144713854889
LV3003047146	-0.0348157946948053	-0.0310845539732012	-0.050160732762707	-0.0249434769003699	0.0441283787742207	-0.0246825300000766	0.0297215629805114	0.0138825979767236	-0.0552275210651447	0.0068724952572544	-0.0256711590070577
LV3003047126	-0.0481502700463157	-0.0345562337855558	-0.0526767701417829	-0.0371337361612439	-0.0380562760365456	-0.0373216792994911	-0.0587559796513158	-0.0483563959255382	-0.0688941632717048	-0.0637334921063337	-0.0270589400687362
LV3003047138	-0.0506621187469581	-0.0178417377689961	0.0251078455448967	-0.0345095846684983	-0.0742713101013593	-0.041141937902976	-0.0690775276060223	-0.0258195646758682	0.0358906657760241	-0.0402474550558784	-0.0119755805346381
LV3003047137	-0.0360663258985	-0.0313347629863426	-0.0553206140080263	-0.0288149566418158	-0.0575267988376645	-0.0368256570474225	-0.0532196458522755	-0.0195696177410519	-0.0873393478745011	-0.127286818116408	-0.012667598690719
LV3003047136	-0.0548393337854217	-0.0191891593612917	0.0908612893832608	-0.0343694123346832	-0.0404112718362294	-0.0388829145177311	-0.0563340508431	-0.0502663250655546	0.0482529402774524	-0.022011272792791	-0.0154139663572258
LV3003047134	-0.0548393337854217	0.0586853735729319	0.119246977383691	-0.0347480159853668	-0.104676646104738	-0.0383737479422787	-0.0740062584846917	-0.0656946231415027	0.05658373370862	-0.0298028391383013	-0.0113507690023344
LV3003047133	-0.0351820289603953	-0.0345562337855558	-0.0138086535615365	-0.0370072720336633	-0.0366675751665462	-0.0407631890148264	-0.0708107684696071	-0.0335994905150096	-0.0165120438933632	-0.0406509097356659	-0.00912016021161134
LV3003047107	-0.0448260320696868	-0.0345562337855558	-0.0120311930678249	-0.0354933604813643	-0.0255492402951855	-0.0402662473798931	-0.0574882007201067	-0.0329968426420403	0.00103774894381387	-0.029167761926038	-0.00876683741963472
LV3003047093	-0.0548393337854217	-0.0345562337855558	0.0907572481486042	-0.0347846965207528	-0.0827014916840047	-0.0414821537897965	-0.075009938179973	-0.0322249642618901	0.0412507281261535	-0.0149860445554046	0.00402450014851383
LV3003047106	-0.0548393337854217	-0.0345562337855558	-0.0299909241044853	-0.0342829938598133	-0.13798222686981	-0.0421809459936442	-0.0778831865845795	-0.0755382112663385	-0.074834018724336	-0.0930672181159544	0.0040596651009348
LV3003047101	-0.0548393337854217	-0.0301198448849108	-0.0349485099687021	-0.0380076982203977	-0.0930489519650093	-0.0398760886884551	-0.0710902922259134	-0.0315183077612035	-0.0336082335416452	-0.0659762792755247	-0.0122526608869878
LV3003047100	-0.0548393337854217	-0.0345562337855558	0.0446272755499929	-0.0327990599387211	-0.066790586068623	-0.0393495954296906	-0.0680320499003456	-0.0120930819443281	0.0530350944507545	-0.0307500523714362	0.000869188354413414
LV3003047080	-0.0548393337854217	-0.0345562337855558	-0.0034146677364201	-0.0316401842083919	-0.0424548263800034	-0.0412384874779657	-0.0718551502924499	0.0070085643594887	0.0200222620445379	-0.0243650110454746	0.0179788899204075
LV3003047091	-0.0548393337854217	-0.0271449365409354	0.0196925054169107	-0.0371194732543321	-0.155790508456565	-0.0405539438255324	-0.0739321094767028	-0.0477924533036505	0.0285910497732362	-0.0541543115353196	0.0139628435272125
LV3003047079	-0.0548393337854217	0.0922132413075941	0.0226047997622849	-0.0265637885144904	-0.160436239845407	-0.0371827494674253	-0.0767213056475517	-0.104513826909224	0.031070263398413	-0.0736353403613163	-0.0141251877678907
LV7001898100	-0.0465337698905619	0.13129896073558	0.141055634801418	-0.032177784123712	-0.0257878142140914	-0.0205566086563172	-0.0306183568618543	0.171263863807882	0.0967142804542597	0.0714533785916959	-0.0356684900529373
LV7001898088	-0.0207027703850291	0.102808250608722	0.0855592378636428	-0.028989615759878	0.0756388019254631	0.0293259273124045	0.0993736991191224	0.12163423964675	0.111258415136859	0.0884222719361322	-0.034283131066009
LV7001898076	-0.0236558220274827	-0.00917720454530052	0.0449975097311744	0.238761133920915	0.129097305579879	0.27837723723534	0.188839177803325	0.126618846364751	0.080378946720009	0.14623062090768	-0.034148499594756
LV7001898064	-0.0515876398405063	-0.0345562337855558	-0.0537853624719747	0.213641967586536	0.0494460284267091	0.0168001563534684	0.0171347115120385	0.110516648259114	0.0193810863375493	0.0496538274860264	-0.0220690312527437
LV3003061546	-0.0548393337854217	-0.0345562337855558	-0.0630590762828243	0.26517195681231	-0.0439212105343689	-0.0173296958282804	-0.0540227907057072	0.0887198258943577	-0.0878238796025121	-0.07150371022748	-0.012571134888811
LV3003061533	-0.0548393337854217	-0.0345562337855558	-0.0587798125557331	0.288699467967959	0.0188585923169751	-0.0270782410485758	-0.0251180918852457	0.0785251274818678	-0.0263866182118658	-0.0244210097697172	-0.0173427766503649
LV3003061518	-0.0104851142668404	-0.0273783309520199	0.000425601479810873	0.0322999111767663	0.101606256942528	0.175120784873256	0.152050462314059	0.0756220501621552	0.0821692811192072	0.117204208567016	-0.0313999371135943
