sample	rarefaction_depth	rarefied_observed
LV3003061527	5000	49
LV3003061528	5000	659.693467550428
LV3003061529	5000	674.036960587382
LV3003061530	5000	358.844117449959
LV3003061531	5000	713.955798877006
LV3003061533	5000	484.917575691355
LV3003061539	5000	362.405581891592
LV3003061541	5000	513.246348478555
LV3003061543	5000	652.443394604498
LV3003061544	5000	524.899535798009
LV3003061545	5000	645.244008575191
LV3003061546	5000	394.760420694737
LV3003061555	5000	98.9999958907778
LV3003061556	5000	483.113735321557
LV3003061557	5000	489.112370670064
LV3003061558	5000	555.977876110923
LV3003061559	5000	614.04561484911
LV3003061568	5000	52.9999999999802
LV3003061569	5000	594.530869853749
LV3003061570	5000	543.06222893891
LV3003061571	5000	473.847246840193
LV3003061572	5000	687.583832165238
LV7001898064	5000	537.645979368149
LV7001898076	5000	729.722906774118
LV7001898088	5000	491.430632012129
LV7001898100	5000	347.114924208771
LV7008886221	5000	428.165909103472
LV7008886222	5000	355.021978746786
LV7008886226	5000	364.986098500452
LV7008886228	5000	84.9999903704783
LV7008886229	5000	676.652589022109
LV7008886690	5000	261.493879804279
LV7008886692	5000	318.228295278524
LV7008886695	5000	547.814583620265
LV7008886702	5000	467.004397221591
LV7008886703	5000	642.801772984655
LV7008886704	5000	372.100061173083
LV7008886705	5000	206.961686033206
LV7008886706	5000	608.243581064488
LV7008886707	5000	492.724427748553
LV7008886708	5000	478.86729178334
LV7008886709	5000	382.268605290655
LV7008886714	5000	287.203703291212
LV7008886715	5000	633.246767902038
LV7008886717	5000	367.45436909318
LV7008886718	5000	585.550255398923
LV7008886719	5000	400.77740307343
LV7008886720	5000	511.463477652152
LV7008886721	5000	456.330834294788
LV7008886726	5000	285.694591946364
LV7008886727	5000	721.372833220612
LV7008886728	5000	425.664938835341
LV7008886730	5000	653.974068470771
LV7008886731	5000	405.75976003894
LV7008886739	5000	747.876847058782
LV7008886740	5000	488.932252286186
LV7008886741	5000	89.9999978427382
LV7008886742	5000	711.168041519133
LV7008886743	5000	456.297881837359
LV7008886744	5000	396.993248952606
LV7008886745	5000	263.583636145025
LV7008886751	5000	481.887788146342
LV7008886752	5000	457.137394604374
LV7008886753	5000	309.908258477969
LV7008886754	5000	718.451725139701
LV7008886755	5000	541.441186389699
LV7008886756	5000	457.320316380818
LV7008886757	5000	96.9999847391421
LV7008886763	5000	309.828576101706
LV7008886765	5000	507.692534567781
LV7008886766	5000	692.407968531375
LV7008886768	5000	583.149083363446
LV7008886769	5000	186.759769927871
LV7008886776	5000	687.617253733138
LV7008886778	5000	656.298969019764
LV7008886780	5000	641.957780945588
LV7008886781	5000	65.9999999997566
LV3003046936	10000	894.478750343599
LV3003046937	10000	578.24958961504
LV3003046938	10000	632.564244037116
LV3003046939	10000	489.992816550974
LV3003046949	10000	808.573336302536
LV3003046950	10000	787.934161883727
LV3003046952	10000	576.972615736587
LV3003046953	10000	448.585017771167
LV3003046965	10000	919.190541085335
LV3003046966	10000	747.321303192432
LV3003046978	10000	834.586967108084
LV3003046979	10000	688.626096276598
LV3003046980	10000	528.428100336643
LV3003046993	10000	878.981367522966
LV3003046994	10000	477.589360869512
LV3003046995	10000	466.901730964597
LV3003047009	10000	566.44937237995
LV3003047010	10000	569.571122256552
LV3003047013	10000	465.127391031727
LV3003047026	10000	726.359401806951
LV3003047027	10000	688.240350104312
LV3003047028	10000	38
LV3003047041	10000	827.924048323657
LV3003047044	10000	535.819198235943
LV3003047045	10000	481.578319668017
LV3003047059	10000	168.999988281445
LV3003047060	10000	161.999999999797
LV3003047061	10000	108.999999999999
LV3003047062	10000	107.999999999999
LV3003047063	10000	57
LV3003047064	10000	35
LV3003047065	10000	269.990262194222
