core	depth_in_core_cm	sst_uk37_alkenone	sst_mgca_jonkers_2013	sst_mgca_kozdon_2009
ST13	164.8		7.99066956429404	6.781732677
ST13	184.8		6.59633189146317	5.664404531
ST13	204.8		10.4327391364617	9.110550562
ST13	224.8		3.88851854099099	3.857016538
ST13	254.4			
ST13	269.4		6.50565081050977	5.596480469
ST13	289.4		6.35042623588377	5.481489438
ST13	304.4			
ST13	334.4		2.05795420101146	2.862207154
ST13	344.6		7.30695306946429	6.216326862
ST13	364.6			
ST13	384.6		7.85636975845308	6.667909392
ST13	404.6		5.70995413030486	5.023653585
ST13	424.5		6.15443082280743	5.338571246
ST13	434.5		4.34993852376099	4.134721892
ST13	454.5			
ST13	474.5		12.3639246602074	11.35103458
ST13	514.5		10.4819624525761	9.162954377
ST13	543.2		7.73822901398173	6.568912554
ST13	563.2			
ST13	583.2		2.997238337333	3.352179538
ST13	603.2		4.97155082530864	4.527546654
ST5	5			
ST5	35			
ST5	45		7.97599770167019	6.76923076923077
ST5	55		4.62794382549721	4.30769230769231
ST5	65		4.74937794252155	4.38461538461539
ST5	75		3.87007438075795	3.84615384615385
ST5	85		5.10591477087156	4.61538461538461
ST5	95			3.30769230769231
ST5	105		2.91515849408323	2.61538461538461
ST5	115		1.5529104708351	2.92307692307692
ST5	125		2.17905421029212	3
ST5	135		2.33022812202299	3.46153846153846
ST5	145		3.19646747168645	3.15384615384615
ST5	155		2.62654197849145	2.69230769230769
ST5	165		1.71278533141398	3
ST5	175		2.33022812202299	2.61538461538461
ST5	185		1.5529104708351	3.61538461538461
ST5	195		3.47082983380169	3.53846153846154
ST5	205		3.33449547167043	3.23076923076923
ST5	215		2.77178732923981	3.30769230769231
ST5	225		2.91515849408323	2.69230769230769
ST5	235		1.71278533141398	2.61538461538461
ST5	245		1.5529104708351	3.84615384615385
ST5	255		3.87007438075795	2.69230769230769
ST5	265		1.71278533141398	2.53846153846154
ST5	275		1.39070158837785	3.53846153846154
ST5	285		3.33449547167043	3.76923076923077
ST5	295		3.73858040690237	4
ST5	305		4.12848396036092	3.46153846153846
ST5	315		3.19646747168645	3.30769230769231
ST5	325		2.91515849408323	3.23076923076923
ST5	335		2.77178732923981	3.46153846153846
ST5	345		3.19646747168645	3.07692307692308
ST5	355		2.47937279238011	3.23076923076923
ST5	365		2.77178732923981	3.23076923076923
ST5	375		2.77178732923981	2.84615384615385
ST5	385		2.02579507548838	2.76923076923077
ST5	395		1.87039238688016	2.61538461538461
ST5	405		1.5529104708351	3.46153846153846
ST5	415		3.19646747168645	3.38461538461539
ST5	424			3.38461538461539
ST5	425		3.05670322494356	3.76923076923077
ST5	434		3.05670322494356	3.46153846153846
ST5	445		3.73858040690237	4
ST5	455		3.19646747168645	4.23076923076923
ST5	465		4.12848396036092	3.46153846153846
ST5	475		4.50516786786849	3
ST5	485		3.19646747168645	1.92307692307692
ST5	495		2.33022812202299	2.69230769230769
ST5	505		0	3.30769230769231
ST5	515		1.71278533141398	3.23076923076923
ST5	524			3.15384615384615
ST5	525		2.91515849408323	3.38461538461539
ST5	535		2.77178732923981	3.69230769230769
ST5	545		2.62654197849145	4.76923076923077
ST5	555		3.05670322494356	4.76923076923077
ST5	565		3.60551161749441	2.69230769230769
ST5	573			
ST5	575		5.33740462534758	
ST5	583			
ST5	585		5.33740462534758	
ST5	586			
ST5	595		1.71278533141398	
ST8	5			
ST8	15			
ST8	25			
ST8	30		6.21497035449252	5.38244737692308
ST8	40			
ST8	50		4.62794382549721	4.30769230769231
ST8	60		4.63219603981674	4.31037171538462
ST8	70		5.45136573831635	4.84615384615385
ST8	79.5			
ST8	89.5		4.50516786786849	4.23076923076923
ST8	94.5		2.39521562696755	3.03339115384615
ST8	104.5		3.47082983380169	3.61538461538461
ST8	109.5		2.88473711426933	3.29128723076923
ST8	124.5		3.60551161749441	3.69230769230769
ST8	139.5		2.18235490720117	2.92474529230769
ST8	154.5		4.86949923256839	4.46153846153846
ST8	164.5		3.60551161749441	3.69230769230769
ST8	169.5		4.12720539382505	3.99922995384615
ST8	184.5		4.12848396036092	4
ST8	199.5		3.13937571315047	3.42999950769231
ST8	209.5			
ST8	214.5		3.05670322494356	3.38461538461539
ST8	224.5		4.12848396036092	4
ST8	229.5		4.9756968195377	4.53024116923077
ST8	239.5		4.62794382549721	4.30769230769231
ST8	244.5		6.53096294335688	5.61538461538462
ST8	259.2		5.56416986569433	4.92307692307692
ST8	269.2		5.92358826211422	5.17344433076923
ST8	279.2		4.62794382549721	4.30769230769231
ST8	289.2		4.38102008344488	4.15384615384615
ST8	299.2		3.79200966318379	3.80037676153846
ST8	309.2		4.74937794252155	4.38461538461539
ST8	319.2		3.18129419946561	3.45314053846154
ST8	334.2		5.10591477087156	4.61538461538461
ST8	349.2		3.61608332025961	3.69838524615385
ST8	369.2			
ST8	379.2			
ST8	409.2		5.13047351635774	4.63155457692308
ST8	429.2		4.65564840260974	4.32516796923077
ST8	454.2		5.90768100819097	5.16219136153846
ST8	474.2			
ST8	494.2		4.8914245751506	4.47566894615385
ST8	514.2			
ST8	534.2			
ST8	554.2		8.33158360262767	7.07692307692308
ST8	564.2			
ST8	574.2		3.47082983380169	3.61538461538461
ST8	584.2			
ST8	609.2		2.91515849408323	3.30769230769231
