label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst
LV7001897545	ST5	NA	146.5	15999.5	19.12	3.110978647707203	mgca_jonkers_2013	4.74987	75393394	63.6	30242765	66.3	7.242899102358133
LV7001897533	ST5	NA	151.5	16189	34.05	2.8260159011096997	mgca_jonkers_2013	4.77457	57940430	65.9	35944712	67.6	7.266527195303051
LV7001897509	ST5	NA	156.5	16388.5	32.67	2.489478481429828	mgca_jonkers_2013	4.800505	30412171	59.5	14484990	60.7	7.291402153311025
LV7008886727	GeoB25202_R1	NA	59.5	16437.5	79.12	7.297511792120001	uk37_alkenone	4.806875	181407355	47.9	57424152	48.6	7.297511792120001
LV7008886739	GeoB25202_R2	NA	59.5	16437.5	82.56	7.297511792120001	uk37_alkenone	4.806875	201287627	49.7	67761404	50.8	7.297511792120001
LV3003046979	ST8	NA	84.5	16461	131.92	4.747782706444866	mgca_jonkers_2013	4.80993	62932113	71.5	35885630	73.7	7.298699360487044
LV7001897497	ST5	NA	161.5	16588	20.57	2.032600157891095	mgca_jonkers_2013	4.82644	32711954	61.3	9541934	64.7	7.30511728315149
LV3003061477	ST13	NA	50	16726	301.74	NA	NA	4.84438	125495327	67.8	84929726	70.8	7.312091088881361
LV7001897485	ST5	NA	166.5	16787	50.23	1.8054017500053328	mgca_jonkers_2013	4.85231	45975547	61.3	24174415	63.9	7.31517371315326
LV7001897473	ST5	NA	171.5	16988.5	29.49	2.1141231453098372	mgca_jonkers_2013	4.878505	45543544	66.3	19785871	67.6	7.325356480215353
LV7001897570	ST5	NA	176.5	17186.5	41.44	2.213630474344806	mgca_jonkers_2013	4.90611	60940619	59.4	33614263	61	7.335362375392993
LV3003046966	ST8	NA	89.5	17373	104.95	4.505167867868493	mgca_jonkers_2013	4.93222	64053262	73.4	33174625	75	7.3447871200931445
LV7001897558	ST5	NA	181.5	17382.5	53.84	1.8249716487508587	mgca_jonkers_2013	4.933549999999999	125329323	57.8	61951973	58.6	7.3452672009223745
LV7001897546	ST5	NA	186.5	17591.5	33.81	1.8405983752800852	mgca_jonkers_2013	4.962809999999999	59889849	65.2	24939316	67.6	7.355828979165439
LV7001897534	ST5	NA	191.5	17787	20.79	2.7995580567633835	mgca_jonkers_2013	4.99018	53521851	62.4	30525608	64.2	7.365708537282756
LV7001897510	ST5	NA	196.5	17982	14.29	3.450379679482002	mgca_jonkers_2013	5.01748	22831348	64.3	12095380	66.3	7.375562827988007
LV3003046950	ST8	NA	94.5	18099	104.24	2.395215626967552	mgca_jonkers_2013	5.01406	54550611	72.2	30319286	73.7	7.381475402411159
LV7001897498	ST5	NA	206.5	18376.5	21.49	3.250089250305834	mgca_jonkers_2013	4.9974099999999995	20544000	57	8978911	58.5	7.395498816107094
LV7001897486	ST5	NA	211.5	18575	24.68	2.968735179090528	mgca_jonkers_2013	4.9855	71092938	64.7	29245649	67.9	7.405529978696799
LV3003046937	ST8	NA	99.5	18598	100.16	2.933022730384622	mgca_jonkers_2013	4.98412	37032447	66.6	19341245	67.9	7.406692279651777
LV7001897474	ST5	NA	216.5	18773.5	30.25	2.793293003966327	mgca_jonkers_2013	4.97359	39010168	60.1	16218374	62.2	7.415561141286504
LV7001897571	ST5	NA	221.5	18974.5	21.49	2.8649785863880366	mgca_jonkers_2013	4.96153	30239382	62.9	11158694	66	7.425718640936532
LV3003047041	ST8	NA	104.5	19097	105.88	3.470829833801692	mgca_jonkers_2013	4.96291	92918951	73.6	51583899	75.3	7.431909156892395
LV3003061572	ST13	NA	55	19099	341.81	NA	NA	4.96297	148847098	75.5	75948836	100.4	7.432010226540655
LV7001897559	ST5	NA	226.5	19167	39.87	2.734802519682846	mgca_jonkers_2013	4.96501	128409959	58.8	51985460	60.6	7.43544659458146
LV7001897547	ST5	NA	231.5	19363.5	29.23	2.13361593834822	mgca_jonkers_2013	4.970905	106809721	65.1	42565738	66.8	7.445376687522906
LV3003047026	ST8	NA	109.5	19565	12.35	2.8847371142693254	mgca_jonkers_2013	4.97695	948154669	61.9	126124116	64.1	7.455559454585
LV7001897535	ST5	NA	236.5	19566	48.17	1.6888041023271487	mgca_jonkers_2013	4.97698	75054891	63.3	41678579	64.5	7.455609989409129
LV7001897511	ST5	NA	241.5	19760	35.35	1.6088666720377058	mgca_jonkers_2013	4.9828	61570250	62.5	28090563	64.3	7.465413745290252
LV7001897499	ST5	NA	246.5	19953	42.3	1.9004850573235244	mgca_jonkers_2013	4.98859	58439464	58.5	22649090	59.7	7.475166966347244
LV3003047009	ST8	NA	114.5	20142	99.94	3.124995282011021	mgca_jonkers_2013	4.97864	78281501	64.3	50491740	64.7	7.484718048107719
LV7001897487	ST5	NA	251.5	20152	39.55	3.0590670122849533	mgca_jonkers_2013	4.9778400000000005	35278915	62.6	13663551	66.8	7.485223396349014
LV7001897475	ST5	NA	256.5	20347.5	22.94	3.5464810233563577	mgca_jonkers_2013	4.9622	8631351	60.2	2654118	62.4	7.49510295446633
LV7001897572	ST5	NA	261.5	20543	18.04	2.4678364986843713	mgca_jonkers_2013	4.94656	60140219	63.8	15098394	67.5	7.504982512583647
LV3003046993	ST8	NA	119.5	20719	108.7	3.3652534497527165	mgca_jonkers_2013	4.93248	230108757	68.3	100382437	69.6	7.513876641630438
