core	depth_in_core_cm	y_bp	d13c_per_mil	toc_percent_weight	sum_expandable_clays	sum_illites_micas	sum_montmorillonites_smectites	sum_greenland	sum_iceland	ratio_greenland_to_iceland
GeoB25202	851	544071			0	4.65	0	10.14	27.86	0.363962670495334
GeoB25202	854	547572	-24.1455	0.0960619506699827	0	11.74	0	7.69	36.35	0.211554332874828
GeoB25202	860	558435	-22.5115	0.110520908240553	2.78	6.42	2.78	11.31	32.67	0.346189164370983
GeoB25202	865	564823	-23.465	0.0914866701008618						
GeoB25202	870	569270	-23.132	0.0897244853421301	0.13	11.64	0	14.65	20.49	0.714982918496828
GeoB25202	875	573441	-23.2735	0.0664091620496402						
GeoB25202	880	579221	-21.9065	0.0607795161031863	0	4.31	0	7.13	9.72	0.733539094650206
GeoB25202	885	583243	-24.535	0.0943511105499032	11.43	4.21	9.08	12.41	35.52	0.349380630630631
GeoB25202	890	587050	-23.063	0.0631214314007437	7.37	2.58	0	15.34	18.71	0.819882415820417
GeoB25202	895	589466	-24.669	0.0553655032232525	4.4	3.69	0.71	9.49	19.27	0.492475350285418
GeoB25202	896	589974			1.05	8.48	1.05	6.22	34.06	0.182618907809748
GeoB25202	900	591852	-22.6845	0.0577401721154989	1.3	5.89	1.3	19.5	10.18	1.91552062868369
GeoB25202	905	594294	-23.6135	0.0756569092767067	0	4.44	0	10.59	14.71	0.719918422841604
GeoB25202	909	596335	-24.3735	0.0786735916460455	15.26	5.29	12.16	24.48	29.49	0.830111902339776
GeoB25202	912	597814	-23.476	0.158004794659147	13.68	25.89	3.08	32.84	16.56	1.98309178743961
GeoB25202	915	599273	-23.3885	0.146032666256517	3.16	17.41	1.27	37.28	16.13	2.3112213267204
