core	depth_in_core_cm	y_bp	benthic_foraminifera_concentration_n_per_gram_gt_150um	g_bulloides_pct	g_glutinata_pct	g_glutinata_with_bulla_pct	g_glutinata_without_bulla_pct	g_inflata_pct	g_scitula_pct	g_truncatulinoides_dex	g_uvula_pct	mg_ca_subsst_degc_jonkers_2013_calibration	mg_ca_subsst_degc_kozdon_2009_calibration	n_incompta_pct	n_pachyderma_d13c_vpdb_corr	n_pachyderma_d18o_vpdb_corr	n_pachyderma_pct	o_universa	p_to_b_ratio	planktonic_foraminifera_concentration_n_per_gram_gt_150um	polar_planktonic_spp_pct	sub_polar_planktonic_species_pct	t_quinqueloba_pct	total_planktonic_foraminifera_count	transitional_planktonic_species_pct
GeoB25202	790	464645		2.68456375838926	1.00671140939597			0.671140939597315	0.671140939597315		0			0.671140939597315			93.9597315436242				93.9597315436242	1.00671140939597	0.335570469798658	298	5.03355704697987
GeoB25202	795	467160		0	7.76699029126214			1.94174757281553	0		0			0.970873786407767			80.5825242718447				80.5825242718446	9.70873786407767	8.7378640776699	103	9.70873786407767
GeoB25202	799	469360		2.29885057471264	0.28735632183908			0.574712643678161	0.28735632183908		0			1.72413793103448			91.3793103448276				91.3793103448276	5.17241379310345	3.44827586206897	348	3.44827586206897
GeoB25202	804	472594		1.79948586118252	1.02827763496144			0.25706940874036	0		0.25706940874036			2.82776349614396			92.0308483290488				92.2879177377892	4.62724935732648	1.79948586118252	389	3.08483290488432
GeoB25202	810	478906		0.284090909090909	0.284090909090909			0.852272727272727	0		0			1.13636363636364			92.3295454545455				92.3295454545455	6.25	5.11363636363636	352	1.42045454545455
GeoB25202	815	484212		2.08333333333333	3.86904761904762			0.595238095238095	0		0			1.48809523809524			85.4166666666667				85.4166666666667	8.03571428571429	6.54761904761905	336	6.54761904761905
GeoB25202	820	493327		2.37388724035608	1.48367952522255			0	0		0			3.26409495548961			89.0207715133531				89.0207715133531	7.12166172106825	3.85756676557863	337	3.85756676557864
GeoB25202	825	508191		5.0561797752809	4.49438202247191			0.561797752808989	0		0			0			73.5955056179775				73.5955056179775	16.2921348314607	16.2921348314607	178	10.1123595505618
GeoB25202	830	517202		0.31055900621118	0.31055900621118			0.31055900621118	0		0			2.48447204968944			86.3354037267081				86.3354037267081	12.7329192546584	10.2484472049689	322	0.93167701863354
GeoB25202	835	523293		7.3482428115016	0			0.638977635782748	0		0			2.87539936102236			77.6357827476038				77.6357827476038	14.3769968051118	11.5015974440895	313	7.98722044728435
