taxon	functional_group	display_category	ecological_role	signal_source	confidence_score	n_samples	total_reads
S__3300027742_41	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	16	4396
S__GCA_003228095.2	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	16	4372
S__GCA_009840175.1	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	17	4370
S__3300028162_9	Sediment_heterotroph	Diagenetic	Sediment_resident	benthic_resident	0.85	13	4284
S__GCA_016210115.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	19	4224
S__GCA_016927755.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	17	4158
S__GCA_018896565.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	16	4134
S__GCA_014381545.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	14	4108
S__GCA_016342325.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	18	4095
S__GCA_009840965.1	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	9	3933
S__GCA_016872355.1	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	15	3929
S__MAG_QYSC.20.08_metabat2_bin.84	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	24	3833
S__GCA_013360575.1	Sediment_heterotroph	Diagenetic	Sediment_resident	benthic_resident	0.85	19	3728
S__GCA_013204555.1	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	22	3725
S__GCA_014238945.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	26	3721
S__GCA_018897415.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	16	3694
S__GCA_002701625.1	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	21	3555
S__GCA_016189835.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	18	3462
S__3300026210_14	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	15	3389
S__GCA_016210515.1	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	21	3375
S__3300006913_4	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	15	3294
S__GCF_000384395.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	11	3267
S__GCA_002685815.1	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	20	3249
S__3300000169_14	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	14	3226
