variant	PC	covariate	covariate_class	pearson_r	spearman_rho	abs_pearson
deseq_length_log	PC1	log_derep	technical	-0.81561166347001	-0.716279682004218	0.81561166347001
deseq_length_log	PC1	avg_leng_initial	technical	-0.235912651637856	-0.247742320293273	0.235912651637856
deseq_length_log	PC1	avg_len_derep	technical	-0.157782536535541	-0.178625230302802	0.157782536535541
deseq_length_log	PC1	detected_taxa	technical	-0.910897689473379	-0.916800084269142	0.910897689473379
deseq_length_log	PC1	shannon_raw	technical	-0.855382974792165	-0.795190880120978	0.855382974792165
deseq_length_log	PC1	age_kyr	biological_proxy	0.506531110330948	0.470953275276022	0.506531110330948
deseq_length_log	PC1	mis	biological_proxy	-0.43423819380911	-0.459535336541222	0.43423819380911
deseq_length_log	PC1	sst	biological_proxy	0.275694825910689	0.131389466695616	0.275694825910689
deseq_length_log	PC1	core	core_or_batch	0.280268138619816		0.280268138619816
deseq_length_log	PC2	log_total_reads	technical	0.197634506322943	0.0829635933400884	0.197634506322943
deseq_length_log	PC2	total_reads	technical	0.172743366935693	0.0829635933400884	0.172743366935693
deseq_length_log	PC2	library_concentration	technical	0.0136642447481517	-0.0426649703616075	0.0136642447481517
deseq_length_log	PC2	log_initial	technical	0.150593545445092	0.132846196938204	0.150593545445092
deseq_length_log	PC2	log_derep	technical	0.244189586814208	0.125414866945643	0.244189586814208
deseq_length_log	PC2	avg_leng_initial	technical	0.0365892540232141	0.0530032804636925	0.0365892540232141
deseq_length_log	PC2	avg_len_derep	technical	-0.00197584728284842	0.0563425209120633	0.00197584728284842
deseq_length_log	PC2	detected_taxa	technical	0.075884450371552	-0.0385865063257999	0.075884450371552
deseq_length_log	PC2	shannon_raw	technical	-0.0205695756156281	-0.203061183882255	0.0205695756156281
deseq_length_log	PC2	age_kyr	biological_proxy	0.259403950572871	0.365320194642259	0.259403950572871
deseq_length_log	PC2	mis	biological_proxy	-0.428463221514181	-0.495671273348701	0.428463221514181
deseq_length_log	PC2	sst	biological_proxy	-0.0490562559665191	0.0302037080412986	0.0490562559665191
deseq_length_log	PC2	core	core_or_batch	0.250624689460881		0.250624689460881
deseq_length_log	PC3	log_total_reads	technical	0.118345268543665	0.365995757199139	0.118345268543665
deseq_length_log	PC3	total_reads	technical	0.514678509507427	0.365995757199139	0.514678509507427
deseq_length_log	PC3	library_concentration	technical	0.294581598439237	0.196493228044906	0.294581598439237
deseq_length_log	PC3	log_initial	technical	-0.00323928261049222	0.193480902804351	0.00323928261049222
deseq_length_log	PC3	log_derep	technical	0.131321589457353	0.341664243229427	0.131321589457353
deseq_length_log	PC3	avg_leng_initial	technical	0.155711166103078	0.134456081359243	0.155711166103078
deseq_length_log	PC3	avg_len_derep	technical	0.11476529054138	0.118996751121409	0.11476529054138
deseq_length_log	PC3	detected_taxa	technical	0.313102777041907	0.313037739172849	0.313102777041907
deseq_length_log	PC3	shannon_raw	technical	-0.124285887038195	0.0796477189588301	0.124285887038195
deseq_length_log	PC3	age_kyr	biological_proxy	-0.220042770285612	-0.249045132917261	0.220042770285612
deseq_length_log	PC3	mis	biological_proxy	-0.181123031919947	-0.139774357040995	0.181123031919947
deseq_length_log	PC3	sst	biological_proxy	-0.163306459374691	-0.374766468158347	0.163306459374691
deseq_length_log	PC3	core	core_or_batch	0.216260690322701		0.216260690322701
deseq_length_log	PC4	log_total_reads	technical	-0.197638764350724	-0.18118473938611	0.197638764350724
deseq_length_log	PC4	total_reads	technical	-0.137171692108468	-0.18118473938611	0.137171692108468
deseq_length_log	PC4	library_concentration	technical	0.0276295311440131	0.106836607373559	0.0276295311440131
deseq_length_log	PC4	log_initial	technical	-0.157613852983931	-0.0801497531155199	0.157613852983931
deseq_length_log	PC4	log_derep	technical	-0.10478656530283	-0.0486256814960618	0.10478656530283
deseq_length_log	PC4	avg_leng_initial	technical	0.601019076468903	0.563006256169801	0.601019076468903
deseq_length_log	PC4	avg_len_derep	technical	0.536359262221449	0.555217966601467	0.536359262221449
deseq_length_log	PC4	detected_taxa	technical	-0.178666290765579	-0.135422259749465	0.178666290765579
deseq_length_log	PC4	shannon_raw	technical	0.0134081785961181	0.127719326172204	0.0134081785961181
deseq_length_log	PC4	age_kyr	biological_proxy	-0.134440514565519	-0.202935391695071	0.134440514565519
deseq_length_log	PC4	mis	biological_proxy	0.0413281449443727	0.0352040995972686	0.0413281449443727
deseq_length_log	PC4	sst	biological_proxy	0.0989454082238108	0.117826481589523	0.0989454082238108
deseq_length_log	PC4	core	core_or_batch	0.447736119775297		0.447736119775297
deseq_length_log	PC5	log_total_reads	technical	-0.110823544374349	0.0690768387766285	0.110823544374349
deseq_length_log	PC5	total_reads	technical	-0.0992227851737995	0.0690768387766285	0.0992227851737995
deseq_length_log	PC5	library_concentration	technical	-0.0447942401962511	-0.00353689402297425	0.0447942401962511
deseq_length_log	PC5	log_initial	technical	-0.212092475316028	-0.150776163173346	0.212092475316028
deseq_length_log	PC5	log_derep	technical	-0.274188129186781	-0.135748199258581	0.274188129186781
deseq_length_log	PC5	avg_leng_initial	technical	-0.327919483902462	-0.369536415037257	0.327919483902462
deseq_length_log	PC5	avg_len_derep	technical	-0.281854990257062	-0.346825640137583	0.281854990257062
deseq_length_log	PC5	detected_taxa	technical	0.128477871278165	0.235811461530367	0.128477871278165
deseq_length_log	PC5	shannon_raw	technical	0.0276737252679321	0.129249918113331	0.0276737252679321
deseq_length_log	PC5	age_kyr	biological_proxy	0.369412936132898	0.344316639049354	0.369412936132898
deseq_length_log	PC5	mis	biological_proxy	0.207761665691337	0.0768606514668088	0.207761665691337
deseq_length_log	PC5	sst	biological_proxy	0.234510123432186	0.180673067656442	0.234510123432186
deseq_length_log	PC5	core	core_or_batch	0.201937154668102		0.201937154668102
sample_clr_raw	PC1	log_total_reads	technical	0.769016800544586	0.702931695804035	0.769016800544586
sample_clr_raw	PC1	total_reads	technical	0.584250213897357	0.702931695804035	0.584250213897357
sample_clr_raw	PC1	library_concentration	technical	0.581299384494534	0.648053636872471	0.581299384494534
sample_clr_raw	PC1	log_initial	technical	0.451636989929587	0.392326836480741	0.451636989929587
sample_clr_raw	PC1	log_derep	technical	0.714247118032515	0.657114344401554	0.714247118032515
sample_clr_raw	PC1	avg_leng_initial	technical	0.319124305098244	0.322860148242251	0.319124305098244
sample_clr_raw	PC1	avg_len_derep	technical	0.241497630811757	0.252246124294565	0.241497630811757
sample_clr_raw	PC1	detected_taxa	technical	0.844447967871891	0.814533750740601	0.844447967871891
sample_clr_raw	PC1	shannon_raw	technical	0.766704104872917	0.77063773643819	0.766704104872917
sample_clr_raw	PC1	age_kyr	biological_proxy	-0.60130058025195	-0.595008701499202	0.60130058025195
sample_clr_raw	PC1	mis	biological_proxy	0.479731425255594	0.528799861682756	0.479731425255594
sample_clr_raw	PC1	sst	biological_proxy	-0.2589786050418	-0.120685649216727	0.2589786050418
sample_clr_raw	PC1	core	core_or_batch	0.317911808105079		0.317911808105079
