sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst
LV3003046994	ST8		79.5	5.78945872596691	615826	87.72	7.85216378902505	7.51952456393927	57.2	57.9	497	4.72517868734386	15.549	4.63274	7.18672783126745
LV3003046995	ST8		35	5.84703686341278	703131	117	8.25143010582307	8.18238551777362	82.8	85.2	482	5.25603348336704	6.9705	3.36882	6.16359220190688
LV3003047009	ST8		114.5	5.86656909592246	735476	99.94	7.89365914994526	7.70322034581248	64.3	64.7	596	5.21405819074978	20.142	4.97864	7.48471804810772
LV3003047010	ST8		70	5.83560560630494	684865	131.81	8.09357605641619	7.99515473083231	83.1	85.9	586	5.50688978855279	13.676	4.20872	6.95319000495699
LV3003047013	ST8		30	5.7836913803003	607702	131.96	8.02917205826218	7.93794146352984	79.8	81.7	477	4.95445213390339	5.885	3.32195	6.33782936611152
LV3003047026	ST8		109.5	6.23407973166362	1714271	12.35	8.97687918844397	8.10079813874253	61.9	64.1	849	5.34059339412781	19.565	4.97695	7.455559454585
LV3003047027	ST8		65	5.86268522871595	728928	149.32	8.22047278409608	8.05177970017026	84.4	86.9	717	5.69177894043324	12.877	4.04278	6.85356548641879
LV3003047028	ST8		25	4.07507226270612	11886	124.79	6.48560900630185	6.45915295656391	78.3	79.3	38	3.11840101577944	4.753	3.26988	6.51953039778323
LV3003047041	ST8		104.5	6.1774279848954	1504623	105.88	7.96810430290194	7.71251417387113	73.6	75.3	945	5.48239273514723	19.097	4.96291	7.4319091568924
LV3003047044	ST8		60	5.51973613930819	330929	46.49	7.80401947004152	7.42824575181643	81.2	83.3	539	5.54652020597698	12.078	3.93092	6.75394096788059
LV3003047045	ST8		20	6.00056942090177	1001311	111.57	8.18091416396213	8.10898287168333	80.4	81.5	507	5.21826838031503	3.5865	3.295865	6.70676913757569
LV3003047059	ST8		609.2	4.90043813955844	79512	57.46	7.70247026740302	6.6868841752809	52.1	54.7	169	4.32228521091505	107.683	4.08781	9.62921190579469
LV3003047060	ST8		604.2	4.67186678877256	46974	70.8	7.16272835608921	6.53486657908937	58.9	62	162	4.76321207520094	106.686	4.02744	9.16482148751936
LV3003047061	ST8		599.2	4.59518747643367	39371	43.21	7.4482587660589	6.46178206121975	61.9	66	109	4.09622977301612	105.689	3.95335	8.70043106924403
LV3003047062	ST8		594.2	4.59480123577839	39336	74.51	7.09569496559726	6.457942421364	64.7	66.7	108	4.08311291096109	104.692	3.87156	8.38459253919963
LV3003047063	ST8		589.2	4.3911292604179	24610	26.33	7.55693681901201	6.27782229862708	54.5	59.4	57	3.34362912561279	103.695	3.9078	8.08727062917724
LV3003047064	ST8		554.2	4.33687981559842	21720	31.71	7.57927502583958	6.19909034064697	51.3	57.8	35	2.9606310296169	96.283	3.77264	6.64358420103273
LV3003047065	ST8		374.5	5.14485119602693	139588	140.39	7.76181269003654	7.06006300452821	58.3	61.5	270	4.82656313041764	53.61018	4.4033892	6.44166131978254
LV3003047067	ST8		334.5	5.56717110686425	369122	178.82	7.92269613045094	7.47919300023311	60.2	61.8	573	5.5239177414308	42.86602	4.4653592	8.33857306903406
LV3003047068	ST8		294.5	5.47194852470327	296447	99.85	7.65555909311992	7.21106733291829	64.9	69	437	5.16334276332428	37.78969	4.4205155	9.10244349358346
LV3003047069	ST8		249.5	5.42421171893929	265589	233.37	7.82491255476198	7.352425307708	59	61.8	451	5.4392501632791	33.7436870748299	4.5874368707483	8.82643927310517
LV3003047070	ST8		209.5	5.48097368136621	302672	151.38	7.83287075276502	7.25244593785315	53.6	56.6	491	5.40940638627859	30.128	4.62	8.25318031257889
LV3003047071	ST8		169.5	5.64867902703227	445326	140.62	7.83252117496555	7.3177505303126	56.3	59.2	612	5.64619854767014	26.141	4.68128	7.78787645806057
LV3003047073	ST8		579.2	3.66152874013198	4586	16.41	6.92397274178271	5.82869726744958	50.9	55.5	12	2.31729212099697	101.685	3.8789	7.56570434574025
LV3003047074	ST8		574.2	3.9114772171061	8155	71.25	6.51052771850801	5.96374109096816	51.6	52.8	20	2.6459841973781	100.672	3.88392	7.39278548113664
LV3003047077	ST8		569.2	4.6636255532128	46091	39.39	7.54179709780102	6.6010285122959	60	64.6	117	4.21240076324656	99.7145	3.801435	7.22934045363618
LV3003047078	ST8		564.2	4.12700755737133	13396	23.95	7.45915579309656	6.19841760923552	48.2	51.4	44	3.30998870284966	98.757	3.80916	7.06589542613573
LV3003047079	ST8		559.2	5.23429197910824	171510	59.02	7.71104778126797	7.1670618531003	73	78.1	346	5.01545237119558	97.52	3.8664	6.85473981358423
LV3003047080	ST8		524.2	5.55688237914529	360480	86.42	7.6881739577634	7.28735296597502	63.9	67.4	462	5.05525145317152	87.9935	4.110455	8.44662940914954
LV3003047081	ST8		369.5	5.45435238047121	284676	90.06	7.75909245780536	7.20194006261283	57.2	58.8	541	5.60903610129061	52.20718	4.3369334	7.53394237030326
LV3003047082	ST8		329.5	5.30780827537013	203145	61.65	7.56882947126168	7.28487087406111	59.3	60.4	375	5.16017941651787	41.9168333333333	4.50083166666667	8.48140374041344
LV3003047083	ST8		289.5	5.43246098115644	270682	129.5	7.81965582433899	7.2534175863758	60.6	63	443	5.34534843089527	37.30319	4.4448405	9.1756505076159
LV3003047084	ST8		244.5	5.72758679863126	534055	4.13	8.59152293107538	7.49240918071306	56.1	58.4	655	5.6943990814829	33.276	4.58276	8.75228855131429
LV3003047085	ST8		204.5	5.64592603378036	442512	130.79	7.86293163449928	7.37509877369652	58.5	60.7	606	5.61417197739752	29.703	4.65267	8.18579752939511
LV3003047086	ST8		164.5			357.79							25.588	4.7318	7.75993070031695
LV3003047087	ST8		549.2	4.66098873187183	45812	1.28	7.98816708128839	6.70482897942603	62.8	70.1	142	4.52561848398975	94.9015	3.776895	6.61928230068734
LV3003047088	ST8		544.2	4.66278615431119	46002	46.2	7.43685559698328	6.57631669724637	58.7	62.9	112	4.01048551842412	93.52	3.8688	6.98472526975806
LV3003047089	ST8		539.2	5.15214151579703	141951	1.23	8.67265142265355	7.15896794083345	65.4	86.5	206	4.29148093111365	92.1385	3.96892	7.35016823882878
LV3003047090	ST8		534.2	5.04243768180528	110264	58.67	7.73707721321004	6.96726770033963	70.8	80.3	161	3.89653074070307	90.757	4.03729	7.7156112078995
LV3003047091	ST8		529.2	5.36852303224776	233626	64.75	7.76492506657205	7.04074371990188	56.8	61.4	357	4.87885666827335	89.37525	4.072495	8.08112030852452
LV3003047093	ST8		494.2	5.57257887734242	373747	113.42	7.50587097336113	7.18433121444563	64.3	67.4	441	5.00035730301572	79.675	3.94875	8.33291896762292
LV3003047094	ST8		364.5	5.50024333783212	316404	129.24	7.90455566519699	7.33595317525808	61.2	64.2	453	4.94388661357424	50.6848	4.333152	8.71916462667657
LV3003047095	ST8		324.5	5.50125102185586	317139	76.96	7.74680671500299	7.20215192191216	58.7	60.6	423	4.60806374422421	40.9751666666667	4.51099333333333	8.62310282547109
LV3003047096	ST8		284.5	5.74394854103382	554559	135.25	7.74884584144943	7.30167203781762	55.6	57.5	569	4.75448708179157	36.89377	4.4589377	9.23725876185055
LV3003047097	ST8		239.5	5.51263504176721	325562	93.56	7.92469999629634	7.23999516951785	56.6	59.5	522	5.54099554522637	32.835	4.5833	8.6823690045283
LV3003047098	ST8		199.5	5.39069670934575	245864	110.66	7.89520685920103	7.15577857969499	57.5	59.5	424	5.32076780299958	29.278	4.69942	8.11841474621133
