taxon	prevalence	mean_count	median_count	var_log	cor_depth	cor_age	core_eta2	neutral_score	selected
S__GCA_002495525.1	0.0700934579439252	20.0934579439252	0	2.52752773805032	0.187167555679593	-0.0199863916908199	0.00511915257228957	0.212273099942702	not_selected
S__GCA_005223095.1	0.0607476635514019	157.957943925234	0	3.44445082181924	-0.170063865138923	0.0379927052128065	0.00557463151928973	0.213631201871019	not_selected
S__GCA_905181715.1	0.0747663551401869	23.5	0	2.72711838404339	0.102599182014386	-0.0811415231168374	0.031115145500948	0.214855850632172	not_selected
S__3300027048_7	0.0607476635514019	26.4392523364486	0	2.28953953412844	0.052253821743628	0.127333101887118	0.0363179647056612	0.215904888336407	not_selected
S__TARA_ARC_NCLDV_00116	0.0794392523364486	36.9672897196262	0	3.09930422159394	0.164624526421638	0.0115486308667435	0.0410694272746739	0.217242584563055	not_selected
S__GCF_014077045.1	0.0981308411214953	28.4859813084112	0	3.3064903645322	0.153800248790511	-0.0580024980293882	0.00582031478488785	0.217623061604787	not_selected
S__GCF_000243415.2	0.0747663551401869	13.8504672897196	0	2.39487435940613	0.0614796029063913	-0.143094222469796	0.0148201690888947	0.219393994465082	not_selected
S__GCA_015660505.1	0.126168224299065	42.2663551401869	0	4.3812586273988	0.16978484979406	0.00837157962410628	0.0419934846036611	0.220149914021827	not_selected
S__GCA_012927545.1	0.0654205607476636	11.196261682243	0	2.07322396743235	0.106713793603143	-0.109512615417202	0.00445404199977239	0.220680451020118	not_selected
S__3300007519_15	0.0560747663551402	9.13551401869159	0	1.76673815902873	0.117316155245767	-0.0991603999901661	0.00448524742325957	0.220961802659193	not_selected
S__GCA_018263435.1	0.434579439252336	406.285046728972	0	12.6412809359809	0.205786694545454	0.00356951207090313	0.0127753270908982	0.222131533707255	not_selected
S__GCF_000355905.1	0.0794392523364486	15.8411214953271	0	2.57586023800523	0.156608807146004	-0.0567291994985335	0.0089370660840482	0.222275072728586	not_selected
S__GCA_002733285.1	0.135514018691589	64.696261682243	0	5.04870150893517	0.0292803817055097	-0.188380940176173	0.00580277493375755	0.223464096815441	not_selected
S__IMGVR_UViG_3300006467_000165	0.0841121495327103	27.0981308411215	0	2.87790201036223	0.185358480765673	-0.0244795989629624	0.0154721199486946	0.22531019967733	not_selected
S__3300009840_13	0.0747663551401869	28.5233644859813	0	2.92618705215141	0.0474075943417064	-0.176562470571651	0.00529206733185132	0.229262132245209	not_selected
S__GCA_018673455.1	0.0841121495327103	20.5046728971963	0	2.84173640716563	0.0855394818939414	-0.0884314392473142	0.057550230969299	0.231521152110555	not_selected
S__GCA_014384565.1	0.102803738317757	102.943925233645	0	4.67626238771588	0.0940463296912563	-0.127694251036625	0.0113392830262231	0.233079863754104	not_selected
S__GCA_018670575.1	0.0654205607476636	13.411214953271	0	2.16185716328511	0.183756251323451	-0.046969174374046	0.0028564154582829	0.23358184115578	not_selected
S__3300025823_18	0.200934579439252	247.915887850467	0	8.37714750361113	0.0379100586938837	0.121855981518885	0.0748156935353371	0.234581733748106	not_selected
S__GCA_012960705.1	0.0514018691588785	13.714953271028	0	1.89474249187434	0.117989020807362	-0.109468765387747	0.0096175851992731	0.237075371394383	not_selected
S__GCA_018608505.1	0.121495327102804	42.0700934579439	0	4.46647815550409	-0.108510915538698	0.116261373631218	0.0141843188777086	0.238956608047625	not_selected
S__GCA_905182135.1	0.0560747663551402	10.8785046728972	0	1.81663249100593	0.108229340424569	-0.117959450657114	0.0129793292401918	0.239168120321875	not_selected
S__GCA_018900355.1	0.0467289719626168	20.6121495327103	0	1.90127651292318	0.10488009545818	-0.111614595952225	0.0239507224036932	0.240445413814098	not_selected
S__GCA_001303545.1	0.0514018691588785	15.214953271028	0	1.91493868867601	0.0650025545737351	0.114082330618921	0.061379563022884	0.24046444821554	not_selected
S__GCA_902826815.1	0.0607476635514019	16.2990654205607	0	2.21012551492964	0.0708168878696712	-0.161453013777585	0.00851768527019577	0.240787586917452	not_selected
S__GCA_004376185.1	0.0607476635514019	140.565420560748	0	3.30802935462672	0.112240562054858	-0.121552677246699	0.00715668792048812	0.240949927222045	not_selected
S__3300020307_15	0.0514018691588785	8.02803738317757	0	1.60028301172113	0.161459085476572	-0.0713993629576746	0.0114176873192472	0.244276135753493	not_selected
S__GCA_004357035.1	0.228971962616822	236.065420560748	0	8.99357440126713	0.0959411907426224	-0.136602899623854	0.0132038441115043	0.245747934477981	not_selected
S__3300027791_31	0.14018691588785	81.4626168224299	0	5.03307073141852	0.137152079128092	-0.103393394353588	0.00558184881735682	0.246127322299037	not_selected
S__GCA_006226895.1	0.0654205607476636	12.4345794392523	0	2.11059798525327	0.185278668119723	-0.0299514875619725	0.0318289967172427	0.247059152398938	not_selected
S__GCF_015751965.1	0.0747663551401869	10.2710280373832	0	2.17239621857474	0.212661452279085	-0.0186280012208121	0.0194690274034822	0.25075848090338	not_selected
S__GCA_015664755.1	0.0514018691588785	10.9439252336449	0	1.71843270197626	0.167331696009092	-0.0820222691196267	0.00382249974362842	0.253176464872347	not_selected
S__IMGVR_UViG_3300025696_000003	0.0794392523364486	24.785046728972	0	2.89087425940268	0.156962113645595	-0.0607024275687265	0.0383970772094761	0.256061618423798	not_selected
S__GCA_002167845.2	0.0794392523364486	18.2429906542056	0	2.65776849214273	0.210987811585468	-0.0366427118595912	0.00852389234120476	0.256154415786264	not_selected
S__GCA_018666915.1	0.0514018691588785	9.22429906542056	0	1.65383301473562	0.218564716956818	-0.0322320334993131	0.00661266383805703	0.257409414294188	not_selected
S__GCA_003230015.1	0.0514018691588785	16.8504672897196	0	2.01995724001795	0.137860000596839	0.0200120780474189	0.099836211753667	0.257708290397925	not_selected
S__3300011118_36	0.102803738317757	22.9299065420561	0	3.32630541943805	0.0528345489528134	-0.193948477835164	0.0110734453502413	0.257856472138219	not_selected
