sample	MEbrown	MEblue	MEturquoise	MEyellow	MEgrey
LV3003047136	-0.0296636449501402	-0.0919597360677954	-0.0787699933400649	-0.0515729111545469	-0.0674496718529674
LV3003047134	-0.00904971462075994	-0.062300297597434	-0.0258146128516833	0.019646768711711	-0.00636078242782832
LV3003047133	-0.0703575927799764	-0.12915414899343	-0.11277122798301	-0.0963924943712336	-0.105469820813847
LV3003047107	-0.034472468587277	-0.0974990732531985	-0.0835456297019312	-0.0736757887292707	-0.0798149280434072
LV3003047125	-0.0564054274562175	-0.0430228113889677	0.000749931466580835	0.000825402855794292	0.00540159100096881
LV3003047124	-0.10639312797354	0.000164292702258134	0.0481212981149225	0.0431624031032098	0.0465279745851205
LV3003047123	-0.0552888462441926	0.0722753626125767	0.132710559007914	0.116311680612801	0.134104370331452
LV3003047122	-0.101265102694589	0.0015438026034371	0.0514114996368537	0.0452212070400545	0.0478405058988985
LV3003047093	-0.0231506418814756	-0.0861022012621859	-0.0568938491750345	-0.0309640011240752	-0.02930026764187
LV3003047106	-0.115208793035809	-0.105345970571065	-0.0699754374285598	-0.0582963972836635	-0.0584428262832171
LV3003047105	-0.0942559968004825	0.0106341409232984	0.0635670000536091	0.053482158002081	0.0646845108249523
LV3003047104	-0.136234087689165	-0.0342548584943501	0.0105769214025556	0.010229495467112	0.00804301686893091
LV3003047101	-0.0657497259088363	-0.0922334407869027	-0.0635718848739653	-0.048637500779366	-0.0633181549473759
LV3003047100	-0.0476091516782334	-0.107091752485872	-0.0855619175908085	-0.0599127533686913	-0.0699173395757855
LV3003047080	-0.0533375910160341	-0.120453195114678	-0.100019817053148	-0.0813833214027165	-0.0855242533806989
LV3003047091	-0.0789792289345733	-0.0983755651234427	-0.0608719287022308	-0.0438685977511309	-0.0455358824961743
LV3003047090	-0.118542412651418	-0.0239805812884618	0.0259351909783849	0.0196904876909936	0.0301758982844245
LV3003047089	-0.160787639942525	-0.0560554700005562	-0.0131253893575284	0.00791945567179213	-0.00505432709187961
LV3003047088	-0.109199008434463	0.01174112118591	0.0648953034064137	0.0536314724251729	0.0681115626792495
LV3003047087	-0.112438363597943	-0.00830549152485524	0.0360089870315905	0.0303071196878762	0.031751781497361
LV3003047064	-0.136070958679617	0.0448291073822291	0.104883120228937	0.0830985358012892	0.108491278089156
LV3003047079	-0.0906649778869405	-0.0638656373785882	-0.0284007275797014	0.0186998916328009	-0.0239731573066349
LV3003047078	-0.0908970460073106	0.0742209110770266	0.136574745349358	0.114436167314723	0.138418946025816
LV3003047077	-0.121505574668332	0.00874925935059883	0.0563452700617856	0.0467268452916943	0.0528812351757652
LV3003047074	-0.0671475461607986	0.106132189918695	0.175113552956492	0.142058489208186	0.178072103481912
LV3003047073	-0.0680475582462613	0.106132189918695	0.173343860152727	0.13860512209466	0.178246823721166
LV3003047162	-0.106154424028246	0.0589640794773361	0.122730074987574	0.100542031838632	0.123383145291525
LV3003047063	-0.116763539458119	0.0500396132622689	0.110082582208118	0.0881751524638119	0.106328266442881
LV3003047062	-0.0571411828862045	0.060665553738713	0.122622593387978	0.0993161077033492	0.119829625239753
LV3003047061	-0.0820512128192205	0.0203505305894276	0.07482588817969	0.0596859469737675	0.0733433058262328
LV3003047060	-0.0866990170592944	-0.0240950592775772	0.0196433060922464	0.0168201209227023	0.021130130171738
LV3003047059	-0.0774364977933116	-0.00138610830823452	0.049882188781513	0.0385407626527195	0.0506366862036826
LV7001898100	0.142541856250036	0.0622805568241504	0.055630119657416	0.134507106306495	0.0744981140042745
LV7001898088	0.135096810459669	0.0927377867517695	0.0273406895666901	0.0734540000174381	0.0330929858724171
LV7001898076	0.144477784332938	0.196168078471885	0.115451230016494	0.00600207654895292	0.0115375317861321
LV7001898064	0.151387938937763	0.11103360178503	0.102842593141433	0.0454876999237876	0.0615692639291643
LV3003061546	0.0747425505229464	0.051710475582435	0.12335676850605	0.0600439177712111	0.0758489351086002
LV3003061533	0.0788892709227703	0.032007709329653	0.0807238950252726	0.0159512906697016	0.0247580493124365
LV3003061518	0.0862733238904073	0.124536032937192	0.00490521329277167	-0.036377007259127	-0.0340528194881303
LV3003061506	0.146202229101505	0.0859738730606697	0.118361169849906	0.0778123320761463	0.0946064004951815
LV3003061492	0.126440867691387	0.18695896293444	0.0805279694321134	-0.0202637183478924	-0.0152026493970487
LV3003061477	0.181016849650105	0.230308195982211	0.105133375968321	0.0259460079593079	0.0316580079345797
LV3003061572	0.16373384411865	0.217834250353619	0.0846579214859495	0.0121482599080147	0.0236112594912782
LV3003061559	0.0355764869546403	0.0201268197847788	-0.0371071188367766	-0.0517738526214679	-0.0529206441511219
LV3003061545	0.0374266133182633	0.0469618649094564	-0.029567064619263	-0.0562138281121856	-0.0714190227374533
LV3003061531	-0.00710728195227174	0.0169720007451729	-0.0615621645287772	-0.0876621400585221	-0.0913680130231121
LV3003061517	0.0259069534258626	0.0308094800703394	-0.0493810055217921	-0.0499999221086982	-0.0601371291922976
LV3003061505	0.107408453456221	0.0493527529855483	0.0401047901572529	0.0240936749314226	0.0345675860120099
LV3003061488	0.0244423703689119	0.0291153915711203	-0.048562921545717	-0.0715546147376304	-0.0714287969657918
LV3003061476	0.0115405726450181	-0.0244752494522477	-0.0525857154991784	-0.0401620228630123	-0.0498514510970664
LV3003061571	0.0610989553738546	0.0200601607165587	0.0105534399802553	-0.00634454909104123	0.00109710926131379
LV3003061558	0.0538503971181877	0.0143565207857639	-0.022364940023611	-0.0351855556499001	-0.0223631256789616
LV3003061544	0.053578739343629	0.00255718479927472	-0.0188225191173108	-0.0174512899165191	-0.00538757195493002
LV3003061530	0.0578520337652265	-0.0091045431781469	0.0129108298477556	0.0110784571208331	0.022259504073815
LV3003061516	0.0791141281860648	0.0101063815795835	0.0200484557275558	0.0124017915014629	0.0260504891376666
LV3003061504	0.0846904139554257	0.021821208478661	0.0331038058123237	0.0254253524364782	0.0373692518336225
LV3003061486	0.0505700476169078	0.0138741967377989	0.0556994182097267	0.0427057760058619	0.0559851886714782
LV3003061475	0.0481116244357735	-0.0147661459826816	-0.000238625525993154	-0.00768722589019223	0.00860395624481728
LV3003061570	0.024952023357809	-0.038848789081164	-0.0432164231653052	-0.0326670891027694	-0.0343730419047081
LV3003061557	0.0813152567479102	0.0113336211484281	0.0197361767052145	0.0466119223935124	0.0302500833690666
LV3003061543	0.082321385656259	0.056542849010155	0.00612101982292441	0.0215690494928995	0.00781070491590779
LV3003061529	0.0439714751338611	0.0453503808141749	-0.0427593572047087	-0.0246648921316419	-0.0384803799412972
LV3003061515	0.0336160720281185	0.0372655230676586	-0.0534595382991707	0.0974466096134546	-0.0382119056689844
LV3003061503	-0.00851393935983706	-0.0447955839092104	-0.0922186988557661	-0.0726888449208201	-0.071797675985692
LV3003061485	0.0379739969442302	0.023746245890363	-0.0413572090626651	-0.00385566057836454	-0.0286911821142542
LV3003061474	0.00248260122625422	-0.0417331207347275	-0.0686463787894841	-0.0450803319653079	-0.0312218501219951
LV3003061569	-0.017724006736989	-0.0580128251129304	-0.096583023302022	-0.0523273812185862	-0.0499216843024194
LV3003061556	0.00863042199178043	-0.054762735018967	-0.0454910436648339	-0.0348179231867207	-0.0085955516780106
LV3003061541	-0.0200591146562267	-0.0791187999446582	-0.0884088174522943	-0.0717575768665905	-0.0383946107567264
LV3003061528	0.024206206361079	-0.00549113742853204	-0.0595476642698139	0.0162809153167735	-0.0264702888445135
LV3003061514	0.0113362543317215	0.00320111013266092	-0.065292902557887	0.039909223932158	-0.0462332277736403
LV3003061501	-0.0252407358481692	-0.0768917897851759	-0.0697695022244577	-0.0383973832496739	-0.034341686360459
LV3003061489	0.00673017313217245	0.0276220469700081	0.0748234723608831	0.0965640267636728	0.0935715071401786
