state	sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	core_ord	harmonization_mode	label
1	LV7008886740	GeoB25202_R1	43.105	4.4621	8.3026120984	0.286204014874933	0.154831614804815	-1.04637306061256	3	corewise_z	G-A
1	LV7008886221	GeoB25202_R1	50.3555	4.336445	8.9755353679	-0.185397471662165	-0.0415085205618375	-1.05872823031852	3	corewise_z	G-A
1	LV7008886692	GeoB25202_R1	53.875	4.3875	6.235490352	-0.943427509800556	-0.192876456754659	-0.56976675237838	3	corewise_z	G-A
1	LV7008886765	GeoB25202_R1	58.181	4.47914	7.16758002833333	0.243531678699158	0.226144662647861	-0.85544899292001	3	corewise_z	G-A
1	LV7008886222	GeoB25202_R1	136.2775	4.81445	10.5709554267778	-0.361791847636872	0.133833295416667	-0.535657499929451	3	corewise_z	G-A
1	LV7008886709	GeoB25202_R1	147.206	4.79734	9.36027059022222	-0.459961794010128	-0.180173770171746	-0.849713033453871	3	corewise_z	G-A
1	LV7008886770	GeoB25202_R1	156.777	4.74892	11.547983389	0.0172256439256665	0.08124017775129	-0.936426055781501	3	corewise_z	G-A
1	LV7008886722	GeoB25202_R1	191.4645	3.958135	10.1545751152143	-1.06253348356587	-0.338805795664017	-0.600501055571512	3	corewise_z	G-A
1	LV7008886698	GeoB25202_R1	197.845	3.8076	6.73118480607143	-0.43345613738649	-0.252877168520936	-0.835120560937071	3	corewise_z	G-A
1	LV7008886711	GeoB25202_R1	215.92	3.5308	8.73138826475	-0.128537827183598	0.0338168255210196	-0.670677420453833	3	corewise_z	G-A
1	LV7008867166	GeoB25202_R1	266.247	4.5	6.6175651295	0.222777416938149	0.423011384188116	-0.543382191195164	3	corewise_z	G-A
1	LV7008867142	GeoB25202_R1	273.1135	4.43319	5.80428117764286	0.986938179335294	0.233975616385348	-0.88152246165862	3	corewise_z	G-A
1	LV7008867118	GeoB25202_R1	276.3655	4.35117	6.6445155301	0.65968181203639	0.0141974221033742	-0.707343535856913	3	corewise_z	G-A
1	LV7008867191	GeoB25202_R1	279.495	4.18545	5.32153397325	0.688243291731136	0.697496283364689	-0.162455671661265	3	corewise_z	G-A
1	LV7008867167	GeoB25202_R1	292.808	4.2296	5.4518017491	1.15727655568424	0.357416063330724	-0.653968043325514	3	corewise_z	G-A
1	LV7008867131	GeoB25202_R1	300.631	4.04524	8.279643003	-0.572473138228105	-0.107292287898783	-0.432257144267605	3	corewise_z	G-A
1	LV7008867169	GeoB25202_R1	344.618	4.77854	9.39378769826667	-0.502037472750305	-0.199502160998574	-0.834403029651484	3	corewise_z	G-A
1	LV7008867194	GeoB25202_R1	362.3745	4.511235	5.7208165615	0.293419422991483	0.33945756597754	-0.476221908450599	3	corewise_z	G-A
1	LV7008867148	GeoB25202_R1	384.996	4.13976	9.1812133056	-0.58989593873138	-0.360471431279821	-0.788629122064974	3	corewise_z	G-A
1	LV7008867113	GeoB25202_R1	422.7205	3.99764	7.21069035797222	0.620033818719351	-0.285414219851998	-0.702793449036629	3	corewise_z	G-A
1	LV7008886715	GeoB25202_R2	27.6855	4.75	7.86592749392857	1.11904372602087	-0.0859831806956259	-1.25755351834738	4	corewise_z	G-A
1	LV7008886226	GeoB25202_R2	36.607	4.45607	9.28041102375	-0.501238657910366	-0.29579424169453	-0.754966128042933	4	corewise_z	G-A
1	LV7008886752	GeoB25202_R2	43.105	4.4621	8.3026120984	-0.063917379410136	-0.0118972041258363	-1.17206501759617	4	corewise_z	G-A
1	LV7008886728	GeoB25202_R2	50.3555	4.336445	8.9755353679	-0.368718546387417	-0.130548938014385	-1.07656712273781	4	corewise_z	G-A
1	LV7008886704	GeoB25202_R2	53.875	4.3875	6.235490352	-0.641147253750431	-0.0101677327394275	-0.56579717356724	4	corewise_z	G-A
