sample	module	module_abundance	core	age_kyr	state	state_label	index	value	sample_mean	centered	analysis_set
LV3003047009	turquoise	0.433729992549043	ST8	20.142	3	IG-A	OAP	390.845764607567	338.709732303269	52.1360323042977	include_grey
LV3003047009	yellow	0.0284808749707672	ST8	20.142	3	IG-A	OAP	608.583263938586	338.709732303269	269.873531635317	include_grey
LV3003047009	brown	0.144040050253169	ST8	20.142	3	IG-A	OAP	-39.0627191290621	338.709732303269	-377.772451432331	include_grey
LV3003047009	blue	0.00609945123974134	ST8	20.142	3	IG-A	OAP	545.52258722444	338.709732303269	206.812854921171	include_grey
LV3003047009	green	0.000664875536387319	ST8	20.142	3	IG-A	OAP	185.252669039146	338.709732303269	-153.457063264123	include_grey
LV3003047010	green	0.154002613653786	ST8	13.676	5	IG-C	OAP	652.866624117499	632.679431690226	20.1871924272724	include_grey
LV3003047010	turquoise	0.614169215830857	ST8	13.676	5	IG-C	OAP	458.310640453162	632.679431690226	-174.368791237065	include_grey
LV3003047010	grey	0.193690727369628	ST8	13.676	5	IG-C	OAP	618.693408551566	632.679431690226	-13.9860231386606	include_grey
LV3003047010	yellow	0.031258715221248	ST8	13.676	5	IG-C	OAP	528.304093640461	632.679431690226	-104.375338049766	include_grey
LV3003047010	blue	0.00658523942674834	ST8	13.676	5	IG-C	OAP	717.901823378671	632.679431690226	85.222391688445	include_grey
LV3003047010	brown	0.00029348849773313	ST8	13.676	5	IG-C	OAP	820	632.679431690226	187.320568309774	include_grey
LV3003047013	grey	0.199405300624319	ST8	5.885	5	IG-C	OAP	493.069392315325	544.680259086896	-51.6108667715706	include_grey
LV3003047013	green	0.0990995586652669	ST8	5.885	5	IG-C	OAP	637.046653935343	544.680259086896	92.3663948484475	include_grey
LV3003047013	turquoise	0.678834362894972	ST8	5.885	5	IG-C	OAP	371.586095740875	544.680259086896	-173.09416334602	include_grey
LV3003047013	yellow	0.0202648666616203	ST8	5.885	5	IG-C	OAP	468.309372421037	544.680259086896	-76.3708866658587	include_grey
LV3003047013	blue	0.0023959111538221	ST8	5.885	5	IG-C	OAP	753.389781021898	544.680259086896	208.709521935002	include_grey
LV3003047026	grey	0.4107582756752	ST8	19.565	3	IG-A	OAP	444.388657633313	443.365162808712	1.0234948246005	include_grey
LV3003047026	turquoise	0.433194051582276	ST8	19.565	3	IG-A	OAP	426.716021207555	443.365162808712	-16.6491416011573	include_grey
LV3003047026	yellow	0.0258558885963771	ST8	19.565	3	IG-A	OAP	619.229679774197	443.365162808712	175.864516965485	include_grey
LV3003047026	green	0.00188826620761828	ST8	19.565	3	IG-A	OAP	620.114823788546	443.365162808712	176.749660979834	include_grey
LV3003047026	blue	0.00778056678319822	ST8	19.565	3	IG-A	OAP	640.84917464817	443.365162808712	197.484011839457	include_grey
LV3003047026	brown	0.120522951155331	ST8	19.565	3	IG-A	OAP	-91.1073801995071	443.365162808712	-534.472543008219	include_grey
LV3003047027	green	0.0887700842881602	ST8	12.877	5	IG-C	OAP	668.110653007671	528.193568666968	139.917084340703	include_grey
LV3003047027	turquoise	0.610781860485535	ST8	12.877	5	IG-C	OAP	460.775274055148	528.193568666968	-67.4182946118194	include_grey
LV3003047027	grey	0.241959425347908	ST8	12.877	5	IG-C	OAP	622.719528501094	528.193568666968	94.5259598341269	include_grey
LV3003047027	yellow	0.0515386979235261	ST8	12.877	5	IG-C	OAP	590.96588299431	528.193568666968	62.7723143273423	include_grey
LV3003047027	blue	0.00636962772729268	ST8	12.877	5	IG-C	OAP	564.503194010958	528.193568666968	36.3096253439904	include_grey
LV3003047027	brown	0.000580304227578032	ST8	12.877	5	IG-C	OAP	262.086879432624	528.193568666968	-266.106689234343	include_grey
LV3003047028	turquoise	0.802540804307589	ST8	4.753	2	IG-D	OAP	290.36295520873	470.362544958156	-179.999589749426	include_grey
