sample	total_reads_retained_taxa	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	core	age_kyr	state	state_label
LV3003047134	265089	445.3794867068	-13.8155105579643	0	-2.2161473831282	-2.84321818038822	-0.827404861677594	ko	429	403	380	318	0.962763449256665	0.893696079429927	0.792050971560495	ST8	68.807	4	IG-B
LV3003047136	273614	487.659327438098	-13.8155105579643	0	-2.05916261049277	-3.12451651800739	-0.875009146805461	ko	468	438	413	356	0.972914397655091	0.909997295460028	0.79654549840286	ST8	67.8766	4	IG-B
LV3003047137	199065	350.186582264386	-13.8155105579643	0	-2.08482858496782	-2.62380790666791	-0.611583757095957	ko	339	336	320	280	0.996001306106046	0.922146032702886	0.875955090045965	ST8	66.9462	1	G-A
LV3003047138	238312	402.316815378645	-13.8155105579643	0	-1.98422356601554	-3.02722194177871	-0.628887657405133	ko	413	395	373	321	0.982204001477055	0.92047819664977	0.813588908657558	ST8	66.0158	4	IG-B
LV3003047139	193122	467.707727279735	-13.8155105579643	0	-1.97320511058351	-2.98302623082547	-0.830866484283799	ko	350	345	326	275	0.993449736436035	0.953008978780253	0.811777011422831	ST8	58.6141266666667	1	G-A
LV3003047140	29261	440.053682798325	-13.8155105579643	0	-11.2612350390092	-2.57984037332289	-0.774251344358791	ko	108	107	102	90	0.995830627798093	0.949249854755477	0.829465841905608	ST8	46.0948	2	IG-D
LV3003047141	6891	249.786074587806	-13.8155105579643	0	-12.4562738921749	-2.0093509129141	-0.374167180679174	ko	27	27	26	21	1	0.983892033086635	0.876360470178494	ST8	39.15347	2	IG-D
LV3003047142	202061	518.367428669781	-13.8155105579643	6.60982094106601	-1.12982548455569	-2.46406832033646	-1.0060154633117	ko	434	426	408	352	0.991784659088097	0.949059937345653	0.825117167588006	ST8	35.5823	1	G-A
LV3003047143	385370	445.240571595969	-13.8155105579643	0	-2.24835592786469	-2.64069531181862	-0.739308539338594	ko	541	521	498	436	0.989150686353375	0.948999662661857	0.874294833536601	ST8	31.398	1	G-A
LV3003047144	655177	519.733359206706	-13.8155105579643	0	-1.56243481133032	-2.34169830374918	-0.866040675895935	ko	744	720	692	599	0.987182089725372	0.953710218765311	0.847760223573172	ST8	27.729	1	G-A
LV3003047145	644011	383.631913700189	-4.43851548146073	-3.49453789370343	-1.68032221629882	-2.45209093124706	-0.532558201454464	ko	706	668	618	551	0.984734732791831	0.923779252217742	0.845325623320099	ST8	23.446	3	IG-A
LV3003047146	383035	501.734776432917	-13.8155105579643	0	-1.97348098146082	-2.80161036800776	-0.861026715912001	ko	588	566	544	464	0.980367329356325	0.944806610361977	0.809398618925164	ST8	63.2667	1	G-A
LV3003047147	230733	444.210825772122	-13.8155105579643	0	-1.9199443601076	-2.83375783507624	-0.761555985743779	ko	427	414	396	342	0.987574382511388	0.950219517797628	0.799140131667338	ST8	62.3217	1	G-A
LV3003047148	231255	380.566701304332	-13.8155105579643	0	-1.97040667241014	-2.44703933728662	-0.674624209921604	ko	399	390	372	323	0.987926747529783	0.950284318176904	0.811887310544637	ST8	61.3767	1	G-A
LV3003047149	174745	406.571721317252	-13.8155105579643	0	-2.12308241109274	-2.78835481062844	-0.712167644722437	ko	360	351	330	284	0.98741594895419	0.935986723511402	0.830638931013763	ST8	60.4317	1	G-A
