sample	module	module_abundance	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	n_taxa_in_module_sample	module_total_reads	core	age_kyr	state	state_label
LV3003061488	turquoise	0.686043708954756	383.507532571337	-13.8155105579643	0	-2.09131078179594	-2.94531997599627	-0.883361857078407	ko	232	232	222	186	1	0.924971925433953	0.823221676773511	232	623340	ST13	35.041	1	G-A
LV3003061488	yellow	0.0748007101026743	589.333477694481	-13.8155105579643	0	-0.824041981646835	-3.16991665478794	-1.13368402310058	ko	74	72	69	54	0.976899535047967	0.954372903301748	0.783105761873933	74	67964	ST13	35.041	1	G-A
LV3003061488	blue	0.00792096860998392	662.050117766715	-13.8155105579643	0	-1.60489687316784	-3.36363720351747	-1.85184782467197	ko	43	39	37	27	0.932471863276365	0.891204668611922	0.59899958315965	43	7197	ST13	35.041	1	G-A
LV3003061488	brown	0.00127778860027669	122.702258866347	-13.8155105579643	0	-13.0935278277644	1.13635261665096	0.384489831635812	ko	8	6	5	6	0.794142980189492	0.661498708010336	0.794142980189492	8	1161	ST13	35.041	1	G-A
LV3003061489	turquoise	0.538262560327766	243.97586744686	-13.8155105579643	0	-0.478936502482417	-3.44767498411764	-0.638730489746104	ko	137	137	131	112	1	0.951994839542009	0.882612481857765	137	155025	ST13	112.6068	2	IG-D
LV3003061489	grey	0.405027603208222	114.567250415909	-13.8155105579643	0	-3.04788378542613	-1.76937276308702	-0.378024550592309	ko	104	99	94	76	0.992790522237081	0.967895964064054	0.932662963343963	104	116652	ST13	112.6068	2	IG-D
LV3003061489	green	0.0432172494010625	660.65030684259	-13.8155105579643	0	0	-14.6363272016874	-1.54504853766818	ko	35	35	33	24	1	0.894994777858118	0.523660319755765	35	12447	ST13	112.6068	2	IG-D
LV3003061489	yellow	0.0125342870039235	624.448001310616	-13.8155105579643	0	0	-14.9315599603658	-0.979166217076576	ko	18	18	17	14	1	0.965373961218837	0.845429362880886	18	3610	ST13	112.6068	2	IG-D
LV3003061489	blue	0.000958300059025728	820	-13.8155105579643	0	0	-15.3195879547405	-9.21034037197618	ko	1	1	1	1	1	1	1	1	276	ST13	112.6068	2	IG-D
LV3003061492	grey	0.198970726460785	546.150112351396	-4.06525203235942	-3.18744357069778	-1.56409300703794	-2.32212711226031	-0.803571342388757	ko	533	467	446	412	0.920358318522181	0.871708694703176	0.796370042718481	533	448986	ST13	14.437	3	IG-A
LV3003061492	green	0.00698812298281043	687.9626943881	-13.8155105579643	0	-9.57472877358772	-14.8153568959417	-1.79316352385668	ko	34	33	32	23	0.992770625911599	0.980404591286702	0.75033293170144	34	15769	ST13	14.437	3	IG-A
LV3003061492	turquoise	0.64092241982537	422.716868310218	-13.8155105579643	0	-1.12273972506419	-3.05595037827434	-0.928404681576657	ko	233	232	223	186	0.999406057932515	0.945909094366263	0.78085612012703	233	1446269	ST13	14.437	3	IG-A
LV3003061492	yellow	0.11803497651053	586.638833063568	-13.8155105579643	0	-1.78335605843168	-3.49479746453036	-0.872729162984517	ko	75	73	69	54	0.989551381447789	0.961633333458481	0.790975066735248	75	266351	ST13	14.437	3	IG-A
LV3003061492	blue	0.0235541711370003	637.46946616649	-13.8155105579643	0	-1.84212285785239	-3.48208203234633	-1.49737397127164	ko	131	111	100	85	0.856390284284397	0.784105661229328	0.601286899587966	131	53151	ST13	14.437	3	IG-A
