state	module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
2	brown	MGI	include_grey	18	0	4.33464101695905	0.0224942712224497	ok	0.0449885424448993	no_call
4	green	MGI	include_grey	43	0	-0.162498987911504	0.18144920772142	ok	0.241932276961894	no_call
4	turquoise	MGI	include_grey	43	0	-0.162498987911504	0.18144920772142	ok	0.241932276961894	no_call
4	grey	MGI	include_grey	43	0	0.0704825726382301	1	ok	1	no_call
4	yellow	MGI	include_grey	43	0	-0.162498987911504	0.18144920772142	ok	0.241932276961894	no_call
4	blue	MGI	include_grey	33	0	-0.124392536503043	0.371093369522698	ok	0.445312043427237	no_call
4	brown	MGI	include_grey	24	0	0.91819052173919	0.422678074170636	ok	0.483060656195012	no_call
3	grey	MFI	include_grey	32	1.23370238828776	1.81390527530667	0.0292393817641058	ok	0.122856064687271	no_call
3	green	MFI	include_grey	30	0.207573068064542	0.090870724765929	0.690261725004109	ok	0.915752100760232	no_call
3	turquoise	MFI	include_grey	32	0.207573068064542	0.118475095874402	0.650906325027004	ok	0.915752100760232	no_call
3	yellow	MFI	include_grey	32	0.207573068064542	0.118475095874402	0.650906325027004	ok	0.915752100760232	no_call
3	blue	MFI	include_grey	31	0.415146136129084	0.15791233737003	0.502654307083789	ok	0.857469112084111	no_call
3	brown	MFI	include_grey	32	-2.80998942265911	-2.28902434835075	0.013579415038449	ok	0.122856064687271	no_call
5	green	MFI	include_grey	13	0	-0.0882764459549852	1	ok	1	no_call
5	turquoise	MFI	include_grey	13	0	-0.0882764459549852	1	ok	1	no_call
5	grey	MFI	include_grey	13	0	0.441382229774926	1	ok	1	no_call
5	yellow	MFI	include_grey	13	0	-0.0882764459549852	1	ok	1	no_call
5	blue	MFI	include_grey	13	0	-0.0882764459549852	1	ok	1	no_call
5	brown	MFI	include_grey	4	0	-0.286898449353702		insufficient_n		no_call
2	turquoise	MFI	include_grey	51	0	0.396486823585936	0.0208625823327655	ok	0.122856064687271	no_call
2	grey	MFI	include_grey	51	0	0.593874157329176	0.0142661867014469	ok	0.122856064687271	no_call
2	green	MFI	include_grey	26	0	0.187509131414725	0.371093369522698	ok	0.672606732259889	no_call
1	grey	MFI	include_grey	75	0	0.291829411796898	0.320157799909338	ok	0.618971746491388	no_call
1	turquoise	MFI	include_grey	75	0	0.179966052580669	0.038127744213291	ok	0.122856064687271	no_call
1	yellow	MFI	include_grey	75	0	0.179966052580669	0.038127744213291	ok	0.122856064687271	no_call
1	green	MFI	include_grey	67	0	0.108559750551919	0.167956584232493	ok	0.431712236202879	no_call
1	blue	MFI	include_grey	66	0	0.231155168653211	0.023789604192529	ok	0.122856064687271	no_call
1	brown	MFI	include_grey	60	0	-1.1901976364993	0.050011746602489	ok	0.145034065147218	no_call
2	yellow	MFI	include_grey	47	0	0.332929902200851	0.0346105575157073	ok	0.122856064687271	no_call
2	blue	MFI	include_grey	14	0	0.417154846835636	0.201242620957724	ok	0.431712236202879	no_call
2	brown	MFI	include_grey	18	0	-4.27064003903291	0.0142661867014469	ok	0.122856064687271	no_call
4	green	MFI	include_grey	43	0	0.0130949983072491	0.726286148878805	ok	0.915752100760232	no_call
4	turquoise	MFI	include_grey	43	0	0.0130949983072491	0.726286148878805	ok	0.915752100760232	no_call
4	grey	MFI	include_grey	43	0	0.574125698246393	0.183430618982178	ok	0.431712236202879	no_call
4	yellow	MFI	include_grey	43	0	0.0130949983072491	0.726286148878805	ok	0.915752100760232	no_call
4	blue	MFI	include_grey	33	0	-0.0660845040137554	0.932646638965876	ok	1	no_call
4	brown	MFI	include_grey	24	0	-1.00816129890734	0.208412803684149	ok	0.431712236202879	no_call
3	grey	DCI	include_grey	32	0.921588807071437	0.707113421256149	0.0096030824515786	ok	0.016381728887987	enriched
3	green	DCI	include_grey	30	-2.64533375162471	-2.09231148357836	0.0201135801863983	ok	0.0291646912702775	depleted
3	turquoise	DCI	include_grey	32	1.49333489983876	0.99354623696087	0.000965598879540471	ok	0.00311137416740818	enriched
3	yellow	DCI	include_grey	32	1.29350390474467	0.54579221090604	0.0106981993387819	ok	0.017235987823593	enriched
3	blue	DCI	include_grey	31	1.43134637411858	1.42766498124689	0.000220798330022218	ok	0.000914735938663476	enriched
3	brown	DCI	include_grey	32	-0.0157224818446621	-1.66796030385128	0.460144990825189	ok	0.533768189357219	no_call
5	green	DCI	include_grey	13	-6.37805018285734	-6.7837770807362	0.00166169445798351	ok	0.00409279806388177	depleted
5	turquoise	DCI	include_grey	13	0.76364681522902	0.541928139891847	0.107973208797929	ok	0.130467627297498	no_call
5	grey	DCI	include_grey	13	-0.812811943217333	-0.825135817656735	0.107973208797929	ok	0.130467627297498	no_call
5	yellow	DCI	include_grey	13	2.71405140308305	2.76360684457087	0.00333335402513658	ok	0.00690480476635435	enriched
5	blue	DCI	include_grey	13	3.04408927039673	4.80290803066701	0.00166169445798351	ok	0.00409279806388177	enriched
5	brown	DCI	include_grey	4	0.353883382406738	-1.62347287939457		insufficient_n		no_call
2	turquoise	DCI	include_grey	51	-1.26516474254472	-1.96360470413879	0.0062690003112658	ok	0.0121200672684472	depleted
2	grey	DCI	include_grey	51	0.270305614852797	-0.0054056683532748	0.576174203223095	ok	0.642655842056529	no_call
2	green	DCI	include_grey	26	1.71871485077967	1.77240713384553	0.000415059152078243	ok	0.00150458942628363	enriched
1	grey	DCI	include_grey	75	0.855138992051947	0.842974197163199	0.00169357161264073	ok	0.00409279806388177	enriched
1	turquoise	DCI	include_grey	75	0.977094624632063	0.811669607593548	0.00188608259330862	ok	0.00420741501584231	enriched
1	yellow	DCI	include_grey	75	2.3108212612306	1.76713210640463	1.03675469981421e-07	ok	1.0021962098204e-06	enriched
1	green	DCI	include_grey	67	2.59059846638613	1.6447373414423	7.61536317742988e-06	ok	4.41691064290933e-05	enriched
1	blue	DCI	include_grey	66	0.806738607779112	-0.512144300730496	0.65937400704981	ok	0.694007846435099	no_call
1	brown	DCI	include_grey	60	-8.59762396819628	-5.55048452275875	7.39553728133876e-07	ok	5.3617645289706e-06	depleted
2	yellow	DCI	include_grey	47	2.31499000284731	1.1414750675531	0.0157564945629018	ok	0.0240493864381133	enriched
2	blue	DCI	include_grey	14	2.42996698888649	2.027929231178	0.00694669816590924	ok	0.0125908904257105	enriched
2	brown	DCI	include_grey	18	0.588912584948374	-1.53907743857645	0.670076541385613	ok	0.694007846435099	no_call
4	green	DCI	include_grey	43	-5.57701055079102	-4.90679736812198	4.98510128890623e-08	ok	7.22839686891403e-07	depleted
4	turquoise	DCI	include_grey	43	1.87358228529491	2.06821963081776	4.98510128890623e-08	ok	7.22839686891403e-07	enriched
4	grey	DCI	include_grey	43	1.42960219073678	1.34831184228555	4.14139654948639e-05	ok	0.000200167499891842	enriched
4	yellow	DCI	include_grey	43	1.63623391452423	0.595131612003061	0.0541100038802623	ok	0.0713268232967094	no_call
4	blue	DCI	include_grey	33	2.64329858321327	2.11435402057591	0.0365696771267115	ok	0.0505009826987921	no_call
4	brown	DCI	include_grey	24	1.74512048467876	-1.30345452122224	0.699708281583502	ok	0.699708281583502	no_call
3	grey	MII	include_grey	32	2.57661035570328	2.83550715180435	9.17888723281819e-07	ok	2.41988845228843e-06	enriched
3	green	MII	include_grey	30	-10.2316788880933	-10.0367313301375	1.82537145636121e-06	ok	4.07198247957501e-06	depleted
3	turquoise	MII	include_grey	32	1.86571310211669	1.89162293291311	1.1099335898159e-06	ok	2.68233950872175e-06	enriched
3	yellow	MII	include_grey	32	1.47736983784882	1.4383650875313	1.16038335279217e-05	ok	2.24340781539819e-05	enriched
3	blue	MII	include_grey	31	1.23459231444283	-0.452552418500448	0.0535746693860157	ok	0.0597563620074791	no_call
3	brown	MII	include_grey	32	3.11439504617209	3.68235060517741	8.34288912027683e-07	ok	2.41943784488028e-06	enriched
5	green	MII	include_grey	13	-9.11092661430558	-8.84471286877794	0.00166169445798351	ok	0.00253627048850115	depleted
5	turquoise	MII	include_grey	13	3.07086904620824	2.8436485221878	0.00210524537077069	ok	0.00277509617056136	enriched
5	grey	MII	include_grey	13	2.73054592491771	3.1979025099345	0.00210524537077069	ok	0.00277509617056136	enriched
5	yellow	MII	include_grey	13	2.74079292295609	2.98366458633958	0.00210524537077069	ok	0.00277509617056136	enriched
5	blue	MII	include_grey	13	1.7102936933202	-0.470951970069226	0.726767806199101	ok	0.75272379927764	no_call
5	brown	MII	include_grey	4	-1.74551125154475	0.943959966252132		insufficient_n		no_call
2	turquoise	MII	include_grey	51	2.79579101902196	1.8235748319655	0.00108826905323975	ok	0.00175332236355293	enriched
2	grey	MII	include_grey	51	4.93285957191227	4.59523067105776	1.14282240984358e-09	ok	6.62836997709275e-09	enriched
2	green	MII	include_grey	26	-6.37983817474588	-7.01306936905416	8.80366976890794e-06	ok	1.82361730927379e-05	depleted
1	grey	MII	include_grey	75	3.00592372135499	3.46517209663987	2.6529793517183e-13	ok	7.69364011998308e-12	enriched
1	turquoise	MII	include_grey	75	2.07066688446986	2.42914524690396	2.10733568811397e-11	ok	2.03709116517684e-10	enriched
1	yellow	MII	include_grey	75	1.69285967590754	2.16096899838051	1.47483753972467e-10	ok	1.06925721630039e-09	enriched
1	green	MII	include_grey	67	-9.13796843773659	-9.23705276443997	1.14534011850669e-12	ok	1.6607431718347e-11	depleted
1	blue	MII	include_grey	66	-1.74107848585917	-3.13646000094533	0.000314713473081878	ok	0.000536864159963205	depleted
1	brown	MII	include_grey	60	3.80308464126846	3.69570699392573	0.0194231253558803	ok	0.0225308254128212	enriched
2	yellow	MII	include_grey	47	-1.13126798123828	-2.1624016253518	0.00622878525625553	ok	0.00752644885130876	depleted
2	blue	MII	include_grey	14	-6.34342306052497	-5.25045931165511	0.0038804738522969	ok	0.00489277137898305	depleted
2	brown	MII	include_grey	18	1.99277895893948	1.67333498310712	0.930591460030879	ok	0.930591460030879	no_call
4	green	MII	include_grey	43	-7.98131234696414	-8.06675053126169	1.16059948351433e-08	ok	3.7397094468795e-08	depleted
4	turquoise	MII	include_grey	43	3.83991690330662	3.66848785035852	1.16059948351433e-08	ok	3.7397094468795e-08	enriched
4	grey	MII	include_grey	43	4.64145974958263	4.51624142973729	1.16059948351433e-08	ok	3.7397094468795e-08	enriched
4	yellow	MII	include_grey	43	3.69785525997852	3.61325445400568	1.16059948351433e-08	ok	3.7397094468795e-08	enriched
4	blue	MII	include_grey	33	-6.31431020852413	-3.88824882104819	0.000307022619753351	ok	0.000536864159963205	depleted
4	brown	MII	include_grey	24	-1.67871189215737	-1.33878402614671	0.0574331196320036	ok	0.0616874247899298	no_call
3	grey	SRPI	include_grey	32	0.432803569512857	0.752069854561017	8.34288912027683e-07	ok	3.80268185359611e-06	enriched
3	green	SRPI	include_grey	30	-0.480958710742509	-0.775395701801788	0.000639357171617894	ok	0.00132438271263707	depleted
3	turquoise	SRPI	include_grey	32	0.169432659108927	0.462260087767448	9.17888723281819e-07	ok	3.80268185359611e-06	enriched
3	yellow	SRPI	include_grey	32	0.0518807401337792	0.191666215602346	0.152582487136527	ok	0.170188158729203	no_call
3	blue	SRPI	include_grey	31	-0.543486709300012	-1.27819011068303	6.8787205180584e-06	ok	1.99482895023694e-05	depleted
3	brown	SRPI	include_grey	32	0.401214872522686	0.559183982232555	2.13527133003591e-06	ok	6.88031873011571e-06	enriched
5	green	SRPI	include_grey	13	-0.194049655213547	0.107693993628373	0.624700399444191	ok	0.647011127995769	no_call
5	turquoise	SRPI	include_grey	13	0.279416541332161	0.546254049782507	0.0118734386660867	ok	0.0156513509689324	enriched
5	grey	SRPI	include_grey	13	0.699312471851008	0.831240918683584	0.00518313292290662	ok	0.00839329437759367	enriched
5	yellow	SRPI	include_grey	13	0.35980174284681	0.610870803808035	0.00166169445798351	ok	0.00301182120509511	enriched
5	blue	SRPI	include_grey	13	-0.703593108596708	-1.23528727065241	0.00971619488408052	ok	0.0134176024589683	depleted
5	brown	SRPI	include_grey	4	-3.03392238613769	-2.79751060956281		insufficient_n		no_call
2	turquoise	SRPI	include_grey	51	0.662087295372859	0.930148692282846	1.28086461547718e-05	ok	3.09952112525614e-05	enriched
2	grey	SRPI	include_grey	51	1.40251950812601	1.42369216100683	1.62117355040916e-09	ok	1.56713443206219e-08	enriched
2	green	SRPI	include_grey	26	-1.38180911893823	-2.6634427399347	0.00520963099298918	ok	0.00839329437759367	depleted
1	grey	SRPI	include_grey	75	1.12529504326819	1.36599742210047	9.84652204409336e-14	ok	2.85549139278707e-12	enriched
1	turquoise	SRPI	include_grey	75	0.892485321430331	1.03773291423494	3.24696988284808e-10	ok	4.70810633012972e-09	enriched
1	yellow	SRPI	include_grey	75	0.816139119862485	0.859386369352196	1.69440667470033e-06	ok	6.14222419578871e-06	enriched
1	green	SRPI	include_grey	67	-0.679148169188551	-1.71296129489444	0.000248638972900595	ok	0.000554656170316712	depleted
1	blue	SRPI	include_grey	66	-0.676234102524534	-2.30325257974077	1.28256046562323e-05	ok	3.09952112525614e-05	depleted
1	brown	SRPI	include_grey	60	0.89652701041347	0.367488734904126	0.0069751678321015	ok	0.0102628713807768	enriched
2	yellow	SRPI	include_grey	47	0.391104529602047	0.415675428875923	0.00707784233157023	ok	0.0102628713807768	enriched
2	blue	SRPI	include_grey	14	-5.31631552119997	-3.18816626266694	0.0516462183078041	ok	0.0651191448228834	no_call
2	brown	SRPI	include_grey	18	-1.2919644328276	-1.42771054218347	0.107100592248172	ok	0.129413215633208	no_call
4	green	SRPI	include_grey	43	-0.305472432757356	0.0695568028927724	0.832644079108251	ok	0.832644079108251	no_call
4	turquoise	SRPI	include_grey	43	0.315125679044266	0.757604315290702	1.53938431943771e-08	ok	8.92842905273873e-08	enriched
4	grey	SRPI	include_grey	43	0.67522481570192	1.06100882065387	1.16059948351433e-08	ok	8.41434625547887e-08	enriched
4	yellow	SRPI	include_grey	43	-0.00633974612931776	0.428791868349593	0.152464075919562	ok	0.170188158729203	no_call
4	blue	SRPI	include_grey	33	-0.655849432771137	-1.97229659957528	0.000889221283709005	ok	0.00171916114850408	depleted
4	brown	SRPI	include_grey	24	0.192501395203302	-1.43931541346059	0.44896428043818	ok	0.482220893803971	no_call
3	green	OAP	exclude_grey	29	210.128163131361	160.348208654695	0.000585835146793837	ok	0.00100428882307515	enriched
3	turquoise	OAP	exclude_grey	32	-50.5703876093719	-47.2784861866917	0.000394929549822521	ok	0.000729100707364655	depleted
3	yellow	OAP	exclude_grey	32	115.867629372056	142.067067633926	8.34288912027683e-07	ok	2.50286673608305e-06	enriched
3	blue	OAP	exclude_grey	31	195.231653656486	213.992278205881	1.23371316587186e-06	ok	3.2899017756583e-06	enriched
3	brown	OAP	exclude_grey	32	-462.674231282281	-447.409165052499	8.34288912027683e-07	ok	2.50286673608305e-06	depleted
5	green	OAP	exclude_grey	13	89.233755365252	93.1815795802612	0.00166169445798351	ok	0.00199403334958021	enriched
5	turquoise	OAP	exclude_grey	13	-163.672334620615	-153.374404891308	0.00166169445798351	ok	0.00199403334958021	depleted
5	yellow	OAP	exclude_grey	13	-77.0917233972127	-60.7832642701024	0.00971619488408052	ok	0.0111042227246634	depleted
5	blue	OAP	exclude_grey	13	102.377615427733	125.42808441223	0.00166169445798351	ok	0.00199403334958021	enriched
5	brown	OAP	exclude_grey	4	-13.3247399469376	-14.4689832010139		insufficient_n		no_call
2	turquoise	OAP	exclude_grey	51	-68.9403110322716	-73.8635381681419	0.000645065550619576	ok	0.00103210488099132	depleted
2	green	OAP	exclude_grey	22	175.516571535985	168.107972857845	0.000825910570044769	ok	0.00123886585506715	enriched
1	turquoise	OAP	exclude_grey	75	-96.3879337739334	-92.6031778589986	2.47159429801413e-10	ok	1.9772754384113e-09	depleted
1	yellow	OAP	exclude_grey	75	75.1361830993686	75.1181719767158	1.89415169324459e-09	ok	1.13649101594675e-08	enriched
1	green	OAP	exclude_grey	65	205.451787921696	210.402069478405	3.74097217083038e-12	ok	8.97833320999291e-11	enriched
1	blue	OAP	exclude_grey	66	131.634269520054	85.4966245518018	1.66558747391715e-05	ok	3.63400903400106e-05	enriched
1	brown	OAP	exclude_grey	60	-298.678121693364	-300.125604922401	4.3301918258828e-11	ok	5.19623019105936e-10	depleted
