sample	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003047083	443	431	410	357	0.972911963882618	0.925507900677201	0.805869074492099	0.9877346849809	0.948533703755699	0.834104225622686	ko	1	G-A	ST8	37.30319
LV3003047084	655	616	584	500	0.940458015267176	0.891603053435114	0.763358778625954	0.977129696379586	0.941889880255779	0.821615751186675	ko	4	IG-B	ST8	33.276
LV3003047085	606	598	572	489	0.986798679867987	0.943894389438944	0.806930693069307	0.996718733051307	0.955531149437755	0.848146490942619	ko	1	G-A	ST8	29.703
LV3003047087	142	142	135	116	1	0.950704225352113	0.816901408450704	1	0.927900986641055	0.85375010914171	ko	2	IG-D	ST8	94.9015
LV3003047088	112	112	104	90	1	0.928571428571429	0.803571428571429	1	0.890961262553802	0.838202686839703	ko	2	IG-D	ST8	93.52
LV3003047089	206	206	194	156	1	0.941747572815534	0.757281553398058	1	0.885263224633853	0.851061281709886	ko	2	IG-D	ST8	92.1385
LV3003047090	161	161	151	132	1	0.937888198757764	0.819875776397516	1	0.867826307770442	0.9372415294203	ko	2	IG-D	ST8	90.757
LV3003047091	357	345	323	282	0.966386554621849	0.904761904761905	0.789915966386555	0.986491229572051	0.886207014630221	0.865657075839162	ko	4	IG-B	ST8	89.37525
LV3003047093	441	415	390	331	0.941043083900227	0.884353741496599	0.750566893424036	0.984698204935424	0.886484707569559	0.858859067765092	ko	4	IG-B	ST8	79.675
LV3003047094	453	432	408	349	0.95364238410596	0.900662251655629	0.770419426048565	0.985960986586769	0.933268858800774	0.87338971694416	ko	1	G-A	ST8	50.6848
LV3003047095	423	408	387	334	0.964539007092199	0.914893617021277	0.789598108747045	0.990464748895595	0.959175629613513	0.87541740372518	ko	1	G-A	ST8	40.9751666666667
LV3003047096	569	555	532	466	0.975395430579965	0.934973637961336	0.818980667838313	0.99464078664308	0.951520036641728	0.902033868353052	ko	1	G-A	ST8	36.89377
LV3003047097	522	507	482	420	0.971264367816092	0.923371647509579	0.804597701149425	0.988496814738821	0.957525755462861	0.860880569599646	ko	1	G-A	ST8	32.835
LV3003047098	424	420	404	360	0.990566037735849	0.952830188679245	0.849056603773585	0.99772231802948	0.962454853089513	0.888613217063092	ko	1	G-A	ST8	29.278
LV3003047099	626	614	587	505	0.980830670926517	0.937699680511182	0.806709265175719	0.993266355484633	0.953127459124985	0.835758839900629	ko	1	G-A	ST8	25.058
LV3003047100	448	436	409	348	0.973214285714286	0.912946428571429	0.776785714285714	0.990335285195801	0.891471401588608	0.853339135315467	ko	4	IG-B	ST8	86.61175
LV3003047101	340	333	315	272	0.979411764705882	0.926470588235294	0.8	0.99340955782117	0.930313154004186	0.868757560048384	ko	2	IG-D	ST8	85.23
LV3003047104	138	137	129	116	0.992753623188406	0.934782608695652	0.840579710144928	0.994840228116231	0.890060649950213	0.921177695301892	ko	2	IG-D	ST8	83.84125
LV3003047105	114	114	106	98	1	0.929824561403509	0.859649122807018	1	0.875175360799807	0.932935580101588	ko	2	IG-D	ST8	82.4525
LV3003047106	275	271	253	223	0.985454545454546	0.92	0.810909090909091	0.993607659739325	0.878357362260287	0.903887981846861	ko	2	IG-D	ST8	81.06375
LV3003047107	443	429	406	348	0.968397291196388	0.91647855530474	0.785553047404063	0.990212160385865	0.9197527511325	0.835370203397318	ko	4	IG-B	ST8	71.517
LV3003047110	345	337	320	279	0.976811594202898	0.927536231884058	0.808695652173913	0.991434446893004	0.933973861466908	0.843565354830304	ko	1	G-A	ST8	49.1548
LV3003047112	497	479	453	392	0.963782696177062	0.911468812877264	0.788732394366197	0.988196799735049	0.950606872780575	0.791482928444823	ko	1	G-A	ST8	40.0335
LV3003047113	644	626	597	522	0.972049689440994	0.927018633540373	0.81055900621118	0.991901453394779	0.955127460188337	0.851513309926102	ko	1	G-A	ST8	36.48927
