sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003046993	turquoise	0.463899842432258	228	227	217	181	0.995614035087719	0.951754385964912	0.793859649122807	0.999241486967127	0.945943187197849	0.835539943366707	ko	3	IG-A	ST8	20.719
LV3003046993	yellow	0.0351441377452301	74	72	68	54	0.972972972972973	0.918918918918919	0.72972972972973	0.942713777963621	0.888308128324854	0.740051571538086	ko	3	IG-A	ST8	20.719
LV3003046993	blue	0.0121065909035245	55	39	37	30	0.709090909090909	0.672727272727273	0.545454545454545	0.534290916447502	0.50664238991166	0.431451884820285	ko	3	IG-A	ST8	20.719
LV3003046993	brown	0.170401756921143	83	79	46	67	0.951807228915663	0.55421686746988	0.807228915662651	0.96220774243005	0.525134151015715	0.874861057876581	ko	3	IG-A	ST8	20.719
LV3003046994	turquoise	0.417734879657566	179	178	171	143	0.994413407821229	0.955307262569832	0.798882681564246	0.999381929003467	0.922091956525119	0.928156049321288	ko	3	IG-A	ST8	15.549
LV3003046994	grey	0.444926001825191	193	178	164	159	0.922279792746114	0.849740932642487	0.823834196891192	0.990897710558875	0.937944576035504	0.956258645167648	ko	3	IG-A	ST8	15.549
LV3003046994	yellow	0.0216749536395021	48	46	42	38	0.958333333333333	0.875	0.791666666666667	0.95265208270902	0.912870842073719	0.805439017081211	ko	3	IG-A	ST8	15.549
LV3003046994	brown	0.114292024045753	71	71	43	59	1	0.605633802816901	0.830985915492958	1	0.413133666742441	0.908572971129802	ko	3	IG-A	ST8	15.549
LV3003046994	green	0.00120975730157545	5	5	4	3	1	0.8	0.6	1	0.844295302013423	0.610738255033557	ko	3	IG-A	ST8	15.549
LV3003046994	blue	0.000162383530412811	1	1	1	1	1	1	1	1	1	1	ko	3	IG-A	ST8	15.549
LV3003046995	grey	0.202181385829952	168	148	141	112	0.880952380952381	0.839285714285714	0.666666666666667	0.739525886325267	0.712345244794598	0.618514350028137	ko	5	IG-C	ST8	6.9705
LV3003046995	green	0.197519381167947	57	53	51	39	0.929824561403509	0.894736842105263	0.68421052631579	0.987392174651863	0.951858412177244	0.737928601258622	ko	5	IG-C	ST8	6.9705
LV3003046995	turquoise	0.572071207214587	194	193	185	152	0.994845360824742	0.95360824742268	0.783505154639175	0.998953363779426	0.964220454901415	0.790200402246415	ko	5	IG-C	ST8	6.9705
LV3003046995	yellow	0.0233982003353571	50	49	46	35	0.98	0.92	0.7	0.958363724775103	0.900376853877948	0.723559445660102	ko	5	IG-C	ST8	6.9705
LV3003046995	blue	0.00482982545215614	13	12	12	9	0.923076923076923	0.923076923076923	0.692307692307692	0.934628975265018	0.934628975265018	0.42020023557126	ko	5	IG-C	ST8	6.9705
LV3003047009	grey	0.386984755450892	234	207	192	175	0.884615384615385	0.82051282051282	0.747863247863248	0.975405631407711	0.958164979024517	0.919312903611156	ko	3	IG-A	ST8	20.142
LV3003047009	turquoise	0.433729992549043	200	199	190	160	0.995	0.95	0.8	0.99957053022276	0.912215750568969	0.882475752199073	ko	3	IG-A	ST8	20.142
LV3003047009	yellow	0.0284808749707672	60	58	54	41	0.966666666666667	0.9	0.683333333333333	0.942330644006302	0.878502888241753	0.733804363393326	ko	3	IG-A	ST8	20.142
LV3003047009	brown	0.144040050253169	78	75	45	64	0.961538461538461	0.576923076923077	0.82051282051282	0.945666333138251	0.491768770412883	0.841114614208311	ko	3	IG-A	ST8	20.142
LV3003047009	blue	0.00609945123974134	21	10	9	9	0.476190476190476	0.428571428571429	0.428571428571429	0.397235844850646	0.366919304502898	0.366919304502898	ko	3	IG-A	ST8	20.142
