sample	MEblack	MEgreen	MEbrown	MEturquoise	MEred	MEblue	MEyellow	MEgrey
LV3003047095	-0.0228984808502049	-0.0292257753524524	-0.0302259204793534	-0.0439817224050717	0.0246661354334451	0.0583873535239217	0.0592433558472662	-0.0210661859612822
LV3003047082	-0.0280571635757174	-0.0280785227021342	-0.0390930316496272	-0.0482436570439354	0.0137415424614072	0.0321660090208865	0.0679363510101686	-0.0200644240597101
LV3003047067	-0.00120955467031691	-0.0161796628966156	-0.0175906458149893	-0.00808742026807527	0.0784870048282318	0.064968305093848	0.0478988139850179	-0.0341814562819022
LV3003047164	-0.0280571635757174	-0.0306421867891054	-0.0498283205396345	-0.0451794570601131	0.000708860446806565	0.0364342528948744	0.0598292983812933	-0.0273476809905675
LV3003047152	-0.0247288805555537	-0.0271704963738274	-0.0192867777172749	-0.0393809679831087	0.0706144684804988	0.0551918907307589	0.0495664338399388	-0.0271466961421468
LV3003047140	-0.0280571635757174	-0.0360933707551427	-0.0539204114997123	-0.0576504238788062	-0.10280610699646	-0.135591100812743	-0.0723811783881062	-0.024099645106677
LV3003047127	-0.021075400400214	-0.0259025181600422	-0.0539204114997123	-0.0562962927441679	-0.101344832315017	-0.0684667076663224	0.034195413304873	-0.0103653006856173
LV3003047110	-0.0280571635757174	-0.0331263140755346	-0.0492411024105367	-0.0518221358027483	-0.0215008344728765	0.0349892657797425	0.0562552773782033	-0.0220597542980832
LV3003047094	-0.0197097501672351	-0.0317488016430566	-0.0103728705316479	-0.0472330885077254	0.00369273688088236	0.0562942665880239	0.0575412668650868	-0.0129347063262211
LV3003047081	-0.0280571635757174	-0.0196627140649066	-0.029782730838921	-0.0172759658870004	0.0495541342646952	0.0442447416964294	0.0454825299865698	-0.0289518898201099
LV3003047065	0.00736482421197684	-0.0143003385796783	-0.0500743762948721	-0.0466682044908166	-0.0357435316741666	-0.0726447856606723	-0.0258098778888985	-0.0129724011399783
LV3003047161	-0.0280571635757174	-0.0360933707551427	-0.0539204114997123	-0.0581193476621479	-0.121411576615341	-0.156066187959911	-0.207609857000581	-0.0185748141445844
LV3003047160	-0.0280571635757174	-0.0345980495183508	-0.0539204114997123	-0.0572585061664112	-0.125172035795637	-0.161004199942001	-0.210925723024077	-0.0142295083015665
LV3003047159	-0.0238627058470062	-0.0294826932538612	-0.0246346144324798	-0.0529386813989091	-0.0312526429449804	0.0311392482045916	0.0537570559608847	-0.0241712386167255
LV3003047158	-0.0260513244827326	-0.0232103888460202	-0.0519806671595106	-0.0289918766448464	0.0408334531930657	-0.0107707451881894	0.00341270577656264	-0.0275157265912291
LV3003047139	-0.0231630348744102	-0.0295656247675901	-0.0531955241511336	-0.0311145505155614	0.0553709116426653	-0.0072571550029944	0.0164632637517687	-0.0254893882378536
LV3003047150	-0.0159472589133495	-0.020928669942244	-0.0453503210232342	0.00551529814791306	0.0750159145367657	0.0421463998342163	0.0351751219719079	-0.0258914154741189
LV3003047149	-0.021262686615227	-0.0180046386416232	-0.0421254391514866	-0.045698335382257	-0.0151329764364272	0.0112181016845749	0.0563977372867681	-0.0200635780397269
LV3003047148	-0.025643723991718	-0.0110366571619588	-0.0480117305100039	-0.0421355553251795	0.0197066866845351	0.0192314458157929	0.0560202105450502	-0.00933586341583048
LV3003047147	-0.0257862216808579	-0.0208569853534557	-0.0496365822343062	-0.0291135462049822	0.04660255943908	0.0125386852447035	0.0494433401430773	-0.020892211788953
LV3003047146	-0.0150610145597829	-0.0180824206172897	-0.0412276484529311	0.0190369946058707	0.0648943377778129	0.0457454136075486	0.0365463869814774	-0.0233635522021971
LV3003047126	-0.0231755420514519	-0.0360933707551427	-0.0460404910103445	-0.0476390735118526	-0.0052818476923317	0.0224066992728064	0.0673585076784428	-0.0210560760419766
LV3003047138	-0.019375331793634	-0.0329682194757232	0.0354626662735766	-0.051594248952087	-0.0335759557703299	0.0299085574220589	0.0495220333175377	-0.00663670600196743
LV3003047137	-0.0156164472186904	-0.0219328364570294	-0.0508461105351075	-0.0454794537186297	-0.0306818417852613	-0.0345497683797759	0.00035227349780289	-0.0113375833136437
LV3003047136	-0.0216836504854031	-0.0330910557996964	0.0842257647313526	-0.0427118038541024	0.0111488019747462	0.0375730109345065	0.0436819183505516	-0.00990421559002866
LV3003047134	-0.0218927798782246	-0.0334397229811569	0.14024950877202	-0.048154427396006	-0.0533906961304524	-0.00256399867845384	0.019229680917703	-0.00207134826676168
LV3003047133	-0.0280571635757174	-0.0343167682275554	-0.0167096601237787	-0.0526026977033392	-0.0105288159342096	0.0494347031648737	0.0588658484624998	-0.0026047815620812
LV3003047107	-0.0239275867984181	-0.0286528898943164	-0.00821230347307304	-0.0489514202901737	0.0206956717573844	0.0550728180526571	0.0645423376718195	-0.00294150430119685
LV3003047125	-0.0280571635757174	-0.0360933707551427	-0.0336191391950862	-0.0567496750106536	-0.119466734159188	-0.0628555763257663	0.028583303620948	-0.00830243418269653
LV3003047124	-0.0280571635757174	-0.0256320421960838	-0.0539204114997123	-0.0514965626211291	-0.113809068246244	-0.126125469774194	-0.10741990527814	-0.00675665083587647
LV3003047123	-0.0280571635757174	-0.032010930181166	-0.0530422194392958	-0.0554294577088311	-0.113216937053705	-0.147561343638404	-0.141227769966003	-0.0150270870195344
LV3003047122	-0.0280571635757174	-0.0317414582899001	-0.0529864442575166	-0.0571650312590471	-0.102572514049472	-0.134281874833949	-0.0941086472621301	-0.0110571775026624
LV3003047093	-0.023393602834556	-0.0327412148249262	0.076378007748347	-0.0518746165389383	-0.0527018336259003	0.0326880724664245	0.0321860080807742	0.011778290574623
LV3003047106	-0.0232648395430789	-0.0348470718645495	-0.0309111134411092	-0.0581193476621479	-0.116826056982531	-0.0446036137792427	0.0433554324648092	0.0180164365795123
LV3003047105	-0.0252473633799364	-0.0360933707551427	-0.0524690022777378	-0.0581193476621479	-0.125172035795637	-0.135012705728814	-0.0964523879045301	-0.0069012746147695
LV3003047104	-0.0255325281965707	-0.0360933707551427	-0.0458019927449143	-0.0561933191548752	-0.125172035795637	-0.128795654644599	-0.0792126102921593	-0.00573780692319272
LV3003047101	-0.0280571635757174	-0.0344604594225958	-0.0269402218408649	-0.0507920491234641	-0.0634624558726951	0.0102573551745831	0.0392262577040933	-0.00465023018278836
LV3003047100	-0.0210200006333026	-0.0279392452305814	0.0412471336515971	-0.0472228707460215	-0.0410098926903114	0.0332511442265954	0.0446464047104162	0.0056184030559481
LV3003047080	-0.020825399997237	-0.0246134722142326	0.00476596946561535	-0.050255023782056	-0.0230500892909462	0.0506814124364185	0.0543875731257452	0.025386415374631
LV3003047091	-0.0236629438319816	-0.0341850152687561	0.0259355956768436	-0.0526603229490001	-0.0909420800305932	-0.0140363257193213	0.00672283231557984	0.0201182405325266
LV3003047090	-0.0280571635757174	-0.0310899966334883	-0.0440622796721342	-0.0574069606843697	-0.121257175887886	-0.118820893430341	-0.083377857511523	0.00820853023493916
LV3003047089	-0.0280571635757174	-0.0321073067391036	0.0195907687109147	-0.0528860870506275	-0.123601195274671	-0.111152051149838	-0.130708418651678	0.00100795209715113
LV3003047088	-0.0280571635757174	-0.0345424470430247	-0.0293661610514835	-0.0573748358693204	-0.125172035795637	-0.137400805623326	-0.136479158330417	-0.00836981706406123
LV3003047087	-0.0280571635757174	-0.0344345135856893	-0.0422031029296678	-0.0575767159338335	-0.111507415025548	-0.132338851293606	-0.0869036923032516	-0.0166874277170217
