sample	MEbrown	MEgrey60	MEpurple	MEsalmon	MEmidnightblue	MEyellow	MElightyellow	MEred	MEmagenta	MElightcyan	MEgreenyellow	MEtan	MEblack	MEgreen	MEturquoise	MEpink	MEblue	MEcyan	MElightgreen	MEgrey
LV3003047162	0.0633265816254659	-0.00993436625235114	0.102043548065911	0.0591989138679894	0.0859568485597178	0.08460954032487	0.11615565065238	0.128640800254885	-0.0137712374920565	0.0588061030198451	0.0666550250311196	0.0553037776615924	-0.0593842456470417	-0.130437946764279	-0.194338813289849	-0.00281217183643742	0.0938181781714183	0.053847188898902	0.00719632797011092	0.150998554689828
LV3003047063	0.0590114772104338	-0.0104457421550026	0.109344571885227	0.058521042367556	0.0851715989041702	0.0785190992194427	0.102349123115269	0.131494116413691	-0.0142389382400119	0.0580970847336023	0.0659991922839066	0.0546849432322205	-0.0599557038035165	-0.120520178192106	-0.198923835645505	-0.00347843900200682	0.0928514900827914	0.0530551621285373	0.00659363925863832	0.131120975262006
LV3003047062	0.05475335563517	-0.01761331847502	0.0961695178862151	0.0490198208799412	0.0741653375468742	0.0737273123141446	0.0906143793779697	0.116810620670162	-0.0207943523463829	0.048159301876443	0.0568068716359377	0.0460112005333963	-0.0679654084630287	-0.120263249437261	-0.147715316359425	-0.0128170111442993	0.0793021409309058	0.041953910985002	0.00792352113893402	0.0987034880323944
LV3003047061	0.0476470286076659	-0.01781131999624	0.0921542451919374	0.0487573533143371	0.0738612938374821	0.069679480382153	0.090471877654648	0.110429679372624	-0.0209754431234233	0.0478847744720013	0.0565529373364512	0.0457715917490096	-0.0658480802137292	-0.125926257609118	-0.120216813117635	-0.0130749855847015	0.0789278454056357	0.0416472432195362	0.00615376967127602	0.105901698931157
LV3003047060	0.0381526088053781	-0.0251668650083609	0.0733514828752337	0.0390069636146693	0.0732133527336097	0.0615066976435452	0.0818267784276573	0.0758872175698993	-0.0170864041095962	0.0376863746415911	0.0471195493579862	0.0368703813542802	-0.0741292701962065	-0.109673810244918	-0.0642966247325688	-0.0200874799151175	0.065795343607758	0.0302548633087585	-0.0107561312681278	0.0944587970662437
LV3003047059	0.0360073030141742	-0.0268138508785269	0.0702492061764563	0.0368237461865246	0.0623971528993168	0.0670918290238555	0.0900043122827517	0.124412536483984	-0.0264391466677657	0.0354028429126287	0.0450073120346167	0.0384057978246875	-0.0690327955346081	-0.109579489918426	-0.0901995768626286	-0.0248043038861559	0.061909758854666	0.027703986560714	-0.0126972078553452	0.0926494913637127
LV7001898100	-0.0552780728069242	-0.0793163266878137	-0.065504750538966	-0.0587126720696227	-0.0400222939225288	-0.0391106896806705	-0.0397658125405964	-0.0490563566381409	0.177396796013947	0.0412847065266012	0.109401637438718	0.121173802881026	-0.0753013899584273	0.0375858971388749	0.0727505204724926	0.12662928741325	-0.0569321750200822	-0.0513436426233489	-0.0976376733870887	-0.0166596293782139
LV7001898088	-0.0835241688409286	-0.0469647372723691	-0.101649070398947	-0.088508750433066	-0.0940446010074586	-0.0736035616457461	-0.0973047748410579	-0.0896532088347096	0.105236112876067	-0.0551149538870488	0.0181743123388057	0.0664637626328485	0.087435946952148	0.0674601907296737	0.0672275023975405	0.114297657871353	-0.0410519882383826	0.0282279662188401	0.135311834327398	-0.0731762493807662
LV7001898076	0.11279890936505	-0.0823751080035285	-0.179859853344962	-0.146080695839021	-0.174965121987522	-0.159982717652178	-0.200336995824768	-0.141187242256646	0.00083222248295443	-0.0898894211099578	-0.131131302567368	-0.135052957809617	0.0924527417031528	0.050385395106346	0.0166608865211527	0.150387273541866	0.203244569054745	0.157798738009492	0.0719260153440641	-0.0296998021164397
LV7001898064	0.164176567496376	-0.0725708312865201	-0.079809615611173	-0.0726523784525225	-0.0667803321773541	-0.0543492931013152	-0.074374578209293	-0.0290676370459582	-0.0584943191854978	-0.0791034819977348	-0.0575756401546524	-0.0650643440147988	0.0739872502515736	0.0600692163439614	0.0462508935641175	0.0710539038161939	-0.0354097228952222	-0.0240357466028836	-0.0584263926991544	-0.0761004230860473
