sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst	PC1	PC2	PC3	site_group	glacial_class	dedup_fraction	low_reads_50k	low_reads_100k	low_reads_q10	low_reads_q20	low_taxa_150	low_taxa_250	low_taxa_q10	low_taxa_q20	low_reads_or_taxa	low_reads_and_taxa	total_reads_from_counts	observed_taxa	shannon_vegan	vegan_chao1	chao1_gap	rarefaction_slope_per_10k	qc_depth_class	PC1_pc	PC2_pc	PC3_pc	age_bin_10k	focus_age_bin	age_bin_quantile	sequencing_attention
LV3003047028	ST8		25	4.07507226270612	11886	124.79	6.48560900630185	6.45915295656391	78.3	79.3	38	3.11840101577944	4.753	3.26988	6.51953039778323	93.7995921280493	-8.72533137962022	33.8511376453568	ST8	interglacial_like	0.940901024350418	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	11886	38	3.11840101577944	38	0	0	low_diversity_but_saturated	93.7995921280493	-8.72533137962022	33.8511376453568	[0,10)	other	[0.692,19.1]	FALSE
LV3003047041	ST8		104.5	6.1774279848954	1504623	105.88	7.96810430290194	7.71251417387113	73.6	75.3	945	5.48239273514723	19.097	4.96291	7.4319091568924	-95.420729770064	-41.3992995695522	28.7463533647123	ST8	glacial_like	0.555149390354183	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1504623	945	5.48239273514723	945	0	0	adequate_depth	-95.420729770064	-41.3992995695522	28.7463533647123	[10,20)	other	[0.692,19.1]	FALSE
LV3003047044	ST8		60	5.51973613930819	330929	46.49	7.80401947004152	7.42824575181643	81.2	83.3	539	5.54652020597698	12.078	3.93092	6.75394096788059	-6.66480352599734	-21.393328275547	-13.4601212427673	ST8	interglacial_like	0.420945888884914	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	330929	539	5.54652020597698	539	0	0	adequate_depth	-6.66480352599734	-21.393328275547	-13.4601212427673	[10,20)	other	[0.692,19.1]	FALSE
LV3003047045	ST8		20	6.00056942090177	1001311	111.57	8.18091416396213	8.10898287168333	80.4	81.5	507	5.21826838031503	3.5865	3.295865	6.70676913757569	-14.241439477631	55.8614781280153	29.8030339638104	ST8	interglacial_like	0.847361459667836	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1001311	507	5.21826838031503	507	0	0	adequate_depth	-14.241439477631	55.8614781280153	29.8030339638104	[0,10)	other	[0.692,19.1]	FALSE
LV3003047059	ST8		609.2	4.90043813955844	79512	57.46	7.70247026740302	6.6868841752809	52.1	54.7	169	4.32228521091505	107.683	4.08781	9.62921190579469	75.6997286395172	-7.09931370233049	15.2515389426824	ST8	glacial_like	0.096474786730818	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	79512	169	4.32228521091505	169	0	0	low_diversity_but_saturated	75.6997286395172	-7.09931370233049	15.2515389426824	[100,110)	90-110 kya	(95.4,148]	FALSE
LV3003047060	ST8		604.2	4.67186678877256	46974	70.8	7.16272835608921	6.53486657908937	58.9	62	162	4.76321207520094	106.686	4.02744	9.16482148751936	71.8141509705565	-3.89054149963441	13.8064359222595	ST8	glacial_like	0.235579841970248	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	46974	162	4.76321207520094	162	0	0	low_diversity_but_saturated	71.8141509705565	-3.89054149963441	13.8064359222595	[100,110)	90-110 kya	(95.4,148]	FALSE
LV3003047061	ST8		599.2	4.59518747643367	39371	43.21	7.4482587660589	6.46178206121975	61.9	66	109	4.09622977301612	105.689	3.95335	8.70043106924403	84.0798744739725	-10.2896441040761	22.9535957355639	ST8	interglacial_like	0.103162809407668	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	39371	109	4.09622977301612	109	0	0	low_diversity_but_saturated	84.0798744739725	-10.2896441040761	22.9535957355639	[100,110)	90-110 kya	(95.4,148]	FALSE
LV3003047062	ST8		594.2	4.59480123577839	39336	74.51	7.09569496559726	6.457942421364	64.7	66.7	108	4.08311291096109	104.692	3.87156	8.38459253919963	86.6711298088404	-15.010162525012	24.1692199609954	ST8	interglacial_like	0.230275290740306	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	39336	108	4.08311291096109	108	0	0	low_diversity_but_saturated	86.6711298088404	-15.010162525012	24.1692199609954	[100,110)	90-110 kya	(95.4,148]	FALSE
LV3003047063	ST8		589.2	4.3911292604179	24610	26.33	7.55693681901201	6.27782229862708	54.5	59.4	57	3.34362912561279	103.695	3.9078	8.08727062917724	95.6677971602877	-14.4322294483024	31.7587385323117	ST8	interglacial_like	0.0525878314856355	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	24610	57	3.34362912561279	57	0	0	low_diversity_but_saturated	95.6677971602877	-14.4322294483024	31.7587385323117	[100,110)	90-110 kya	(95.4,148]	FALSE
LV3003047064	ST8		554.2	4.33687981559842	21720	31.71	7.57927502583958	6.19909034064697	51.3	57.8	35	2.9606310296169	96.283	3.77264	6.64358420103273	99.5531399402386	-12.6909378449398	34.0244728043499	ST8	interglacial_like	0.0416691893559842	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	21720	35	2.9606310296169	35	0	0	low_diversity_but_saturated	99.5531399402386	-12.6909378449398	34.0244728043499	[90,100)	90-110 kya	(95.4,148]	FALSE
LV3003047065	ST8		374.5	5.14485119602693	139588	140.39	7.76181269003654	7.06006300452821	58.3	61.5	270	4.82656313041764	53.61018	4.4033892	6.44166131978254	50.2847406947499	-12.15867378634	2.37872127818799	ST8	glacial_like	0.198723983500401	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	139588	270	4.82656313041764	270	0	0	adequate_depth	50.2847406947499	-12.15867378634	2.37872127818799	[50,60)	40-60 kya	(50.5,71.3]	FALSE
LV3003047067	ST8		334.5	5.56717110686425	369122	178.82	7.92269613045094	7.47919300023311	60.2	61.8	573	5.5239177414308	42.86602	4.4653592	8.33857306903406	-22.4138539892897	-6.35011405147229	-19.5520598287504	ST8	glacial_like	0.360161146845441	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	369122	573	5.5239177414308	573	0	0	adequate_depth	-22.4138539892897	-6.35011405147229	-19.5520598287504	[40,50)	40-60 kya	(33.4,50.5]	FALSE
