core	module	index	n	age_min_kyr	age_max_kyr	mean	median	sd	iqr	spearman_rho_age	spearman_p_age	scope	group_level	state	state_label	spearman_q_age
""	turquoise	MGI	75	12.078	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	1	G-A	
""	yellow	MGI	75	12.078	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	1	G-A	
""	green	MGI	67	12.078	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	1	G-A	
""	blue	MGI	66	12.078	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	1	G-A	
""	brown	MGI	60	12.078	147.206	-12.160209134498	-13.8155105579643	4.59752692969769	0	-0.0661014457233878	0.615809523203641	sample_module	state	1	G-A	0.615809523203641
""	yellow	MGI	47	39.15347	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	2	IG-D	
""	blue	MGI	14	53.61018	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	2	IG-D	
""	brown	MGI	18	47.6248	148.086	-8.19044239881445	-13.8155105579643	7.27092464426355	14.4125138779713	0.354154657541679	0.149328098135154	sample_module	state	2	IG-D	0.284657146329489
""	green	MGI	43	30.678	109.6305	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	4	IG-B	
""	turquoise	MGI	43	30.678	109.6305	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	4	IG-B	
""	grey	MGI	43	30.678	109.6305	-13.5825289974146	-13.8155105579643	1.52776226060083	0			sample_module	state	4	IG-B	
""	yellow	MGI	43	30.678	109.6305	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	4	IG-B	
""	blue	MGI	33	30.678	109.6305	-13.8155105579643	-13.8155105579643	0	0			sample_module	state	4	IG-B	
""	brown	MGI	24	30.678	109.6305	-12.606176016217	-13.8155105579643	4.09727995503182	0	0.343515788660477	0.100280926255889	sample_module	state	4	IG-B	0.284657146329489
""	grey	MFI	32	2.324	24.528	1.69543017943227	0	4.4909962325775	6.76361167727364	-0.375374131968696	0.0342543388719675	sample_module	state	3	IG-A	0.239780372103772
""	green	MFI	30	2.324	24.528	0	0	0	0			sample_module	state	3	IG-A	
""	turquoise	MFI	32	2.324	24.528	0	0	0	0			sample_module	state	3	IG-A	
""	yellow	MFI	32	2.324	24.528	0	0	0	0			sample_module	state	3	IG-A	
""	blue	MFI	31	2.324	24.528	0	0	0	0			sample_module	state	3	IG-A	
""	brown	MFI	32	2.324	24.528	-2.40749944422515	-2.48553878776255	6.89927906204821	3.60885764710301	0.184420627081522	0.312286912999508	sample_module	state	3	IG-A	0.546502097749139
""	green	MFI	13	0.692	13.676	0	0	0	0			sample_module	state	5	IG-C	
""	turquoise	MFI	13	0.692	13.676	0	0	0	0			sample_module	state	5	IG-C	
""	grey	MFI	13	0.692	13.676	0.529658675729911	0	1.90971151383855	0			sample_module	state	5	IG-C	
""	yellow	MFI	13	0.692	13.676	0	0	0	0			sample_module	state	5	IG-C	
""	blue	MFI	13	0.692	13.676	0	0	0	0			sample_module	state	5	IG-C	
""	brown	MFI	4	0.692	13.676	0	0	0	0			sample_module	state	5	IG-C	
""	turquoise	MFI	51	4.753	148.086	0	0	0	0			sample_module	state	2	IG-D	
""	grey	MFI	51	4.753	148.086	0.197387333743239	0	1.40962751662824	0			sample_module	state	2	IG-D	
""	green	MFI	26	4.753	148.086	0	0	0	0			sample_module	state	2	IG-D	
""	grey	MFI	75	12.078	147.206	0.111863359216228	0	2.94394090907034	0	-0.0561231754824875	0.632468945669315	sample_module	state	1	G-A	0.885456523937041
""	turquoise	MFI	75	12.078	147.206	0	0	0	0			sample_module	state	1	G-A	
""	yellow	MFI	75	12.078	147.206	0	0	0	0			sample_module	state	1	G-A	
""	green	MFI	67	12.078	147.206	0	0	0	0			sample_module	state	1	G-A	
""	blue	MFI	66	12.078	147.206	0	0	0	0			sample_module	state	1	G-A	
""	brown	MFI	60	12.078	147.206	-1.41515520222514	0	4.78346865960807	0	0.0403570716822352	0.759487905187057	sample_module	state	1	G-A	0.886069222718233
""	yellow	MFI	47	39.15347	148.086	0	0	0	0			sample_module	state	2	IG-D	
""	blue	MFI	14	53.61018	148.086	0	0	0	0			sample_module	state	2	IG-D	
""	brown	MFI	18	47.6248	148.086	-5.39401937252641	0	6.96546923218386	13.7193677983282	-0.354154657541679	0.149328098135155	sample_module	state	2	IG-D	0.348432228982027
""	green	MFI	43	30.678	109.6305	0	0	0	0			sample_module	state	4	IG-B	
""	turquoise	MFI	43	30.678	109.6305	0	0	0	0			sample_module	state	4	IG-B	
""	grey	MFI	43	30.678	109.6305	0.561030699939143	0	2.76510340252908	0	0.00802267806707295	0.959278683036984	sample_module	state	4	IG-B	0.959278683036984
""	yellow	MFI	43	30.678	109.6305	0	0	0	0			sample_module	state	4	IG-B	
""	blue	MFI	33	30.678	109.6305	0	0	0	0			sample_module	state	4	IG-B	
""	brown	MFI	24	30.678	109.6305	-1.15157236016614	0	3.90158936673836	0	-0.343515788660477	0.100280926255889	sample_module	state	4	IG-B	0.348432228982027
