sample	MEblue	MEyellow	MEturquoise	MEred	MEblack	MEpink	MEbrown	MEgreen	MEgrey
LV3003047071	0.0153396714926411	0.086175021213033	-0.0370588025803818	-0.0864494443017714	-0.0452498097012533	-0.0422794249637186	-0.0434371322951836	-0.0467985379448566	0.0541690916202962
LV3003047169	0.0102045755138961	0.0803218820967685	-0.0518805419154418	-0.0988774982444098	-0.0626195976721897	-0.0635968847740913	-0.0214388239873784	-0.0513227032741029	0.0595542453457184
LV3003047156	0.0218807190434361	0.0870016202879077	-0.0531101795778902	-0.0775859364682613	-0.0603088923953419	-0.0615209378642161	-0.0297124283490913	-0.0521079216508178	0.00302616430274908
LV3003047144	0.0270561300760034	0.0904394047732083	-0.068732361223558	-0.0866318449460557	-0.0743535430826694	-0.0784894638423431	-0.0579011634066703	-0.0724157599270667	0.0186962173728002
LV3003047131	0.0489384407820447	0.0694131708467743	-0.0260898985711779	-0.0319948414039297	-0.0259535382319636	-0.0268513055961951	-0.0481217703106588	-0.0324216496437103	0.0457136837174368
LV3003047117	0.0436907283211767	0.0601725042455974	-0.0150978923231824	-0.0447396125931109	-0.022006218215414	-0.0233591374112475	-0.0276572715322257	-0.02447113241248	0.0560734685142461
LV3003047098	0.00263647745225972	0.0072838922919249	0.00902132645246767	-0.0561766734103745	-0.00254423551586886	-0.0120728303589794	-0.00512976747708319	-0.00655159061916581	0.0946069727532739
LV3003047085	0.00100799252300945	0.0727269017763842	-0.0290645115776742	-0.0818660586889255	-0.0373548976623898	-0.0401535012966141	-0.0382016689476717	-0.0315227055617745	0.0792190457758379
LV3003047070	0.0239509535782076	0.0588890717760801	-0.0101100110306395	-0.0647137516406909	-0.0149230036030259	-0.0250237468598794	-0.0256880529813774	-0.0183650438446621	0.0834175566539149
LV3003047168	0.00568853789765018	0.0671615904457539	-0.0255255141557714	-0.0810284955877267	-0.039989254436234	-0.0450339958299397	-0.0391791490220738	-0.0231603194747871	0.0824336115658652
