sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	state	label
LV3003047083	ST8	37.30319	4.4448405	9.1756505076159	-0.0432499075385019	0.52986026970643	0.0885238051776424	4	IG-B
LV3003047068	ST8	37.78969	4.4205155	9.10244349358346	-0.123647150493514	0.327850479872844	0.0761565855756687	4	IG-B
LV3003047166	ST8	38.27343	4.4482802	9.0296517958074	0.563923089461266	0.767566544657173	0.0903646141029277	4	IG-B
LV3003047153	ST8	38.71393	4.5099502	8.96336671938132	0.540263820725367	0.769870498118966	0.127425692841939	4	IG-B
LV3003047112	ST8	40.0335	4.54866	8.76480191052874	0.25724024841079	0.314194862369208	-0.116614313740266	4	IG-B
LV3003047095	ST8	40.9751666666667	4.51099333333333	8.62310282547109	-0.334836806707537	0.0802500894928394	-0.185991173274208	4	IG-B
LV3003047082	ST8	41.9168333333333	4.50083166666667	8.48140374041344	-0.600080146594724	0.0649763245105918	-0.123376867102879	4	IG-B
LV3003047067	ST8	42.86602	4.4653592	8.33857306903406	0.721673516276939	0.531665835055428	-0.0758166566691032	4	IG-B
LV3003047164	ST8	43.93302	4.4786604	8.37946113303367	-0.44544662767156	0.456622698279852	0.138402398389811	4	IG-B
LV3003047152	ST8	45.00002	4.3300006	8.47849004532337	0.11909195878637	0.404488807205157	-0.104749481922333	4	IG-B
LV3003047110	ST8	49.1548	4.441424	8.86409767812845	-0.780394680950533	0.0928075819310088	-0.0194289225056986	4	IG-B
LV3003047094	ST8	50.6848	4.333152	8.71916462667657	-0.235551825767249	0.0896470085099503	-0.359057991642621	4	IG-B
LV3003047081	ST8	52.20718	4.3369334	7.53394237030326	0.365707021958838	0.398215986283428	-0.0357229618903435	4	IG-B
LV3003047159	ST8	56.7987933333333	4.41390346666667	6.86838342718166	-0.721667745792344	-0.0560041862470406	-0.247995019021069	4	IG-B
LV3003047158	ST8	57.70646	4.4723876	7.06485967649701	-0.595196474656981	-0.0145257053418699	0.113894813338613	4	IG-B
LV3003047139	ST8	58.6141266666667	4.4531524	8.62798528680874	-0.670717147841649	-0.0468064994591407	0.0520925617161213	4	IG-B
LV3003047150	ST8	59.5217933333333	4.51870486666667	8.44254713374637	0.2697447420989	0.0270343511591844	0.0246838719484409	4	IG-B
LV3003047149	ST8	60.4317	4.561147	7.85555370343168	-0.77418372859959	-0.15665171315068	-0.0493792070902667	4	IG-B
LV3003047148	ST8	61.3767	4.543903	7.88451611411687	-0.553200752389062	-0.101270971970106	0.0245062547427582	4	IG-B
LV3003047147	ST8	62.3217	4.577481	7.91347852480206	-0.329801186307602	-0.0324477349646618	-0.00681457051546695	4	IG-B
LV3003047146	ST8	63.2667	4.484661	7.94244093548725	0.658565946074296	0.0474668614889407	-0.106499429110191	4	IG-B
LV3003047126	ST8	64.210824	4.38529888	7.97137649847746	-0.740541052165066	-0.0195713338548059	-0.0867698258174653	4	IG-B
LV3003061544	ST13	45.122	4.33366	8.48981108255027	-0.321842203063311	0.646534480007313	0.0855662300643487	4	IG-B
