module	proxy	beta_full	p_full	beta_leave_ST8	p_leave_ST8	beta_leave_ST13	p_leave_ST13	beta_leave_GeoB25202_R1	p_leave_GeoB25202_R1	q_full	sign_preserved_all	all_leave_p_lt_010	stability_flag
MEleiden1	mn_fe_z	-0.115185859769585	0.089650175440234	-0.0770899145739913	0.497821376307336	-0.163954109481423	0.0367493687981152	-0.0921630813599474	0.201879833416396	0.107580210528281	TRUE	FALSE	unstable_or_mixed
MEleiden2	ba_ti_z	-0.201001533684494	0.000911765583422245	-0.1759175297855	0.109617017909966	-0.220062925411826	0.00117410900789427	-0.195691167460278	0.00169267372465454	0.00273529675026674	TRUE	FALSE	unstable_or_mixed
MEleiden2	ca_ti_z	-0.0660087673790001	0.277511474593642	0.209664142793481	0.064072103081822	-0.145783518306958	0.030491388491527	-0.119636847339933	0.0531658770065878	0.305505801720139	FALSE	TRUE	unstable_or_mixed
MEleiden2	zr_rb_z	-0.298108188138176	1.99873160079359e-07	-0.224638417915536	0.0290730087517063	-0.372790059943277	5.05874242250949e-09	-0.267461539942181	5.99361725659244e-06	1.19923896047615e-06	TRUE	TRUE	stable
MEleiden2	ti_al_z	0.17980790725373	0.00366857197822574	0.0629209358837726	0.584080409988051	0.228660943982054	0.000747054856538149	0.189024937048596	0.00315868772220871	0.00960569203882131	TRUE	FALSE	unstable_or_mixed
MEleiden2	mn_fe_z	-0.172430855745075	0.00384227681552852	-0.169345534570213	0.121828129543449	-0.176528773380812	0.00855873227234499	-0.180929756757565	0.00294029290141367	0.00960569203882131	TRUE	FALSE	unstable_or_mixed
MEleiden4	ba_ti_z	-0.235552049881787	0.000148372442536898	-0.216047061191815	0.0561690387078255	-0.260403307176869	0.000210067019080384	-0.222825150425535	0.000395850423086467	0.000635881896586705	TRUE	TRUE	stable
MEleiden4	ca_ti_z	0.205228643480387	0.000883986164256022	0.46447059869776	2.99177949232448e-05	0.148548914396451	0.0344362062550986	0.139468603839782	0.0258209208597306	0.00273529675026674	TRUE	TRUE	stable
MEleiden4	zr_rb_z	-0.112577684873748	0.0629339166655258	-0.0271370923370941	0.800261426851813	-0.198539382442995	0.00394832099780051	-0.0763486255416464	0.215684269481832	0.0858189772711715	TRUE	FALSE	unstable_or_mixed
MEleiden4	ti_al_z	0.159438428655481	0.0125713466343466	0.182903257997993	0.120554888177242	0.224281763895192	0.00154591081947771	0.0949382997956893	0.147598884500185	0.0221847293547293	TRUE	FALSE	unstable_or_mixed
MEleiden4	mn_fe_z	0.0353625223132134	0.568827824717747	0.0601754169797807	0.597399032772304	0.0700893461368631	0.321721734301561	-0.0154816184899037	0.804368046496267	0.588442577294221	FALSE	FALSE	unstable_or_mixed
