sample	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	MEgrey
LV3003047105	-0.0473857724742114	-0.0320468912571694	-0.0597480172110943	-0.0444911103566707	-0.113587085021691	-0.118952489200835	-0.0151182367521715
LV3003047104	-0.0473857724742114	-0.0336342947979208	-0.0567585324661327	-0.0434381499447837	-0.110096446543929	-0.109980306613935	-0.015034375465479
LV3003047101	-0.0473857724742114	-0.033943571709114	-0.04077941467656	-0.040252304814525	-0.0693210086397862	-0.00699522175464154	-0.011319669695282
LV3003047100	-0.046033032380761	-0.0251428030225407	0.00145962038351969	-0.0383533131796434	-0.0508184053014048	0.0194742517770689	-0.0120201845870304
LV3003047080	-0.0473857724742114	-0.0240134290465307	-0.0192991011708076	-0.0400397146087342	-0.0362016705541387	0.0272507824071392	-0.000354367793026237
LV3003047091	-0.0473857724742114	-0.0286537176804716	-0.0177162580681152	-0.0399043405751377	-0.0841428221137496	-0.0156987741668562	0.0165710682365258
LV3003047090	-0.0411455869534942	-0.0311176705438511	-0.0557586526158305	-0.0436785802654664	-0.112492971654531	-0.103391777662907	-0.000402993879719731
LV3003047089	-0.0473857724742114	-0.0310375919296723	-0.0123585436001306	-0.0421679167856005	-0.11235771899214	-0.10532794098628	-0.0113836960442065
LV3003047088	-0.0473857724742114	-0.0324488326625676	-0.0482404734033763	-0.044048703562556	-0.116161176321585	-0.129846061645259	-0.0160976164379562
LV3003047087	-0.0473857724742114	-0.0330122860258325	-0.0549744169636629	-0.0440324152655503	-0.0934878241326322	-0.115800014830252	-0.0126783425316996
LV3003047064	-0.0473857724742114	-0.0314156930154498	-0.0601850813127132	-0.0445454910614649	-0.122456198768825	-0.18418696392504	-0.00438298087761396
LV3003047079	-0.0461096841216937	-0.0219134969962723	0.019034792860789	-0.0402597105484463	-0.0793826593646301	-0.0510112363088206	-0.00807334977411869
LV3003047078	-0.0473857724742114	-0.0335450215734349	-0.0601104276928838	-0.0444911103566707	-0.114492267763467	-0.175276790945524	-0.0164510120737782
