taxon	module
S__GCA_014239365.1	leiden2
S__GCA_014239505.1	leiden3
S__GCA_014239555.1	leiden3
S__GCA_014239575.1	leiden1
S__GCA_014239685.1	leiden4
S__GCA_014239755.1	leiden1
S__GCA_014239895.1	leiden3
S__GCA_014240005.1	leiden1
S__GCA_014240055.1	leiden4
S__GCA_014240065.1	leiden1
S__GCA_014240155.1	leiden2
S__GCA_014240165.1	leiden1
S__GCA_014240175.1	leiden3
S__GCA_014240255.1	leiden2
S__GCA_014240285.1	leiden3
S__GCA_014240355.1	leiden3
S__GCA_014240385.1	leiden1
S__GCA_014240435.1	leiden1
S__GCA_014376885.1	grey
S__GCA_014377705.1	leiden6
S__GCA_014380135.1	leiden6
S__GCA_014380485.1	leiden6
S__GCA_014381105.1	leiden6
S__GCA_014381415.1	leiden1
S__GCA_014381465.1	leiden1
S__GCA_014381825.1	leiden2
S__GCA_014381985.1	leiden2
S__GCA_014382345.1	grey
S__GCA_014382585.1	leiden1
S__GCA_014382645.1	leiden2
S__GCA_014382715.1	leiden5
S__GCA_014383215.1	leiden5
S__GCA_014384145.1	leiden1
S__GCA_014384445.1	leiden2
S__GCA_014384505.1	leiden2
S__GCA_014384565.1	leiden2
S__GCA_014384685.1	leiden3
S__GCA_014523485.1	leiden6
S__GCA_014523515.1	leiden6
S__GCA_014584315.1	leiden3
S__GCA_014653385.1	leiden3
S__GCA_014654355.1	leiden3
S__GCA_014764495.1	grey
S__GCA_014859605.1	leiden6
S__GCA_014894735.1	leiden5
S__GCA_015222065.1	leiden5
S__GCA_015222795.1	leiden5
S__GCA_015223015.1	leiden5
S__GCA_015478665.1	grey
S__GCA_015492195.1	leiden1
S__GCA_015658215.1	leiden2
S__GCA_015658265.1	leiden4
S__GCA_015658495.1	leiden1
S__GCA_015658585.1	leiden1
S__GCA_015658865.1	leiden4
S__GCA_015658965.1	leiden3
S__GCA_015659035.1	leiden4
S__GCA_015659125.1	grey
S__GCA_015659205.1	leiden1
S__GCA_015659275.1	grey
S__GCA_015659285.1	leiden4
S__GCA_015659305.1	leiden4
S__GCA_015659465.1	leiden4
S__GCA_015659505.1	leiden3
S__GCA_015659515.1	leiden4
S__GCA_015659595.1	leiden4
S__GCA_015659615.1	leiden1
S__GCA_015659735.1	leiden3
S__GCA_015659905.1	leiden4
S__GCA_015660155.1	leiden1
S__GCA_015660315.1	leiden3
S__GCA_015660335.1	leiden5
S__GCA_015660425.1	leiden3
S__GCA_015660505.1	leiden4
S__GCA_015660645.1	leiden3
S__GCA_015663455.1	leiden3
S__GCA_015663575.1	leiden1
S__GCA_015664645.1	leiden2
S__GCA_015664755.1	leiden1
S__GCA_015665265.1	leiden1
S__GCA_015767365.1	leiden2
S__GCA_015767395.1	leiden2
S__GCA_015767405.1	leiden5
S__GCA_016125285.1	leiden3
S__GCA_016177515.1	leiden4
S__GCA_016178045.1	leiden3
S__GCA_016178075.1	grey
S__GCA_016180805.1	leiden5
S__GCA_016183575.1	grey
S__GCA_016183675.1	grey
S__GCA_016187325.1	grey
S__GCA_016189965.1	leiden3
S__GCA_016190155.1	grey
S__GCA_016190405.1	leiden3
S__GCA_016190945.1	leiden3
S__GCA_016192845.1	grey
S__GCA_016193385.1	leiden4
S__GCA_016195085.1	grey
S__GCA_016195145.1	grey
S__GCA_016195565.1	leiden1
S__GCA_016200125.1	leiden3
S__GCA_016201285.1	leiden4
S__GCA_016202695.1	grey
S__GCA_016209145.1	leiden4
S__GCA_016210855.1	leiden3
S__GCA_016210895.1	leiden4
S__GCA_016212965.1	leiden4
S__GCA_016213125.1	leiden3
S__GCA_016215655.1	leiden3
S__GCA_016276965.1	leiden4
S__GCA_016342325.1	leiden1
S__GCA_016462945.1	leiden3
S__GCA_016649675.1	grey
S__GCA_016649785.1	leiden4
S__GCA_016649905.1	leiden5
S__GCA_016650015.1	leiden1
S__GCA_016650295.1	leiden6
S__GCA_016720395.1	leiden6
S__GCA_016743945.1	leiden5
S__GCA_016744295.1	leiden5
S__GCA_016744355.1	leiden1
S__GCA_016744415.1	leiden2
S__GCA_016744515.1	leiden1
S__GCA_016763135.1	leiden1
S__GCA_016763735.1	leiden3
S__GCA_016763915.1	leiden3
S__GCA_016764265.1	leiden4
S__GCA_016764395.1	leiden3
S__GCA_016765095.1	leiden3
S__GCA_016765295.1	leiden2
S__GCA_016776605.1	leiden5
S__GCA_016776815.1	leiden4
S__GCA_016777005.1	leiden3
S__GCA_016777045.1	leiden3
S__GCA_016777095.1	grey
S__GCA_016777125.1	leiden3
S__GCA_016777225.1	leiden4
S__GCA_016777265.1	leiden3
S__GCA_016777365.1	leiden3
S__GCA_016777395.1	leiden1
S__GCA_016777505.1	leiden2
S__GCA_016777625.1	leiden3
S__GCA_016779765.1	leiden3
S__GCA_016782865.1	leiden5
S__GCA_016783105.1	leiden5
S__GCA_016783135.1	leiden5
S__GCA_016783345.1	leiden3
S__GCA_016783455.1	leiden5
S__GCA_016783945.1	grey
S__GCA_016784525.1	leiden3
S__GCA_016784625.1	grey
S__GCA_016784665.1	leiden3
S__GCA_016784735.1	leiden3
S__GCA_016785005.1	leiden5
S__GCA_016792605.1	leiden4
S__GCA_016794035.1	leiden4
S__GCA_016794615.1	leiden6
S__GCA_016838795.1	leiden4
S__GCA_016838825.1	leiden4
S__GCA_016838845.1	leiden4
S__GCA_016840385.1	leiden5
S__GCA_016845345.1	leiden1
S__GCA_016869145.1	leiden4
S__GCA_016869175.1	leiden4
S__GCA_016869275.1	grey
S__GCA_016869335.1	leiden2
S__GCA_016869515.1	grey
S__GCA_016869675.1	leiden4
S__GCA_016872415.1	leiden2
S__GCA_016872535.1	grey
S__GCA_016875225.1	leiden3
S__GCA_017368835.1	leiden3
S__GCA_017610205.1	grey
S__GCA_017610335.1	leiden1
S__GCA_017854045.1	leiden1
S__GCA_017854145.1	leiden4
S__GCA_017854345.1	leiden3
S__GCA_017854775.1	leiden2
S__GCA_017856985.1	leiden2
S__GCA_017857255.1	leiden1
S__GCA_017857425.1	leiden1
S__GCA_017858365.1	leiden2
S__GCA_017880325.1	grey
S__GCA_017882505.1	leiden5
S__GCA_017882785.1	leiden1
S__GCA_017886365.1	leiden4
S__GCA_017886375.1	leiden2
S__GCA_017886405.1	leiden6
S__GCA_018066995.1	leiden4
S__GCA_018067145.1	leiden4
S__GCA_018222685.1	leiden3
S__GCA_018222765.1	leiden1
S__GCA_018238625.1	leiden5
S__GCA_018263435.1	leiden2
S__GCA_018263505.1	leiden4
S__GCA_018268595.1	leiden6
S__GCA_018606725.1	grey
S__GCA_018607065.1	leiden1
S__GCA_018607365.1	leiden3
S__GCA_018608025.1	leiden2
S__GCA_018608505.1	leiden1
S__GCA_018608545.1	leiden3
S__GCA_018608685.1	leiden1
S__GCA_018609185.1	grey
S__GCA_018609195.1	leiden3
S__GCA_018644615.1	leiden2
S__GCA_018645535.1	leiden2
S__GCA_018645645.1	leiden1
S__GCA_018645865.1	leiden4
S__GCA_018646435.1	leiden3
S__GCA_018646525.1	leiden2
S__GCA_018647345.1	leiden3
S__GCA_018647945.1	leiden4
S__GCA_018648445.1	leiden4
S__GCA_018649285.1	leiden4
S__GCA_018649665.1	leiden2
S__GCA_018650065.1	leiden4
S__GCA_018650185.1	leiden1
S__GCA_018651055.1	leiden3
S__GCA_018651215.1	leiden2
S__GCA_018651345.1	leiden1
S__GCA_018652215.1	grey
S__GCA_018655445.1	leiden1
S__GCA_018655885.1	leiden3
S__GCA_018656365.1	leiden4
S__GCA_018657375.1	leiden2
S__GCA_018657705.1	leiden3
S__GCA_018657945.1	leiden1
S__GCA_018658605.1	leiden4
S__GCA_018658685.1	leiden1
S__GCA_018659355.1	leiden3
S__GCA_018659405.1	leiden4
S__GCA_018659815.1	leiden1
S__GCA_018660745.1	leiden4
S__GCA_018661055.1	leiden3
S__GCA_018661165.1	leiden4
S__GCA_018661305.1	leiden4
S__GCA_018661385.1	leiden2
S__GCA_018663485.1	leiden1
S__GCA_018663565.1	leiden1
S__GCA_018663805.1	leiden1
S__GCA_018664745.1	leiden3
S__GCA_018665165.1	grey
S__GCA_018665385.1	leiden4
S__GCA_018665505.1	leiden1
S__GCA_018666335.1	leiden2
S__GCA_018666495.1	leiden4
S__GCA_018666915.1	leiden3
S__GCA_018667455.1	leiden1
S__GCA_018667655.1	leiden3
S__GCA_018668355.1	leiden1
S__GCA_018668695.1	leiden3
S__GCA_018669635.1	leiden1
S__GCA_018669795.1	leiden4
S__GCA_018669915.1	leiden2
S__GCA_018669945.1	leiden3
S__GCA_018670245.1	leiden3
S__GCA_018670575.1	leiden3
S__GCA_018670825.1	leiden1
S__GCA_018672475.1	leiden4
S__GCA_018672815.1	leiden1
S__GCA_018672825.1	leiden3
S__GCA_018673385.1	leiden4
S__GCA_018673455.1	leiden5
S__GCA_018673815.1	leiden1
S__GCA_018674025.1	leiden3
S__GCA_018674175.1	leiden3
S__GCA_018674955.1	leiden4
S__GCA_018675705.1	leiden4
S__GCA_018675825.1	leiden4
S__GCA_018676395.1	leiden2
S__GCA_018676505.1	leiden1
S__GCA_018676555.1	leiden1
S__GCA_018676735.1	leiden1
S__GCA_018692035.1	leiden1
S__GCA_018692355.1	leiden2
S__GCA_018695965.1	leiden4
S__GCA_018696455.1	leiden4
S__GCA_018697615.1	leiden1
S__GCA_018698165.1	leiden2
S__GCA_018698455.1	leiden5
S__GCA_018698655.1	leiden1
S__GCA_018699155.1	leiden4
S__GCA_018699395.1	leiden1
S__GCA_018700125.1	grey
S__GCA_018700215.1	leiden5
S__GCA_018700255.1	leiden3
S__GCA_018701395.1	leiden2
S__GCA_018702595.1	leiden4
S__GCA_018703065.1	leiden4
S__GCA_018780025.1	leiden1
S__GCA_018780625.1	leiden6
S__GCA_018812385.1	leiden5
S__GCA_018812885.1	leiden5
S__GCA_018820345.1	leiden5
S__GCA_018828925.1	leiden5
S__GCA_018830725.1	leiden5
S__GCA_018894445.1	leiden1
S__GCA_018894595.1	leiden5
S__GCA_018896565.1	leiden5
S__GCA_018896985.1	leiden5
S__GCA_018900355.1	grey
S__GCA_018903015.1	leiden5
S__GCA_018971215.1	grey
S__GCA_019057575.1	leiden5
S__GCA_019057735.1	leiden5
S__GCA_019057775.1	leiden5
S__GCA_019057795.1	leiden5
S__GCA_019057865.1	leiden5
S__GCA_019057915.1	leiden5
S__GCA_019057955.1	leiden5
S__GCA_019057975.1	leiden5
S__GCA_019058035.1	leiden5
S__GCA_019058095.1	leiden5
S__GCA_019058135.1	leiden5
S__GCA_900197625.1	leiden3
S__GCA_900696525.1	grey
S__GCA_902511405.1	leiden3
S__GCA_902512375.1	leiden4
S__GCA_902512485.1	leiden1
S__GCA_902512865.1	grey
S__GCA_902513935.1	leiden2
S__GCA_902514095.1	leiden4
S__GCA_902514225.1	leiden3
S__GCA_902515565.1	leiden3
S__GCA_902555825.1	leiden3
S__GCA_902556205.1	leiden3
S__GCA_902556905.1	leiden1
S__GCA_902588595.1	grey
S__GCA_902589825.1	grey
S__GCA_902590845.1	leiden1
S__GCA_902592985.1	leiden2
S__GCA_902597425.1	leiden3
S__GCA_902605365.1	leiden3
S__GCA_902606745.1	leiden3
S__GCA_902607585.1	leiden1
S__GCA_902607625.1	leiden1
S__GCA_902608305.1	leiden2
S__GCA_902608355.1	leiden1
S__GCA_902608385.1	leiden1
S__GCA_902727865.1	leiden2
S__GCA_902805775.1	leiden6
S__GCA_902805805.1	leiden6
S__GCA_902806065.1	leiden6
S__GCA_902806095.1	leiden6
S__GCA_902826815.1	leiden6
S__GCA_903911165.1	leiden6
S__GCA_903959175.1	leiden6
S__GCA_905181585.1	leiden4
S__GCA_905181595.1	leiden4
S__GCA_905181615.1	leiden2
S__GCA_905181625.1	leiden2
S__GCA_905181635.1	leiden4
S__GCA_905181645.1	leiden3
S__GCA_905181655.1	leiden4
S__GCA_905181675.1	leiden2
S__GCA_905181685.1	leiden3
S__GCA_905181705.1	leiden4
S__GCA_905181715.1	leiden1
S__GCA_905181725.1	leiden2
S__GCA_905181745.1	leiden2
S__GCA_905181765.1	leiden2
S__GCA_905181775.1	leiden2
S__GCA_905181785.1	leiden3
S__GCA_905181805.1	leiden2
S__GCA_905181825.1	leiden3
S__GCA_905181835.1	grey
S__GCA_905181865.1	leiden4
S__GCA_905181875.1	leiden1
S__GCA_905181885.1	leiden2
S__GCA_905181905.1	leiden2
S__GCA_905181925.1	leiden2
S__GCA_905181935.1	leiden1
S__GCA_905181955.1	leiden1
S__GCA_905181975.1	leiden3
S__GCA_905181985.1	leiden2
S__GCA_905182015.1	leiden1
S__GCA_905182055.1	leiden2
S__GCA_905182065.1	leiden4
S__GCA_905182085.1	leiden1
S__GCA_905182125.1	leiden4
S__GCA_905182135.1	leiden1
S__GCA_905182145.1	leiden4
S__GCA_905182165.1	leiden4
S__GCA_905182175.1	leiden2
S__GCA_905182195.1	leiden2
S__GCA_905182215.1	leiden1
S__GCA_905182225.1	leiden1
S__GCA_905182235.1	leiden4
S__GCA_905182255.1	leiden4
S__GCA_905182285.1	leiden3
S__GCA_905182305.1	leiden4
S__GCA_905182315.1	leiden3
S__GCA_905182325.1	leiden1
S__GCA_905182335.1	leiden3
S__GCA_905182355.1	leiden1
S__GCA_905182365.1	leiden4
S__GCA_905182375.1	leiden2
S__GCA_905182385.1	leiden2
S__GCA_905182415.1	leiden2
S__GCA_905182425.1	leiden3
S__GCA_905182435.1	leiden4
S__GCA_905182445.1	grey
S__GCA_905182455.1	leiden2
S__GCA_905182465.1	leiden3
S__GCA_905182475.1	leiden4
S__GCA_905182485.1	leiden3
S__GCA_905182495.1	leiden4
S__GCA_905182525.1	leiden4
S__GCA_905182545.1	leiden3
S__GCA_905182555.1	leiden2
S__GCA_905182565.1	leiden4
S__GCA_905182575.1	leiden1
S__GCA_905182585.1	leiden6
S__GCA_905182615.1	leiden2
S__GCA_905182645.1	leiden2
S__GCA_905182665.1	leiden2
S__GCA_905182695.1	leiden2
S__GCA_905182705.1	leiden1
S__GCA_905182715.1	leiden4
S__GCA_905182735.1	leiden2
S__GCA_905182765.1	leiden4
S__GCA_905182775.1	leiden4
S__GCA_905182785.1	leiden2
S__GCA_905182795.1	leiden2
S__GCA_905182815.1	leiden2
S__GCA_905182835.1	leiden2
S__GCA_905182855.1	leiden2
S__GCA_905182865.1	leiden4
S__GCA_905182885.1	leiden4
S__GCA_905182935.1	leiden2
S__GCA_905477485.1	leiden3
S__GCA_905477545.1	grey
S__GCA_905478065.1	leiden3
S__GCA_905478145.1	leiden3
S__GCA_905478165.1	leiden1
S__GCA_905478185.1	leiden4
S__GCA_905478325.1	leiden2
S__GCA_905478395.1	leiden3
S__GCA_905478445.1	leiden2
S__GCA_905478585.1	leiden4
S__GCA_905478615.1	leiden2
S__GCA_905478745.1	leiden3
S__GCA_905478765.1	leiden3
S__GCA_905478845.1	leiden3
S__GCA_905479025.1	leiden1
S__GCA_905479055.1	leiden1
S__GCA_905479165.1	leiden3
S__GCA_905479195.1	leiden2
S__GCA_905479435.1	leiden3
S__GCA_905479565.1	leiden4
S__GCA_905479635.1	leiden1
S__GCA_905479685.1	leiden1
S__GCA_905479915.1	leiden1
S__GCA_905479945.1	leiden1
S__GCA_905479975.1	leiden3
S__GCA_905480075.1	leiden4
S__GCA_905480085.1	leiden6
S__GCA_905480095.1	leiden4
S__GCA_905480105.1	leiden1
S__GCA_905480125.1	leiden1
S__GCA_905480145.1	leiden1
S__GCA_905480215.1	leiden1
S__GCA_905480255.1	leiden1
S__GCA_905480275.1	leiden3
S__GCA_905480315.1	leiden3
S__GCA_905480395.1	leiden4
S__GCA_905480425.1	leiden2
S__GCA_905480435.1	grey
S__GCA_905612245.1	leiden2
S__GCA_905612265.1	leiden2
S__GCA_905612275.1	leiden4
S__GCA_905612295.1	leiden4
S__GCA_905612305.1	leiden4
S__GCA_905612335.1	leiden1
S__GCA_905612355.1	leiden2
S__GCA_905612365.1	leiden2
S__GCA_905612375.1	leiden2
S__GCA_905612385.1	leiden1
S__GCA_905612405.1	leiden1
S__GCA_905612415.1	leiden1
S__GCA_905612435.1	leiden1
S__GCA_905612455.1	leiden4
S__GCA_905612465.1	leiden1
S__GCA_905612485.1	leiden4
S__GCA_905612495.1	leiden2
S__GCA_905612515.1	leiden1
S__GCA_905612525.1	leiden1
S__GCA_905614355.1	leiden1
S__GCA_905614375.1	leiden2
S__GCA_905616325.1	leiden2
S__GCA_905616395.1	leiden2
S__GCA_905616445.1	leiden1
S__GCA_905616465.1	grey
S__GCA_905616605.1	leiden1
S__GCA_905618805.1	leiden1
S__GCA_905618865.1	leiden1
S__GCA_905618885.1	leiden1
S__GCA_905618895.1	leiden3
S__GCA_905618905.1	leiden2
S__GCA_905618915.1	leiden4
S__GCA_905618925.1	leiden2
S__GCA_905618945.1	leiden1
S__GCA_905620445.1	leiden2
S__GCA_905620465.1	leiden1
S__GCA_905620485.1	leiden2
S__GCA_905620495.1	leiden2
S__GCA_905620505.1	grey
S__GCF_000012325.1	leiden1
S__GCF_000012345.1	leiden2
S__GCF_000012505.1	leiden3
S__GCF_000014585.1	leiden3
S__GCF_000015285.1	leiden1
S__GCF_000153485.2	leiden2
S__GCF_000155735.2	leiden2
S__GCF_000169375.1	leiden2
S__GCF_000170755.1	leiden3
S__GCF_000195085.1	leiden1
S__GCF_000214415.1	leiden1
S__GCF_000242875.2	leiden3
S__GCF_000243415.2	leiden6
S__GCF_000252125.1	leiden3
S__GCF_000257665.1	leiden6
S__GCF_000264055.1	leiden2
S__GCF_000276805.1	leiden1
S__GCF_000315035.1	leiden1
S__GCF_000315075.1	leiden2
S__GCF_000336995.1	leiden6
S__GCF_000347635.1	leiden2
S__GCF_000355905.1	leiden2
S__GCF_000378625.1	leiden1
S__GCF_000384395.1	leiden4
S__GCF_000384455.1	leiden1
S__GCF_000389985.1	leiden6
S__GCF_000424645.1	leiden2
S__GCF_000425305.1	leiden6
S__GCF_000621125.1	leiden2
S__GCF_000744415.1	leiden1
S__GCF_000764185.1	leiden3
S__GCF_000764205.1	leiden1
S__GCF_000768695.1	leiden6
S__GCF_000801295.1	leiden1
S__GCF_001040845.1	leiden3
S__GCF_001293165.1	leiden1
S__GCF_001428425.1	leiden6
S__GCF_001530125.1	leiden1
S__GCF_001574435.1	grey
S__GCF_001641125.1	leiden6
S__GCF_001682155.1	leiden3
S__GCF_002163675.1	leiden3
S__GCF_002163835.1	leiden2
S__GCF_002591975.1	leiden6
S__GCF_002798435.1	grey
S__GCF_002831625.1	leiden4
S__GCF_002831685.1	leiden1
S__GCF_002835935.1	leiden2
S__GCF_002835995.1	leiden1
S__GCF_002836055.1	leiden4
S__GCF_002836245.1	leiden2
S__GCF_002836255.1	leiden2
S__GCF_002836415.1	leiden4
S__GCF_002836475.1	leiden4
S__GCF_002836745.1	leiden4
S__GCF_002836775.1	leiden2
S__GCF_002943715.1	leiden2
S__GCF_002954445.1	leiden4
S__GCF_002994615.1	leiden2
S__GCF_003047265.1	leiden6
S__GCF_003201655.1	leiden6
S__GCF_003326015.1	leiden4
S__GCF_003333305.1	leiden2
S__GCF_003352085.1	leiden1
S__GCF_003719305.1	leiden6
S__GCF_003855155.1	leiden4
S__GCF_004137345.1	leiden6
S__GCF_004402355.1	grey
S__GCF_004570385.1	leiden6
S__GCF_005222675.1	leiden6
S__GCF_007197555.1	leiden1
S__GCF_007954275.1	leiden1
S__GCF_007997085.1	leiden1
S__GCF_007997295.1	leiden6
S__GCF_007997375.1	leiden2
S__GCF_008728835.1	grey
S__GCF_009910845.1	grey
S__GCF_009930795.1	leiden6
S__GCF_010078385.1	leiden3
S__GCF_010723735.1	grey
S__GCF_011299595.1	grey
S__GCF_012276695.1	leiden4
S__GCF_012932795.1	leiden3
S__GCF_013390125.1	grey
S__GCF_013407145.1	grey
S__GCF_013407165.1	leiden4
S__GCF_013407185.1	grey
S__GCF_014076785.1	leiden2
S__GCF_014076925.1	leiden4
S__GCF_014076985.1	leiden2
S__GCF_014077045.1	leiden2
S__GCF_014077065.1	leiden4
S__GCF_014077095.1	leiden2
S__GCF_014077465.1	leiden4
S__GCF_014279555.1	leiden3
S__GCF_014279655.1	leiden3
S__GCF_014279835.1	leiden4
S__GCF_014397005.1	leiden1
S__GCF_014640435.1	leiden1
S__GCF_014925385.1	leiden2
S__GCF_015751965.1	leiden3
S__GCF_015752205.1	leiden1
S__GCF_017948265.1	leiden6
S__GCF_018459925.1	leiden1
S__GCF_018967865.1	leiden2
S__GCF_900099915.1	leiden1
S__GCF_900106075.1	leiden3
S__GCF_900106645.1	leiden1
S__GCF_900107635.1	leiden1
S__GCF_900111075.1	leiden1
S__GCF_900113585.1	leiden1
S__GCF_900114485.1	leiden6
S__GCF_900115615.1	leiden1
S__GCF_900129585.1	grey
S__GCF_900167275.1	leiden3
S__GCF_900167935.1	leiden6
S__GCF_900172325.1	leiden4
S__GCF_902506435.1	leiden1
S__IMGVR_UViG_2757320628_000001	leiden3
S__IMGVR_UViG_3300006310_000001	leiden1
S__IMGVR_UViG_3300006467_000165	leiden3
S__IMGVR_UViG_3300008952_000005	leiden1
S__IMGVR_UViG_3300009440_000004	leiden1
S__IMGVR_UViG_3300009443_000008	leiden1
S__IMGVR_UViG_3300017727_001923	grey
S__IMGVR_UViG_3300020166_000001	leiden1
S__IMGVR_UViG_3300020166_000015	leiden2
S__IMGVR_UViG_3300020182_000036	leiden1
S__IMGVR_UViG_3300020185_000065	leiden1
S__IMGVR_UViG_3300020374_000001	leiden1
S__IMGVR_UViG_3300020399_000132	leiden1
S__IMGVR_UViG_3300021087_000038	leiden1
S__IMGVR_UViG_3300023210_000013	leiden1
S__IMGVR_UViG_3300023238_000017	leiden1
S__IMGVR_UViG_3300023239_000003	leiden1
S__IMGVR_UViG_3300024344_003081	leiden1
S__IMGVR_UViG_3300024520_000070	leiden5
S__IMGVR_UViG_3300025071_000006	leiden2
S__IMGVR_UViG_3300025079_000001	leiden3
S__IMGVR_UViG_3300025276_000020	leiden1
S__IMGVR_UViG_3300025296_001443	leiden1
S__IMGVR_UViG_3300025632_000006	leiden1
S__IMGVR_UViG_3300025637_000035	leiden1
S__IMGVR_UViG_3300025653_000044	leiden1
S__IMGVR_UViG_3300025684_000010	grey
S__IMGVR_UViG_3300025696_000003	leiden2
S__IMGVR_UViG_3300025832_000009	grey
S__IMGVR_UViG_3300025860_000061	grey
S__IMGVR_UViG_3300025869_000017	leiden3
S__IMGVR_UViG_3300025874_000005	grey
S__IMGVR_UViG_3300027668_002455	leiden1
S__IMGVR_UViG_3300027687_000007	leiden2
S__IMGVR_UViG_3300027780_000015	leiden3
S__IMGVR_UViG_3300027813_000042	leiden3
S__IMGVR_UViG_3300027833_000016	leiden2
S__IMGVR_UViG_3300027833_000046	leiden3
S__IMGVR_UViG_3300027861_000023	grey
S__IMGVR_UViG_3300027861_002807	leiden1
S__IMGVR_UViG_3300028198_000003	leiden1
S__IMGVR_UViG_3300028535_000001	leiden1
S__IMGVR_UViG_3300030390_002408	leiden3
S__IMGVR_UViG_3300031519_000018	leiden3
S__IMGVR_UViG_3300031687_001020	leiden1
S__IMGVR_UViG_3300031688_001339	leiden2
S__IMGVR_UViG_3300031801_001562	leiden1
S__IMGVR_UViG_3300035195_000275	leiden3
S__IMGVR_UViG_3300037585_000783	leiden1
S__IMGVR_UViG_3300038315_000065	leiden5
S__IMGVR_UViG_3300046167_000935	grey
S__IMGVR_UViG_3300046168_000032	leiden3
S__IMGVR_UViG_3300046168_000042	leiden3
S__IMGVR_UViG_3300046168_000044	leiden3
S__IMGVR_UViG_3300046171_000252	leiden1
S__IMGVR_UViG_3300046532_001046	leiden1
S__IMGVR_UViG_3300047157_000078	leiden1
S__IMGVR_UViG_3300047157_000197	leiden3
S__IMGVR_UViG_3300049783_000307	leiden3
S__IMGVR_UViG_650627017_000001	leiden3
S__IMGVR_UViG_GVMAG-M-3300001718-3_000001	leiden2
S__IMGVR_UViG_GVMAG-M-3300006165-1_000001	leiden1
S__IMGVR_UViG_GVMAG-M-3300009149-34_000001	leiden1
S__IMGVR_UViG_GVMAG-M-3300009193-33_000001	leiden3
S__IMGVR_UViG_GVMAG-M-3300020185-109_000001	leiden2
S__IMGVR_UViG_GVMAG-M-3300020185-3_000001	grey
S__IMGVR_UViG_GVMAG-M-3300021378-13_000001	leiden1
S__IMGVR_UViG_GVMAG-M-3300021389-45_000001	leiden3
S__IMGVR_UViG_GVMAG-M-3300023179-21_000001	leiden2
S__IMGVR_UViG_GVMAG-M-3300023210-14_000001	leiden1
S__IMGVR_UViG_GVMAG-M-3300023210-35_000001	leiden1
S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	leiden4
S__IMGVR_UViG_GVMAG-M-3300027833-29_000001	leiden2
S__IMGVR_UViG_GVMAG-S-1059906-5_000001	leiden2
S__IMGVR_UViG_GVMAG-S-1059906-7_000001	grey
S__IMGVR_UViG_GVMAG-S-1074264-73_000001	leiden4
S__IMGVR_UViG_GVMAG-S-1096102-67_000001	leiden1
S__IMGVR_UViG_GVMAG-S-1102104-120_000001	leiden6
S__IMGVR_UViG_GVMAG-S-1102105-81_000001	leiden1
S__IMGVR_UViG_GVMAG-S-1102107-72_000001	grey
S__IMGVR_UViG_GVMAG-S-1102107-84_000001	leiden2
S__IMGVR_UViG_GVMAG-S-1102114-126_000001	leiden2
S__IMGVR_UViG_GVMAG-S-1102238-66_000001	leiden2
S__IMGVR_UViG_GVMAG-S-3300000115-91_000001	leiden3
S__IMGVR_UViG_GVMAG-S-3300002153-41_000001	leiden4
S__IMGVR_UViG_GVMAG-S-ERX555927-53_000001	grey
S__IMGVR_UViG_GVMAG-S-ERX555997-44_000001	leiden1
S__IMGVR_UViG_GVMAG-S-ERX556030-34_000001	leiden3
S__IMGVR_UViG_GVMAG-S-ERX556043-36_000001	leiden2
S__ISO_N1995-1-1	leiden6
S__ISO_N1998-1-3	leiden6
S__MAG_1807DKMD3_metabat2_bin.36	leiden6
S__MAG_KQGRSC.20.08_metabat2_bin.93	leiden6
S__MAG_PRGRI.17_metabat2_bin.26	grey
S__MAG_PRGRI.17_metabat2_bin.39	leiden1
S__MAG_QYSC.20.08_metabat2_bin.16	leiden6
S__MAG_QYSC.20.08_metabat2_bin.84	leiden6
S__MAG_TGLI1.17_maxbin2_bin.0	leiden1
S__MAG_TGLI1.17_metabat2_bin.19	leiden3
S__MAG_TGLI1.17_metabat2_bin.33	grey
S__MAG_TGLI3.17_metabat2_bin.9	leiden6
S__MAG_TGLSC.20.08_metabat2_bin.30	leiden1
S__Moniruzzaman_LP01_ERX556034_38_dc	leiden3
S__Moniruzzaman_LP01_SRX672316_10_dc	grey
S__Moniruzzaman_MM01_SRX803008_24_dc	leiden3
S__Moniruzzaman_MM15_ERX556043_42_dc	leiden1
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	leiden4
S__Phycodnaviridae_HM004432_Bathycoccus_sp_RCC1105_virus_BpV1	leiden1
S__Phycodnaviridae_KF481686_Emiliania_huxleyi_virus_145	leiden3
S__Schulz_GVMAG_M_3300000128_11	grey
S__Schulz_GVMAG_M_3300001718_3	leiden2
S__Schulz_GVMAG_M_3300009077_7	leiden1
S__Schulz_GVMAG_M_3300009149_34	leiden1
S__Schulz_GVMAG_M_3300009409_46	leiden1
S__Schulz_GVMAG_M_3300009425_37	leiden1
S__Schulz_GVMAG_M_3300009428_8	leiden3
S__Schulz_GVMAG_M_3300009786_46	leiden1
S__Schulz_GVMAG_M_3300020051_27	grey
S__Schulz_GVMAG_M_3300020185_109	leiden2
S__Schulz_GVMAG_M_3300021389_45	leiden3
S__Schulz_GVMAG_M_3300023210_14	grey
S__Schulz_GVMAG_M_3300023210_35	leiden5
