taxon	module
S__3300027832_31	leiden6
S__3300027833_14	leiden2
S__3300027833_15	leiden3
S__3300027835_30	grey
S__3300027838_10	leiden4
S__3300027838_20	leiden1
S__3300027838_22	leiden2
S__3300027838_32	leiden1
S__3300027838_49	leiden1
S__3300027838_66	leiden2
S__3300027838_7	leiden4
S__3300027838_9	leiden4
S__3300027839_100	leiden2
S__3300027839_102	leiden1
S__3300027839_112	leiden1
S__3300027839_20	leiden2
S__3300027839_23	leiden2
S__3300027839_25	leiden1
S__3300027839_32	leiden1
S__3300027839_4	leiden4
S__3300027839_47	leiden4
S__3300027839_55	leiden2
S__3300027839_57	leiden2
S__3300027839_66	leiden5
S__3300027839_75	leiden1
S__3300027839_78	leiden1
S__3300027839_83	leiden1
S__3300027844_103	leiden1
S__3300027844_12	leiden2
S__3300027844_19	leiden1
S__3300027844_24	leiden2
S__3300027844_32	leiden4
S__3300027844_39	leiden1
S__3300027844_41	leiden1
S__3300027844_42	leiden2
S__3300027844_54	leiden5
S__3300027844_55	leiden3
S__3300027844_58	leiden1
S__3300027844_59	leiden1
S__3300027844_60	leiden2
S__3300027844_72	leiden4
S__3300027844_79	leiden4
S__3300027844_92	leiden1
S__3300027845_19	leiden2
S__3300027847_10	leiden1
S__3300027847_13	leiden4
S__3300027847_15	leiden2
S__3300027847_31	leiden1
S__3300027847_32	leiden1
S__3300027847_4	leiden4
S__3300027847_45	leiden3
S__3300027847_49	leiden2
S__3300027847_53	leiden1
S__3300027847_58	leiden1
S__3300027847_70	leiden1
S__3300027847_80	leiden4
S__3300027849_24	leiden2
S__3300027849_41	leiden2
S__3300027858_23	leiden5
S__3300027883_17	leiden4
S__3300027883_25	leiden2
S__3300027906_4	leiden1
S__3300027976_21	leiden6
S__3300027976_22	leiden2
S__3300027976_46	leiden6
S__3300027997_10	leiden4
S__3300028193_38	leiden5
S__3300028197_10	leiden3
S__3300028197_7	leiden3
S__3300028418_12	leiden3
S__3300028418_7	leiden3
S__3300028418_8	leiden3
S__GCA_000169075.1	leiden3
S__GCA_000213335.2	leiden2
S__GCA_000213395.2	leiden4
S__GCA_000372225.1	leiden3
S__GCA_000372785.1	leiden3
S__GCA_000383355.1	leiden2
S__GCA_000383735.1	leiden3
S__GCA_000402075.1	leiden4
S__GCA_000402815.1	leiden3
S__GCA_000405345.1	leiden5
S__GCA_000405605.1	leiden5
S__GCA_000405805.1	leiden1
S__GCA_000496475.1	leiden6
S__GCA_000967895.1	leiden1
S__GCA_000981625.1	leiden2
S__GCA_000981725.1	leiden2
S__GCA_001303465.1	grey
S__GCA_001303545.1	leiden2
S__GCA_001437625.1	leiden4
S__GCA_001439535.1	leiden1
S__GCA_001443365.1	leiden5
S__GCA_001510075.1	leiden5
S__GCA_001510275.1	leiden5
S__GCA_001542995.1	leiden4
S__GCA_001543015.1	leiden4
S__GCA_001643535.1	leiden4
S__GCA_001643555.1	leiden4
S__GCA_001766965.1	grey
S__GCA_001767435.1	grey
S__GCA_001767695.1	grey
S__GCA_001773955.1	leiden5
S__GCA_001795235.1	leiden3
S__GCA_001796995.1	leiden3
S__GCA_001798595.1	leiden3
S__GCA_001828515.1	leiden4
S__GCA_001830475.1	leiden1
S__GCA_001940725.1	leiden5
S__GCA_002050025.1	leiden1
S__GCA_002082295.1	leiden4
S__GCA_002162925.1	leiden2
S__GCA_002162985.1	grey
S__GCA_002163005.1	leiden4
S__GCA_002163245.1	grey
S__GCA_002167775.1	leiden3
S__GCA_002167845.2	leiden3
S__GCA_002168195.1	leiden4
S__GCA_002171735.1	leiden3
S__GCA_002239065.1	leiden2
S__GCA_002256785.1	leiden1
S__GCA_002292185.1	leiden3
S__GCA_002295285.1	leiden3
S__GCA_002295725.1	leiden4
S__GCA_002311335.1	leiden1
S__GCA_002311385.1	leiden2
S__GCA_002311595.1	leiden5
S__GCA_002311835.1	leiden1
S__GCA_002311865.1	leiden4
S__GCA_002312935.1	leiden4
S__GCA_002313235.1	leiden4
S__GCA_002313265.1	leiden2
S__GCA_002313925.1	leiden4
S__GCA_002317795.1	leiden4
S__GCA_002327225.1	grey
S__GCA_002328865.1	grey
S__GCA_002331465.1	leiden3
S__GCA_002335045.1	leiden2
S__GCA_002335055.1	leiden1
S__GCA_002335865.1	leiden1
S__GCA_002336655.1	leiden2
S__GCA_002338605.1	leiden3
S__GCA_002341135.1	leiden1
S__GCA_002364335.1	leiden1
S__GCA_002364485.1	leiden3
S__GCA_002390675.1	leiden4
S__GCA_002390705.1	leiden1
S__GCA_002401055.1	leiden5
S__GCA_002401885.1	leiden2
S__GCA_002401955.1	leiden4
S__GCA_002402035.1	leiden3
S__GCA_002402165.1	leiden5
S__GCA_002430605.1	leiden2
S__GCA_002457395.1	leiden3
S__GCA_002457605.1	leiden3
S__GCA_002471305.1	leiden3
S__GCA_002495525.1	leiden3
S__GCA_002496725.1	grey
S__GCA_002498985.1	leiden3
S__GCA_002499015.1	leiden4
S__GCA_002499365.1	leiden3
S__GCA_002500485.1	leiden1
S__GCA_002501065.1	leiden1
S__GCA_002503285.1	leiden4
S__GCA_002505325.1	leiden3
S__GCA_002505495.1	leiden2
S__GCA_002632345.1	leiden1
S__GCA_002683135.1	leiden3
S__GCA_002684315.1	grey
S__GCA_002684605.1	leiden3
S__GCA_002685655.1	leiden4
S__GCA_002685755.1	leiden4
S__GCA_002686265.1	leiden4
S__GCA_002686515.1	leiden1
S__GCA_002686755.1	leiden3
S__GCA_002686855.1	leiden3
S__GCA_002687515.1	leiden2
S__GCA_002687695.1	leiden3
S__GCA_002687715.1	leiden3
S__GCA_002689385.1	leiden3
S__GCA_002690215.1	leiden3
S__GCA_002690445.1	leiden4
S__GCA_002691505.1	leiden3
S__GCA_002693245.1	leiden2
S__GCA_002694895.1	leiden1
S__GCA_002695115.1	leiden3
S__GCA_002695315.1	leiden4
S__GCA_002696165.1	leiden3
S__GCA_002696685.1	leiden3
S__GCA_002697345.1	leiden3
S__GCA_002699665.1	leiden3
S__GCA_002700285.1	leiden4
S__GCA_002701145.1	leiden3
S__GCA_002701625.1	leiden1
S__GCA_002701645.1	leiden2
S__GCA_002701785.1	leiden1
S__GCA_002701865.2	leiden3
S__GCA_002702965.1	leiden4
S__GCA_002703325.1	leiden3
S__GCA_002704905.1	leiden1
S__GCA_002705125.1	leiden1
S__GCA_002705605.1	leiden1
S__GCA_002708345.1	leiden4
S__GCA_002708395.1	leiden4
S__GCA_002708495.1	leiden2
S__GCA_002710495.1	leiden4
S__GCA_002712565.1	leiden5
S__GCA_002712585.1	leiden1
S__GCA_002712885.1	leiden4
S__GCA_002713705.1	leiden4
S__GCA_002713885.1	leiden3
S__GCA_002713895.1	leiden2
S__GCA_002714255.1	leiden1
S__GCA_002718455.1	leiden1
S__GCA_002718815.1	leiden1
S__GCA_002719675.1	leiden1
S__GCA_002719955.1	leiden1
S__GCA_002720975.1	leiden1
S__GCA_002724415.1	leiden3
S__GCA_002725915.1	leiden3
S__GCA_002725925.1	leiden3
S__GCA_002726085.1	leiden4
S__GCA_002726245.1	leiden4
S__GCA_002726335.1	leiden4
S__GCA_002726595.1	leiden5
S__GCA_002729755.1	leiden1
S__GCA_002729835.1	grey
S__GCA_002730035.1	leiden1
S__GCA_002730265.1	leiden3
S__GCA_002730525.1	leiden3
S__GCA_002730555.1	leiden3
S__GCA_002730985.1	leiden3
S__GCA_002731735.1	leiden2
S__GCA_002733285.1	leiden1
S__GCA_002733395.1	leiden1
S__GCA_002733575.1	leiden2
S__GCA_002733945.2	leiden1
S__GCA_002733985.1	leiden3
S__GCA_002737445.1	leiden6
S__GCA_002781745.1	grey
S__GCA_002793315.1	leiden4
S__GCA_002816455.1	leiden4
S__GCA_002816575.1	leiden4
S__GCA_002816585.1	leiden4
S__GCA_002816705.1	leiden3
S__GCA_002816715.1	leiden3
S__GCA_002816875.1	leiden4
S__GCA_002817055.1	leiden3
S__GCA_002862205.1	leiden3
S__GCA_002862465.1	leiden3
S__GCA_002862985.1	leiden4
S__GCA_002897915.1	leiden5
S__GCA_002897995.1	leiden3
S__GCA_002937525.1	leiden4
S__GCA_002937555.1	leiden4
S__GCA_002937975.1	leiden3
S__GCA_002938315.1	leiden1
S__GCA_003023645.1	leiden2
S__GCA_003208835.1	leiden3
S__GCA_003210375.1	leiden3
S__GCA_003228095.2	leiden1
S__GCA_003228125.1	leiden1
S__GCA_003228195.2	leiden1
S__GCA_003228495.1	leiden4
S__GCA_003228685.1	leiden3
S__GCA_003229095.1	leiden1
S__GCA_003229115.1	leiden5
S__GCA_003229345.1	leiden4
S__GCA_003229495.1	leiden1
S__GCA_003230015.1	grey
S__GCA_003230435.1	leiden4
S__GCA_003230615.1	leiden4
S__GCA_003231035.1	grey
S__GCA_003231795.1	leiden2
S__GCA_003232185.1	leiden1
S__GCA_003232445.1	leiden5
S__GCA_003233175.1	grey
S__GCA_003233615.1	leiden2
S__GCA_003235605.1	leiden3
S__GCA_003331265.1	leiden3
S__GCA_003331425.1	leiden3
S__GCA_003331785.1	leiden3
S__GCA_003353795.1	leiden3
S__GCA_003354025.1	leiden5
S__GCA_003354135.1	leiden4
S__GCA_003445035.1	leiden4
S__GCA_003447545.1	leiden3
S__GCA_003451675.1	leiden5
S__GCA_003457335.1	leiden3
S__GCA_003483645.1	leiden3
S__GCA_003486285.1	grey
S__GCA_003489145.1	leiden1
S__GCA_003509045.1	leiden4
S__GCA_003509065.1	leiden3
S__GCA_003521815.1	leiden1
S__GCA_003526595.1	leiden4
S__GCA_003527405.1	leiden5
S__GCA_003535775.1	leiden1
S__GCA_003537695.1	leiden1
S__GCA_003545625.1	leiden4
S__GCA_003575245.1	leiden5
S__GCA_003576685.1	grey
S__GCA_003576805.1	leiden3
S__GCA_003644175.1	leiden4
S__GCA_003644265.1	leiden3
S__GCA_003645215.1	leiden2
S__GCA_003645435.1	leiden4
S__GCA_003645495.1	leiden2
S__GCA_003647035.1	leiden3
S__GCA_003648635.1	leiden5
S__GCA_003650305.1	leiden1
S__GCA_003672175.1	leiden4
S__GCA_003693905.1	grey
S__GCA_003695865.1	grey
S__GCA_003696105.1	grey
S__GCA_003709165.1	leiden1
S__GCA_003709175.1	leiden3
S__GCA_003972865.1	leiden3
S__GCA_003973205.1	grey
S__GCA_003973385.1	leiden2
S__GCA_003978185.1	leiden1
S__GCA_003978465.1	leiden2
S__GCA_003978555.1	leiden1
S__GCA_003978565.1	grey
S__GCA_003978765.1	leiden1
S__GCA_004124295.1	leiden5
