sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	analysis_partition	harmonization_mode
LV3003047131	ST8	28.2453333333333	4.74509333333333	7.95468779538517	1.00955369999552	-0.262796880284966	-0.205827783313122	-0.292558986653641	0.733733025695722	0.656416629397188	training	corewise_z
LV3003047117	ST8	28.7616666666667	4.73476666666667	8.03655127079825	0.958961849239564	-0.302484187788428	-0.461471549508483	-0.302311725059572	0.541417690289931	0.507819339570652	training	corewise_z
LV3003047098	ST8	29.278	4.69942	8.11841474621133	1.98971609963728	-0.261991368634415	-0.679786876433889	-0.317799049942855	-0.0644423264167638	0.122042041424432	training	corewise_z
LV3003047085	ST8	29.703	4.65267	8.18579752939511	3.18772903946605	-0.0507299405551476	-0.405915478783647	0.189527177667443	0.887531009203513	0.439827908077792	training	corewise_z
LV3003047070	ST8	30.128	4.62	8.25318031257889	2.09116438559287	-0.227949203679764	-0.623289049621618	-0.327963951205062	0.515335539892732	0.366498196113933	training	corewise_z
LV3003047168	ST8	30.497	4.62	8.31168442315493	2.56423380145376	0.15654323598929	-0.371515857675529	0.28677253490579	0.901705951465436	0.495862079896108	training	corewise_z
LV3003047155	ST8	30.9475	4.62	8.38311017332974	3.11223896614507	-0.243661390564401	-0.643788463316933	-0.337464863772823	-0.165061004633794	-0.0290400985611156	training	corewise_z
LV3003047143	ST8	31.398	4.61204	8.45453592350455	2.27258918052368	-0.26583427079298	-0.225039810232241	-0.407960259954166	0.73936316626787	0.580170724775477	training	corewise_z
LV3003047130	ST8	31.936	4.60128	8.53983459962896	1.43864684928893	-0.375235055284462	-0.497953691437567	-0.36253002506515	0.461091510978384	0.3229334992556	training	corewise_z
LV3003047114	ST8	32.3855	4.59229	8.61110180207863	0.338034360763022	-0.389286942863846	-0.386043650557752	-0.462219527234405	0.170331708176899	0.311002867017327	training	corewise_z
LV3003047097	ST8	32.835	4.5833	8.6823690045283	1.74185987559822	-0.298150713429619	-0.35127848439179	-0.368265497673728	0.655977142324977	0.556389931778143	training	corewise_z
LV3003047084	ST8	33.276	4.58276	8.75228855131429	0.370489810174518	-0.278828998566475	0.807285447799709	-0.0330885402847864	0.888150833011224	0.832548274301119	training	corewise_z
LV3003047069	ST8	33.7436870748299	4.5874368707483	8.82643927310517	-0.0708622186865922	-0.262159500642026	-0.54804900083694	-0.419544078431997	0.475917066080254	0.43929811812495	training	corewise_z
LV3003047167	ST8	34.67812	4.556094	8.97459148768522	0.000778781603653766	-0.345015621486628	-0.685916975949305	-0.305388797328191	-0.0430321588099179	0.000344010621232192	training	corewise_z
