sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	harmonization_mode
LV3003046979	ST8	16.461	4.80993	7.29869936048704	-4.94657260263245	139.816024644944	107.073278269947	-11.0643744827565	115.176864743818	91.1973354921756	corewise_z
LV3003046980	ST8	8.056	3.41776	6.25245183951933	-47.5171739433899	-52.9055647704539	359.084241805337	-59.7806990243262	-79.9736060633621	37.8561106438898	corewise_z
LV3003046982	ST13	292.7444	4.23278	5.45117942276153	-31.1509474351473	-38.7004184461365	-98.7737418394541	-85.1641200144113	-254.261671196669	-340.072289394456	corewise_z
LV3003046983	ST13	282.5942	3.914638	5.35185966174353	-39.6842300610403	-35.2759076146804	-43.9591624503907	-49.3421361657572	30.3181008358351	69.0129007763512	corewise_z
LV3003046984	ST13	271.401	4.47594	6.00711359118037	-26.9715961254258	-28.4903740367636	12.2545006655742	-14.9454147164751	108.89286689446	87.1882844715223	corewise_z
LV3003046987	ST13	228.3332	4.133356	7.46706093086875	-38.2678202416832	-41.6746993436536	-60.0469249060085	-64.8419528097963	2.30291617760382	27.0732905931836	corewise_z
LV3003046988	ST13	246.624	4.33632	8.68404041978771	-45.0464486258964	-47.1717078594393	-97.8523201375359	-81.2947500684533	-158.437008812203	-151.370011771071	corewise_z
LV3003046990	ST13	214.2076	3.555848	8.65397430593701	-42.7922259014734	-39.2888798002022	-102.207771551828	-76.6127333908258	-90.7155032529909	-25.3881635481448	corewise_z
LV3003046991	ST13	202.082	3.62836	7.55276272229853	-45.0464486258964	-38.8158286407305	-100.610990014115	-81.9468526149221	-123.744496175464	-64.9411755210974	corewise_z
LV3003046992	ST13	171.8304	4.471872	10.9487378703146	-45.0464486258964	-44.8841999964241	-107.983501942857	-84.146709484937	-246.038215193535	-451.104953900979	corewise_z
LV3003046993	ST8	20.719	4.93248	7.51387664163044	-42.5983118523107	531.363998213908	390.648018769665	203.880136060652	142.848430418841	128.9882399759	corewise_z
LV3003046994	ST8	15.549	4.63274	7.18672783126745	-49.0700850613466	389.754896944314	-98.5120083946999	-70.6486070444266	-35.8637320631911	-13.1244013135745	corewise_z
LV3003046995	ST8	6.9705	3.36882	6.16359220190688	-36.6192186183909	-53.2668667462249	246.390635817836	-65.5905872859353	-55.8246524851688	37.97173337875	corewise_z
LV3003046997	ST13	291.602	4.20632	5.44000103268183	-30.0923671457612	-36.1398419861757	-53.9571010577904	-79.3033500485225	-176.71532997191	-117.830257017347	corewise_z
LV3003046999	ST13	280.418	4.16926	5.33056553316208	-38.6444633748802	-37.0485121401211	-104.094758386724	-81.8634988339717	-212.330984759264	-190.594308159116	corewise_z
LV3003047000	ST13	268.1115	4.351185	6.39672948860032	-34.5595474470062	-33.9170775958024	-36.7423908554903	-66.5519684702775	-9.90848430173325	15.3889516577086	corewise_z
LV3003047002	ST13	243.874	4.01598	9.39624280678961	-39.0135443319936	-43.4980611871933	-103.459736062747	-82.4535733619336	-179.98713129365	-185.068534765347	corewise_z
