sample	MEgrey	MEleiden1	MEleiden2	MEleiden3	MEleiden4	MEleiden5	MEleiden6
LV7008867196	21.4133066190525	-6.93261640107301	-15.7077653465851	-5.04877738064252	-14.61805015195	-0.150649873644948	-3.46819735736922
LV7008867172	0.943676110213446	-7.45692118955627	-14.7602429190001	-8.34251644338219	-19.5711369562376	-3.10926423863275	-3.46819735736922
LV7008867148	2.44300489400875	-4.62345029646009	-2.93275568686068	-7.56624036049905	-3.80963393011665	-1.80038182238474	-3.31755231277967
LV7008867124	6.71083728693329	-6.11572568590253	-12.2931917111091	-7.84620759814538	-12.2663894240167	0.128140441606299	-2.37963464723305
LV7008867197	-0.163778454007392	-7.06753445658783	-8.47636159512563	-8.05377743579026	-7.34428409903004	-3.56198231414673	-3.35604650934761
LV7008867161	6.37480230636466	-7.34358946828782	-17.5825409429326	-7.9455616336569	-26.3538614321097	5.41645237122541	-3.46819735736922
LV7008867137	3.64312653239301	-2.76767455151392	1.59566263025401	4.07450719661469	4.1290581833911	-0.732870313634243	-2.23538962635633
LV7008867113	1.17900634225807	0.66430475775081	5.92146058418071	-1.2791666166845	5.23749966899192	2.03853805952534	-2.59726035001199
LV7008867186	2.10356084334089	7.98083755892887	10.1647611568556	9.3094627138871	8.67726293788609	1.17090493631994	-3.19105210046546
LV7008867162	1.59636156125072	15.1422971851747	13.1644311293613	11.1481543413331	11.5134261682306	3.28669629844984	-2.35512329059165
LV7008867126	19.6464416387992	5.55579614154312	4.97422038857695	23.3374097867069	9.40475780651636	7.56166671217757	-2.94410024575849
LV7008867187	21.4682368675784	3.81482126110039	3.30313516131424	20.9623780627833	7.63092557215308	6.31135556904946	-3.15089411834539
LV7008867163	20.6720014904035	7.88272910356732	6.71844296384282	25.957785902379	10.7269865140747	8.13080640626461	-1.64778176853319
LV7008867139	5.42755705461337	-2.20491673282089	0.502601642261068	5.03680661635603	5.35246116973577	2.57054728569861	3.09861078983034
LV7008867115	19.0679494087902	0.370354181634639	2.19671087162078	13.6403811039187	8.39651413150562	3.67459717066557	-3.08876730616295
LV7008867188	22.721596371958	15.1339916743787	9.38383327490341	27.8989532855791	13.9408590436305	11.2212212440523	-2.92713995670374
LV7008867152	24.4684169341732	-6.64141009951972	-14.3511149040205	-5.75095116786024	-7.0851961755648	4.30856167138443	-2.95108721375032
LV7008867128	24.6098014773374	-6.76637331144875	-14.8190497400526	-3.74660434158605	-8.4706404024296	6.05990249008494	-2.94174723037957
LV7008867369	21.1211594785184	-6.90350025225567	-14.668843674148	-5.45613957796874	-11.2736731953275	2.85025874045193	-3.46819735736922
LV7008867345	21.3863623551737	-6.86210146585299	-15.8928760087293	-5.29071935845039	-11.9001359584087	3.7633934343382	-3.17965370602601
LV7008867321	-1.31269326635942	-7.40747538611594	-16.8725306718785	-8.71148956059034	-27.9408264772363	-2.80008966854177	-3.46819735736922
LV7008867382	5.46466768426005	-7.03289207051246	-13.9190585679292	-6.21205527478516	-11.9054465071247	-1.80446166167212	-3.46819735736922
LV7008867358	-0.0873934118977325	-7.50480993915857	-17.85427376838	-8.4941724791759	-29.6612209079883	-2.20433725835936	-3.38083898169294
LV7008867334	0.0172232164385375	-6.01709598019283	-10.1086774936279	-7.49934825966612	-13.9359357756185	14.3396561068506	-3.06172420402501
