sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	analysis_partition	harmonization_mode
LV3003047159	ST8	56.7987933333333	4.41390346666667	6.86838342718166	-0.339428202308713	-0.135029003202237	-0.418620362653777	0.187106515423576	-0.201596157829761	training	corewise_z
LV3003047158	ST8	57.70646	4.4723876	7.06485967649701	-0.321634995160716	-0.681433527358599	-0.342781636546921	-0.105677927379672	0.342152597647444	training	corewise_z
LV3003047139	ST8	58.6141266666667	4.4531524	8.62798528680874	-0.34077779171946	-0.741685855264688	-0.379718626688925	-0.0491476475304061	0.296801669276526	training	corewise_z
LV3003047150	ST8	59.5217933333333	4.51870486666667	8.44254713374637	-0.261993904919386	-0.608691743419297	-0.182874594534055	0.465902454788113	0.896753614688936	training	corewise_z
LV3003047149	ST8	60.4317	4.561147	7.85555370343168	-0.341273581538206	-0.532865717247104	-0.393062365057313	0.112575887342463	-0.123642415819903	training	corewise_z
LV3003047148	ST8	61.3767	4.543903	7.88451611411687	-0.318414236814394	-0.616976605077195	-0.379151111990226	0.266616197468093	0.200460338925366	training	corewise_z
LV3003047147	ST8	62.3217	4.577481	7.91347852480206	-0.296535632341142	-0.638188729110302	-0.377223798713092	0.252525465767108	0.505851446584259	training	corewise_z
LV3003047146	ST8	63.2667	4.484661	7.94244093548725	-0.261098728135105	-0.419678420123777	-0.131579661526233	0.660651987544525	0.902873432955406	training	corewise_z
LV3003047126	ST8	64.210824	4.38529888	7.97137649847746	-0.364432806474985	-0.574971434453312	-0.402439911391723	0.172244045616971	0.0155406990883615	training	corewise_z
LV3003047138	ST8	66.0158	4.567946	8.02669549973556	-0.364432806474985	1.0384524192812	-0.418620362653777	0.313005597014432	-0.313719160224959	training	corewise_z
LV3003047137	ST8	66.9462	4.446994	8.05521044883768	-0.321593266084334	-0.677978188747045	-0.397832740142302	-0.319542914802552	-0.212354017742217	training	corewise_z
LV3003047136	ST8	67.8766	4.422468	8.08372539793979	-0.364432806474985	1.45426233995961	-0.403223989132485	0.440823384996211	0.232157721414977	training	corewise_z
LV3003047134	ST8	68.807	4.46035	8.5256420642359	-0.364432806474985	2.03358241255033	-0.393814709988517	0.17063702434616	-0.529704892075061	training	corewise_z
LV3003047133	ST8	70.162	4.3038	9.41847614468938	-0.364432806474985	0.0590828425860391	-0.418620362653777	0.401367333705489	0.0455010235701451	training	corewise_z
LV3003047107	ST8	71.517	4.21483	10.3113102251429	-0.3440724610474	0.225210909185522	-0.418620362653777	0.515403163621435	0.227286369249888	training	corewise_z
LV3003047125	ST8	72.872	4.22744	9.79667019017442	-0.364432806474985	-0.307079764680497	-0.418620362653777	-0.421057356844439	-1.32907927848347	training	corewise_z
LV3003047124	ST8	74.227	4.01184	8.74840765343023	-0.34146178142291	-0.741685855264688	-0.418620362653777	-1.38214662148181	-1.36102582091978	training	corewise_z
LV3003047123	ST8	75.589	4.01479	7.91867251010661	-0.364432806474985	-0.741685855264688	-0.418620362653777	-1.72581927682036	-1.55267581386764	training	corewise_z
LV3003047122	ST8	76.951	4.07902	8.14654944891421	-0.364432806474985	-0.741685855264688	-0.418620362653777	-1.40330289503032	-1.32628465876201	training	corewise_z
LV3003047093	ST8	79.675	3.94875	8.33291896762292	-0.364432806474985	1.40872482900248	-0.418620362653777	0.411370704305657	-0.439264275853548	training	corewise_z
LV3003047106	ST8	81.06375	3.818725	7.9892783476803	-0.364432806474985	-0.263900408101001	-0.418620362653777	-0.270493449353908	-1.27559546643495	training	corewise_z
LV3003047105	ST8	82.4525	3.813575	7.94999819731899	-0.364432806474985	-0.710086865827061	-0.418620362653777	-1.39947353364282	-1.58733961051235	training	corewise_z
LV3003047104	ST8	83.84125	3.8215875	8.14686985631632	-0.364432806474985	-0.674820853827019	-0.418620362653777	-1.27972569806941	-1.55069445754761	training	corewise_z
LV3003047101	ST8	85.23	3.9753	8.34374151531365	-0.364432806474985	-0.226220632472609	-0.385620526328676	0.103498991212823	-0.758940561809138	training	corewise_z
LV3003047100	ST8	86.61175	4.13341	8.5396208419164	-0.364432806474985	1.17393139072252	-0.375879199199192	0.44375689664684	-0.457153506627532	training	corewise_z
LV3003047080	ST8	87.9935	4.110455	8.44662940914954	-0.364432806474985	0.469760219708437	-0.418620362653777	0.522677875366999	-0.125450007588815	training	corewise_z
LV3003047091	ST8	89.37525	4.072495	8.08112030852452	-0.364432806474985	0.751337503783779	-0.40371770460746	-0.0426213437259157	-1.12671273906439	training	corewise_z
LV3003047090	ST8	90.757	4.03729	7.7156112078995	-0.364432806474985	-0.530337669034761	-0.418620362653777	-1.20775440251198	-1.53913518544768	training	corewise_z
LV3003047089	ST8	92.1385	3.96892	7.35016823882878	-0.364432806474985	0.322702467585528	-0.372742441452781	-1.2424973094795	-1.61072966221813	training	corewise_z
LV3003047088	ST8	93.52	3.8688	6.98472526975806	-0.364432806474985	-0.345892203288149	-0.418620362653777	-1.551172989965	-1.6269644478666	training	corewise_z
LV3003047087	ST8	94.9015	3.776895	6.61928230068734	-0.364432806474985	-0.583075023527592	-0.418620362653777	-1.33614302788462	-1.35015431112075	training	corewise_z
