sample	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	MEgrey
LV3003047026	0.327408068097297	-0.0189629756052476	0.0546203788916628	0.0558648964750843	0.0621245195748678	0.0869941679240087
LV3003047009	0.288330905116704	-0.0580958542793593	0.00640276552307808	0.0151280097596434	0.0164693071638643	0.00209323379952878
LV3003046993	0.333477589548684	0.136702659623145	0.0715881499166941	0.0603134025134581	0.0629531680148718	0.111146241685747
LV3003046978	0.0996897946988932	-0.00961513269149163	0.196693996773728	0.0749535778171326	0.0906510218481962	0.147431906923802
LV3003046965	0.118667167982826	0.0174749642843951	0.296172597040126	0.0923534610918925	0.112012435655268	0.217048155423747
LV3003046949	0.0245024923857856	-0.00693317687759122	0.206446904033983	0.0716324419639034	0.09263621638992	0.13964602329688
LV3003046936	0.0816171719028314	0.00753385185203516	0.258994683974083	0.0887861206602733	0.105415405942589	0.201002295851591
LV3003047145	0.188595439505957	-0.0396605551761371	0.0109757629221079	0.0429813638313309	0.0596364497638908	0.0347231906973601
LV3003047132	0.0359531011272184	0.0152616662342915	0.28512990671343	0.0941297198898681	0.115345103019813	0.225010853538435
LV3003047118	0.0195105001934778	0.000544453764991086	0.184815308053104	0.0747706834586571	0.0959243025479498	0.116004842118991
LV3003047099	-0.018157732689669	-0.0512929514105759	0.0154958939211531	0.0374267083012007	0.0633171283544076	0.0358759445733566
LV3003047071	-0.0261454100818862	-0.060760204010068	-0.0201272209997943	0.0286973504249252	0.0544303676128806	0.0372150186314064
LV3003047169	-0.0169953243988199	-0.0631885626709043	0.0090373426291356	0.0341588848293172	0.0597392880212365	0.0637585578113807
LV3003047156	-0.0235517628880417	-0.0410751742847098	0.00924245174058438	0.0370339390786925	0.0593993112174399	0.0599192489149177
LV3003047144	-0.0261255268760633	-0.0338040823760446	0.0168916829979562	0.0517120420055909	0.0760813874965072	0.0849005768770956
LV3003047131	-0.0248348379482996	-0.0111948592703926	-0.0316897388274647	0.0377550594823333	0.0399759481804578	-0.00446802201763179
LV3003047117	-0.0262144499283117	-0.0382867269590191	-0.0313056584242432	0.0263821916071212	0.0400743284599778	-0.0179086501100868
LV3003047098	-0.0279366984014817	-0.0650349308829091	-0.0309422350445502	-0.00878020087334779	-0.00067074681884698	-0.0273652860808387
LV3003047085	-0.010319949717207	-0.060695913899075	-0.014713780337072	0.0186905111925141	0.0530965673125487	0.0338304848540097
LV3003047070	-0.022604541448951	-0.0650349308829092	-0.028466294554461	0.0139789110549648	0.0331630110445014	-0.0150522889882752
LV3003047168	-0.00341374363575161	-0.0533076403434366	-0.0104361368900286	0.022567386071249	0.0510051258425762	0.0378995419875838
LV3003047155	-0.0278171189257869	-0.0650349308829091	-0.032847016048499	-0.0205919174289021	-0.0235660652659632	-0.0198338695567082
LV3003047143	-0.0257545101448672	-0.0126489472820436	-0.033109117392004	0.0287087847483288	0.0447355572456167	-0.00559696442502436
LV3003047130	-0.0278684716948077	-0.0392780862001317	-0.0302637456908406	0.00930760714298316	0.0373884878256091	-0.0216911541147169
LV3003047114	-0.0294846378201382	-0.0285986150851776	-0.0344572624621079	0.0103379106861475	0.0154860760650636	-0.0369379087795668
LV3003047097	-0.0236899388964558	-0.0228710156916021	-0.0331538453504847	0.0272556364887684	0.0413223199128413	-0.0112811305385825
LV3003047084	-0.0225427647198425	0.0625451637299115	-0.020979550529035	0.0468736580720172	0.0563493668821356	0.0222041665849282
LV3003047069	-0.0209520747093272	-0.0464882967103472	-0.0305284587898207	0.0234329059897743	0.0369637399613957	-0.0338471634423004
LV3003047167	-0.0262369513019754	-0.0650349308829091	-0.0344572624621079	-0.0161839780349917	0.00343180365602873	-0.0351601222166269
LV3003047154	-0.0264753038656728	-0.0328846874785203	-0.0344572624621079	0.019667635171531	0.0188909637541762	-0.0461321873846704
LV3003047142	-0.0245106505250951	-0.0650349308829091	-0.0291590346250224	-0.0120005696576653	0.0243504298141851	-0.0173806232345442
LV3003047129	-0.015346863743381	-0.0650349308829091	-0.0246229962308059	0.0205753447083151	0.0436235586253546	0.0109031790583171
LV3003047113	-0.0122402363011241	-0.0522299374508547	-0.00129196317939918	0.0443525384603101	0.0600590819053413	0.0343214639260497
LV3003047096	-0.0193524151987261	-0.0608174393506336	-0.0238388010039117	0.0295258204482128	0.0517779316479252	0.0143559482847261
LV3003047083	-0.0276738930529885	-0.0437935897824984	-0.0286656183011847	0.0205654557047708	0.0386720704050468	-0.0379495340226921
LV3003047068	-0.02604682780847	-0.0582131965781644	-0.0256008346553153	0.0203464563246627	0.0359203781196644	-0.0383510662948547
LV3003047166	-0.0278506530793069	-0.0230897892230998	-0.0305486476722606	0.0320529828909452	0.0501116020666687	-0.00456575910453081
LV3003047153	-0.0277782126700754	-0.0171552987519052	-0.0319651116589921	0.0348781221676196	0.0506286264982986	-0.00835248932884038
LV3003047141	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.172435198710904	-0.134954049983008	-0.0798363253077477
LV3003047128	-0.0232909561424955	-0.0650349308829091	-0.0208475911525054	0.0203466404318672	0.0453443731536886	0.0195040973994054
LV3003047112	-0.0277752293795104	-0.0351162790668818	-0.0305352493046611	0.0334994575957938	0.0522266427819549	-0.0176316820108334
LV3003047095	-0.025315959819197	-0.0266031864245559	-0.0316702041146966	0.018247344811638	0.0168797876983528	-0.0469488883051091
LV3003047082	-0.0264251427649257	-0.042580245198389	-0.0333380883957343	0.00341543770430679	0.00330721886145315	-0.0519119615214622
LV3003047067	-0.0156364014213216	-0.0017417273982676	-0.0293482952254924	0.0379320900223535	0.0520815388607452	0.00188593541563131
LV3003047164	-0.0294846378201382	-0.0563119047230686	-0.0334013421958462	0.00372311209321853	-0.00200223601273775	-0.0460152562529385
LV3003047152	-0.0280408779153218	-0.0106169812530627	-0.0329366788256333	0.0239416354165493	0.04017426529439	-0.0291804854785934
