module	proxy	beta_full	p_full	beta_leave_ST8	p_leave_ST8	beta_leave_ST13	p_leave_ST13	beta_leave_GeoB25202_R1	p_leave_GeoB25202_R1	q_full	sign_preserved_all	all_leave_p_lt_010	stability_flag
MEblue	zr_rb_z	-0.116145036693556	0.0889141026748757	-0.151688339145077	0.166086280445671	-0.108082405130504	0.177956970311623	-0.107090150089828	0.142572775482224	0.111557560957555	TRUE	FALSE	unstable_or_mixed
MEblue	ti_al_z	0.158088101764163	0.0283217202943302	0.158355287974884	0.190774922701328	0.157010682739218	0.0570457175704028	0.160177236453075	0.0386487899466403	0.0416495886681327	TRUE	FALSE	unstable_or_mixed
MEblue	mn_fe_z	-0.0901038872619576	0.196577202045123	-0.0767877066673406	0.510516478204587	-0.129107269553219	0.111782062022976	-0.0647573063450669	0.381613085822726	0.213670871788177	TRUE	FALSE	unstable_or_mixed
MEturquoise	ba_ti_z	-0.235461703017781	0.000115187931364155	-0.230520488081809	0.036961867300767	-0.258184412270081	0.000196504961791593	-0.218386514294604	0.000426524927691832	0.000404813053023111	TRUE	TRUE	stable
MEturquoise	ca_ti_z	0.19022686562128	0.00176952617824884	0.408538411657147	0.000215201259679368	0.141754910015038	0.0410299625218757	0.13367287243271	0.0302274874815363	0.00402165040511099	TRUE	TRUE	stable
MEturquoise	zr_rb_z	-0.123565830181959	0.0377215241793039	-0.0529843629304384	0.613661227387526	-0.206094799482878	0.00237146449448662	-0.0838250972331051	0.167482498431868	0.0523910058045887	TRUE	FALSE	unstable_or_mixed
MEturquoise	ti_al_z	0.155248375607132	0.0135506839013342	0.185490313722707	0.107652243786645	0.212751675741833	0.0023842013913108	0.0943993802238682	0.143923979808503	0.024197649823811	TRUE	FALSE	unstable_or_mixed
MEturquoise	mn_fe_z	0.024758465568668	0.685268790870677	0.0296769492021288	0.790402166759294	0.0591189326063408	0.397419071824785	-0.0172580177194843	0.779300343773068	0.685268790870677	FALSE	FALSE	unstable_or_mixed
MEyellow	ba_ti_z	-0.213741302561922	0.000331929382262068	-0.209416749210997	0.0568554423309371	-0.232492526469805	0.000496870132705138	-0.199934974416959	0.000882279356490281	0.000829823455655171	TRUE	TRUE	stable
MEyellow	ca_ti_z	-0.0266171307874577	0.657116037024216	0.196379591139963	0.084587673275451	-0.092390056565431	0.167056637107789	-0.0735841431428142	0.220044086982103	0.684495871900225	FALSE	FALSE	unstable_or_mixed
MEyellow	zr_rb_z	-0.274636225288696	1.20780069373968e-06	-0.192556278917609	0.0622674745698049	-0.355903033264517	1.53660167119118e-08	-0.241666145808654	2.49949348763198e-05	5.03250289058202e-06	TRUE	TRUE	stable
MEyellow	ti_al_z	0.175862622942743	0.00392651344003166	0.109702566738665	0.340693563139091	0.217389519174389	0.00118902485486317	0.170523243557616	0.0059443301669311	0.00818023633339929	TRUE	FALSE	unstable_or_mixed
MEyellow	mn_fe_z	-0.142199778171766	0.0158811957885209	-0.17215486770215	0.117125098029772	-0.127488865353687	0.0559169941573507	-0.154639940855068	0.00873323880622263	0.0264686596475348	TRUE	FALSE	unstable_or_mixed
