sample	MEpink	MEbrown	MEmagenta	MEblue	MEred	MEturquoise	MEyellow	MEgreen	MEblack	MEpurple	MEgrey
LV3003047105	-0.00598244470190964	5.66085707117513e-05	-0.000916288568134617	-0.00122834481200311	0.0106229278916718	0.00160010780140149	-0.024442461653917	-0.10463942122957	-0.0990230144995443	-0.149120928580792	0.0128897257352079
LV3003047104	-0.0184845845907629	-0.00512918814661191	-0.00670720948841997	-0.0103179479888045	0.000344287196733591	-0.0133913131758971	-0.0299486888002298	-0.131169121876993	-0.117086293905658	-0.188691651864581	0.0110805199384974
LV3003047101	-0.012230681699919	-0.0232850892660403	-0.0207263912475536	-0.0275219209072869	-0.0212568185266992	-0.0455504291097258	-0.0432786582876098	-0.0734126509352313	0.0376546316909815	0.0444184302317759	0.000907392683467185
LV3003047100	0.0945433694375589	-0.0188459276633327	-0.0275957722176146	-0.0302028999501001	-0.0301426775537802	-0.0597678025492066	-0.0498103261339479	-0.0779358997358	0.0316173555161051	0.0544743329912232	0.00801265075762545
LV3003047080	0.0271060861756293	-0.0347669460959124	-0.0296902456223214	-0.0292187944980955	-0.0345734652375321	-0.0696186514175289	-0.05180183084917	-0.0465027957386142	0.0302958926788245	0.0480670708837213	0.0225871173677778
LV3003047091	0.0650007873003294	-0.00749736108635785	-0.0149853394719111	-0.0299128011876343	-0.0220513042225495	-0.0519556077368323	-0.0450598933804522	-0.1672040548584	-0.0152108831886801	0.0481978104085768	0.027500826659998
LV3003047090	-0.00896806892298006	-0.0140439021511471	-0.0103246994340351	-0.0140192752854885	-0.00607660507245271	-0.0232708106832233	-0.0265311970995796	-0.164378518428062	-0.158536467026992	-0.207323942573447	0.0197651553527039
LV3003047089	0.0537789459683763	0.024911417402877	-0.00668604103793715	-0.0200826483123047	-0.0134065533767398	-0.0327407064348161	-0.0373149596815113	-0.19283396927269	-0.250549701645949	-0.207517886164249	0.0146718724959452
LV3003047088	0.0414036187969922	0.0102672150074919	0.00396674769168223	0.00521693947547763	0.0192901115582964	0.0148285799993852	-0.0197994856609193	-0.0874823227059893	-0.143340181442989	-0.11946504721138	0.0155386636572818
LV3003047087	0.0130494315621886	0.0114141519663294	0.00403440912827447	0.00548234951784533	0.0194102077580561	0.017229084031119	-0.0197351506019449	-0.010466967305001	-0.024984903912485	-0.0951061099768738	0.00383436994205795
