sample	MEblack	MEgreen	MEpink	MEyellow	MEred	MEturquoise	MEmagenta	MEblue	MEbrown	MEgrey
LV3003047136	-0.0548393337854217	-0.0343694123346832	0.0482529402774524	0.057597610006091	-0.0479321958188746	-0.0488661439535217	-0.0509024530118002	-0.0399770508317675	-0.00699332343182449	-0.0148605445282917
LV3003047134	-0.0548393337854217	-0.0347480159853668	0.05658373370862	0.107085820514955	-0.0478522191828664	-0.0570282258889637	-0.0660960262153087	-0.104111359461727	-0.0187224207462055	-0.0107981099886146
LV3003047133	-0.0351820289603953	-0.0370072720336633	-0.0165120438933632	-0.022086949676708	-0.0708192407697551	-0.0565009130435645	-0.0341320917992046	-0.0355880922260575	-0.0221171923600607	-0.00879833369504729
LV3003047107	-0.0448260320696868	-0.0354933604813643	0.00103774894381387	-0.0206260417241267	-0.0589583762097866	-0.0507363393904392	-0.0328020502933565	-0.0248893358952857	-0.0113748365025451	-0.00831785615849229
LV3003047093	-0.0548393337854217	-0.0347846965207528	0.0412507281261535	0.0515777250241347	-0.0518107434591223	-0.0592869900131207	-0.032171561429514	-0.0816475602920589	0.00449789898608475	0.00433780586198065
LV3003047106	-0.0548393337854217	-0.0342829938598133	-0.074834018724336	-0.0332149838794178	-0.0773520895674751	-0.0610070798174248	-0.0754782457257977	-0.136972962417358	-0.09374364572894	0.0045771467852307
LV3003047101	-0.0548393337854217	-0.0380076982203977	-0.0336082335416452	-0.0354319204045429	-0.0675040026786357	-0.0564576620128527	-0.0309484171132252	-0.091974910487912	-0.0600117773113562	-0.0117632967860605
LV3003047100	-0.0548393337854217	-0.0327990599387211	0.0530350944507545	0.0189392008107332	-0.0565245608105822	-0.0548785978060979	-0.0119194961079267	-0.0660034997077772	-0.0153247219687074	0.00148355149935158
LV3003047080	-0.0548393337854217	-0.0316401842083919	0.0200222620445379	-0.0149247439391966	-0.0555707593323129	-0.0580690408325961	0.00670304286743679	-0.0412902763758668	-0.0067311989765317	0.0183621755967558
LV3003047091	-0.0548393337854217	-0.0371194732543321	0.0285910497732362	0.00402854605331748	-0.0656909582427887	-0.0580389149160351	-0.0477608105029263	-0.155014292852533	-0.0435197758853879	0.0145781931503004
LV3003047079	-0.0548393337854217	-0.0265637885144904	0.031070263398413	0.0465085274127992	-0.0552496363214137	-0.0582661511669109	-0.104334827126417	-0.161782482166115	-0.0785018025599336	-0.0128765517833459
LV7001898100	-0.0465337698905619	-0.032177784123712	0.0967142804542597	0.144681083949291	0.0599094477479821	-0.0250949557584439	0.17145620904471	-0.0256917524444422	0.0732141578382138	-0.0349141630076428
LV7001898088	-0.0207027703850291	-0.028989615759878	0.111258415136859	0.0989131349928667	0.0744450822767598	0.0655672648126058	0.122991304017162	0.0758866604140307	0.0910730353750254	-0.034832056472778
LV7001898076	-0.0236558220274827	0.238761133920915	0.080378946720009	0.0286065560843736	0.180977246275884	0.247344916218691	0.125112389289899	0.128656075925935	0.120363645170072	-0.0373146021821739
LV7001898064	-0.0515876398405063	0.213641967586536	0.0193810863375493	-0.0496186912047196	0.0493466821303247	0.0197418799100647	0.111566790042495	0.0498835643606606	0.0448996361350837	-0.0216725486215238
LV3003061546	-0.0548393337854217	0.26517195681231	-0.0878238796025121	-0.0560072323562718	-0.0724185115258172	-0.0351689597857446	0.0919357543951987	-0.0433702165692196	-0.0671299344875979	-0.0122914696795492
LV3003061533	-0.0548393337854217	0.288699467967959	-0.0263866182118658	-0.0532115639637328	-0.053596239044628	-0.0265758189154045	0.0818039600544022	0.0194134052531467	-0.00895604157129171	-0.0173694567787839
LV3003061518	-0.0104851142668404	0.0322999111767663	0.0821692811192072	-0.0062989190549184	0.145689050920925	0.17138356080312	0.0785965898658315	0.100959143761173	0.0950696009555378	-0.0337639376193809
LV3003061506	-0.0515266557350564	0.132489055641076	-0.0543255476570072	-0.0533555298763024	-0.052409208316863	-0.0349030678295454	0.0595845942198986	0.00993862484698381	-0.0151312538319655	-0.0309236172915562
LV3003061492	0.00408779659983579	0.146244198985316	0.0857272517898912	-0.00785355502814084	0.188778005365121	0.264606555172491	0.0936880971883075	0.129125828769141	0.137226995333623	-0.0425548890060501
LV3003061477	-0.0237155135876575	0.0294133534481838	0.0915549522394821	0.0018897607096363	0.174153424732308	0.259120625220117	0.0771994839701693	0.121626518027774	0.131397290876443	-0.0478480976957902
LV3003061572	-0.0307206496096962	0.0579080017693778	0.0669620798098161	-0.0288418401170325	0.174435941316689	0.241319866188905	0.0673999427866746	0.124849172689144	0.120891966207014	-0.0338460737088623
LV3003061559	0.167650589454364	-0.0112044240855566	0.039239836938469	-0.0290302450582627	0.0561949641825884	0.033876896598878	0.0482810395507015	0.0635249215447228	0.0477425014548481	-0.024970432061787
LV3003061545	0.281065804689963	-0.01102359267177	0.0258099157433951	-0.0548022285957591	0.0881688112089648	0.081307552636269	0.054824825379759	0.0785423013185503	0.0588094004931726	-0.0287732614750633
LV3003061531	0.275786474918681	-0.00538018598730478	0.0600193965304422	-0.00661737726706048	0.102809773789476	0.0867588160435427	0.0618247104280004	0.0828332191610923	0.0760909156887832	-0.0181139539286416
LV3003061517	0.178840664690313	-0.0213439156051971	0.0793173362605726	0.0530311640833643	0.104113074525613	0.083374044519852	0.0407957100583781	0.0786999658843368	0.0714432471403771	-0.0214373677438403
LV3003061505	0.0377038797797547	-0.0317203474075498	0.00174030751707744	-0.0547129607867691	-0.0241126509842327	-0.0215129907790379	-0.00398812960566444	0.042581823493013	0.0156899637137875	-0.0326245727029688
LV3003061488	0.13971604629775	-0.0162514295211378	0.060855492143537	-0.0283154134375513	0.102631363371146	0.0756163353972454	0.0316747703063846	0.079147035936281	0.0624439133283487	-0.0293666720027245
LV3003061476	0.0509263692150667	-0.0325204673656734	0.0510144840074707	0.000641383748421462	0.0124649006990731	-0.00223279542351254	0.0276013716103186	0.0411059101924652	0.0304036189321283	-0.0252510083077886
LV3003061571	0.0410792156449434	-0.0140347414625595	-0.0567519452600523	-0.0536156551269108	-0.0345416207587314	-0.00875754848582501	0.0392632885631141	0.0410922962430649	0.0097767406684488	-0.0114095322216054
LV3003061558	0.0777174149464909	-0.0318633416391449	0.0492528743957478	-0.0278255935171534	-0.00498275020367782	0.00431571053786658	0.0249952783134761	0.0570025170608952	0.0391981064678331	-0.0287920277014827
LV3003061544	-0.00967094905220962	-0.034883102872007	0.0509489630714197	-0.02784468179589	-0.0236015416012125	-0.0210798134280677	-0.00699850153452227	0.0410433912577831	0.0252664592477365	-0.0298026526628798
LV3003061530	-0.0339824668691349	-0.0380076982203977	0.00737918038518231	-0.0369906183460581	-0.0580219415690659	-0.0528803858233531	0.00408107968637549	0.000650626691436288	-0.026590647892193	-0.025202826988227
LV3003061516	-0.0313018314772365	-0.035961323086307	0.0181440624865827	-0.044643006208954	-0.0670720260564507	-0.0357338259348433	-0.00627878717880895	0.0179010419208114	0.00320614793956046	-0.0331261400475914
LV3003061504	-0.0228985719407026	-0.0371558416654948	-0.00251006707949536	-0.0436628953126619	-0.0466148954536493	-0.039989120501862	1.84815433197332e-05	0.0133136271993776	-0.0101976726548752	-0.0330980801947642
LV3003061486	-0.0511884371595441	-0.0372964487337988	-0.0617015103127391	-0.0535830938636889	-0.0748946326581135	-0.0586090755903774	-0.0617035834872182	-0.0527090359924015	-0.0720206135287101	-0.0223262155666553
LV3003061475	-0.0512843366146668	-0.0322480990092805	0.0375441272501817	-0.0449633476631117	-0.0528394821586438	-0.0445012552828479	-0.00469612638744021	0.00585846543743143	-0.00642449734590374	-0.0152747279902921
LV3003061570	-0.0230222605137615	-0.0372025553670192	0.068903488779763	0.0241614106776716	-0.00744564089704244	-0.0306398452045665	0.016733890321529	0.0371216138472428	0.0309738988035824	-0.0233330176609589
LV3003061557	-0.0391578257024079	-0.0367474687463507	0.073276392867019	0.0712950972440942	0.0159170182172356	-0.03719272739009	-0.0479919078830495	-0.00381050913359284	0.0199261277279769	-0.0255866828494395
LV3003061543	-0.00934232400328882	-0.0305656703314143	0.0829225272875161	0.0837522657903757	0.0882214791626513	0.0386690471844678	0.0194064185520073	0.0759199381425116	0.0767496452868614	-0.0263428710521401
LV3003061529	-0.0420033260684122	-0.00580527091004462	0.0929928151084951	0.100655733073556	0.116755513697668	0.0843438896356019	0.0586076750608232	0.0806989453189988	0.0881298285115767	-0.00830551405431584
