sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	harmonization_mode
LV3003047097	ST8	32.835	4.5833	8.6823690045283	-35.4515256518106	-29.2110102506562	-62.268926065849	60.0619337741895	54.2849613280341	corewise_z
LV3003047098	ST8	29.278	4.69942	8.11841474621133	-41.8186199870347	-83.4772748841926	-58.1077504462951	-19.0935312714445	-0.73617107193084	corewise_z
LV3003047099	ST8	25.058	4.8113	7.73314724352832	-27.1571829279435	-65.790921725319	29.266236531095	82.4034687088557	83.1035107116177	corewise_z
LV3003047100	ST8	86.61175	4.13341	8.5396208419164	-44.1394192440055	82.4416757957541	-59.484315172499	41.3242855010644	-58.1135063261896	corewise_z
LV3003047101	ST8	85.23	3.9753	8.34374151531365	-44.1394192440055	-38.8308565786446	-60.6779048521299	-14.4544613842796	-87.4237074874583	corewise_z
LV3003047104	ST8	83.84125	3.8215875	8.14686985631632	-44.1394192440055	-77.6858408704348	-64.7213235304665	-241.207575997791	-164.32053111148	corewise_z
LV3003047105	ST8	82.4525	3.813575	7.94999819731899	-44.1394192440055	-80.7403653157386	-64.7213235304665	-260.837933158772	-167.87958636763	corewise_z
LV3003047106	ST8	81.06375	3.818725	7.9892783476803	-44.1394192440055	-42.0944463417947	-64.7213235304665	-75.7633372288983	-137.602331538863	corewise_z
LV3003047107	ST8	71.517	4.21483	10.3113102251429	-42.0503213862666	0.269359214801844	-64.7213235304665	53.0693145717585	8.36075126808969	corewise_z
LV3003047110	ST8	49.1548	4.441424	8.86409767812845	-44.1394192440055	-77.8903849043116	-64.7213235304665	-15.5882569567957	-31.9857699633851	corewise_z
LV3003047112	ST8	40.0335	4.54866	8.76480191052874	-41.576532227205	-44.9710434405364	-57.3420011034799	73.7769630219331	68.5722768067278	corewise_z
LV3003047113	ST8	36.48927	4.4548927	9.26174520006947	-18.2851811841141	-66.9968517768571	-2.32035061941782	97.6165828530468	78.8346773305102	corewise_z
LV3003047114	ST8	32.3855	4.59229	8.61110180207863	-44.1394192440055	-36.5826080493049	-64.7213235304665	22.9008588152705	20.4331971177853	corewise_z
LV3003047117	ST8	28.7616666666667	4.73476666666667	8.03655127079825	-39.2364821277113	-49.0515080639221	-58.79153660116	58.1433454782176	52.6497889458699	corewise_z
LV3003047118	ST8	24.528	4.81528	7.70636378673969	29.3181583115004	0.925424098114038	347.843074463358	164.432358187324	125.826840730708	corewise_z
LV3003047122	ST8	76.951	4.07902	8.14654944891421	-44.1394192440055	-83.4772748841926	-64.7213235304665	-261.465683392212	-142.525373791005	corewise_z
LV3003047123	ST8	75.589	4.01479	7.91867251010661	-44.1394192440055	-83.4772748841926	-64.7213235304665	-314.336048309368	-164.512964654652	corewise_z
LV3003047124	ST8	74.227	4.01184	8.74840765343023	-41.7824494471502	-83.4772748841926	-64.7213235304665	-257.997518778096	-145.899509407286	corewise_z
LV3003047125	ST8	72.872	4.22744	9.79667019017442	-44.1394192440055	-45.8343758865475	-64.7213235304665	-100.44539737169	-142.796793206778	corewise_z
