sample	MEblue	MEbrown	MEgreen	MEgrey	MEturquoise	MEyellow
LV7008867115	-0.828271703197185	1.40251532577695	8.05974141148277	5.36123293213267	6.81602609941661	2.33726222358537
LV7008867188	9.36520639558123	5.60630114688045	11.4538366394084	24.7711984688155	10.9813580802152	5.31960907796457
LV7008867152	-3.95135572650055	1.41169391651955	-3.73246891760301	-11.6231777339869	-9.0229932631994	-11.238403072933
LV7008867128	-4.22199483873379	2.90178430005471	-2.03317492878142	-11.6740875877824	-10.8972841006809	-10.8266868776293
LV7008867369	-4.22199483873379	0.732392315327388	-2.92724529832684	-12.9294356038092	-12.5982308178359	-11.475204116771
LV7008867345	-4.22199483873379	1.247419578151	-2.76908859595861	-13.2387340678672	-13.509868826439	-12.2352289336061
LV7008867321	-4.22199483873379	-2.64744342362718	-5.63292458983592	-15.5709452572479	-27.1874749955489	-12.5789100509953
LV7008867382	-4.22199483873379	-2.62648455897468	-3.31957445185829	-13.7064731555328	-11.9058927045402	-9.52738659529616
LV7008867358	-4.22199483873379	-2.60236348980557	-5.63292458983592	-15.7863059874232	-29.4282993759547	-13.4572192931288
LV7008867334	-3.07147687348141	14.5999863449046	-4.7682882349186	-12.1247682278463	-13.5885875835925	-7.06355713349275
LV7008867310	-2.11103222283608	1.22858039096146	3.81711009315199	0.0851700917233114	4.72652762295223	3.53086987379324
LV7008867383	0.82403416206828	6.40840306364658	9.02013417052046	3.61970044189122	4.42476401561197	3.12028864834382
LV7008867323	-3.0095215252408	1.05109787743456	3.67524890428509	-7.65873800646934	0.526150764120427	-3.82096655934132
LV7008867396	-3.88095810347699	4.42908217801237	5.28252678754916	-5.37919131094854	3.18815913051312	-1.10212165867767
LV7008867360	-4.06719094488016	5.21012712056609	1.81817185071871	-10.3139286310597	-2.41500998727519	-6.05891777337384
LV7008867336	-2.47489217883268	8.56402127579138	6.8737633548314	-0.827091071854359	2.51607146772437	-2.2904370794567
LV7008867312	-4.22199483873379	2.23308548582631	1.59057318144446	-10.7374730860633	-3.60931351566244	-7.73024489924579
LV7008867385	-4.10329811061697	-0.194449660200002	-0.427096221574823	-12.1290480112206	-7.87128442324617	-8.5024710132257
LV7008867361	-4.22199483873379	-1.50819810504945	-4.17657184604066	-13.8884081826671	-16.7735533152813	-11.3310712257902
LV7008867325	-4.22199483873379	1.42916504328184	-3.48520300179857	-14.0252195748232	-13.0791641523144	-10.4475933350873
LV7008867398	-4.22199483873379	-0.351374462688319	-5.05850086420997	-14.6120454456124	-17.7435996300477	-12.5174075574642
LV7008867374	-4.22199483873379	-2.5379558381713	-5.1976983898099	-15.4374304793167	-23.6666801384584	-13.2443220771629
LV7008867350	-4.22199483873379	-1.93970450633986	-5.63292458983592	-15.8910540238709	-28.6530383018341	-13.4572192931288
LV7008867326	-4.06305296048891	-1.65658249509084	-3.56592333124265	-14.0657386317643	-15.9836603639417	-12.2741479903888
LV7008886726	-2.68048787618714	-3.0253069097154	9.59391882235769	-5.99641506144692	6.80983556434263	-2.07062341040082
LV7008886702	-1.76859167119998	24.1459551464937	-3.06739231235927	0.688920466028434	7.93100926241916	3.74289375671565
LV7008886763	-4.22199483873379	17.6805950084004	-5.63292458983592	-10.116113163617	-8.35038130240579	-7.40780090676328
LV7008886739	35.6449685090907	8.10908121744158	3.41138516926891	38.3906432994305	14.6692863996591	10.3116857406433
LV7008886715	2.68681113048012	-2.07032691180859	-2.57711168631103	18.2865200915112	8.73411139298659	6.78075163566872
LV7008886226	-3.19792989169482	-1.80970276052808	-4.65844914320086	-5.82532239387264	1.94212394767936	-1.44784482918996
LV7008886752	-3.90021484196772	-3.0253069097154	-4.36885560582548	-3.93805296296476	4.16902628631196	2.47284548831955
LV7008886728	-4.00813938712067	-3.0253069097154	-5.05195891333875	-4.4490124940509	2.31533008340232	0.891353147810757
LV7008886704	-4.05193440507567	-3.0253069097154	-2.96941676690842	-9.11930641370345	0.958389453568105	-2.16704367387426
LV7008886753	-3.88900278395543	-2.83757581372318	-2.96956794619442	-9.99011297715775	-4.04093541221574	-7.3106880483591
LV7008886717	-4.06644800329702	-2.84730995633074	-0.998234178810801	-8.29231311195333	0.0696151645585819	-6.38978523847573
LV7008886229	-1.50499387481025	-2.08214234106847	12.3235635303683	16.54991980661	11.3036011679691	5.78156499549582
LV7008886766	1.33368697244917	-1.97943655164872	13.5187883283401	18.3051945752738	10.8241079286483	4.87335939930421
LV7008886742	2.18142104387591	-1.84619738351179	10.1959367866155	23.0321428847116	12.3947196135739	6.52555183945845
LV7008886718	-3.3088693512581	-2.46600155650434	6.91868096320091	5.75516580802092	7.06182510377934	3.20024350346511
LV7008886755	-4.22199483873379	-3.0253069097154	8.50049260746831	-2.66741689352162	5.56559375558009	-1.75015624207172
LV7008886731	-4.22199483873379	-2.83587637092354	-3.35853621173007	-7.73682433044424	0.634686484854068	-7.59773235145723
LV7008886707	-4.22199483873379	-3.0253069097154	1.26656517742385	-5.23094563901129	3.40643164991844	-4.0167840736415
LV7008886780	-2.98428296692846	-2.44291001160904	9.57343655915503	8.49311453505322	9.83768247215922	4.96695442198593
