sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	core_ord	state_inferred	state	harmonization_mode
LV3003047083	ST8	37.30319	4.4448405	9.1756505076159	1.39046789237441	28.8425483789721	-101.308084771802	1	1	1	corewise_z
LV3003047068	ST8	37.78969	4.4205155	9.10244349358346	-3.69411390233524	13.8774388989125	-111.428996511243	1	1	1	corewise_z
LV3003047166	ST8	38.27343	4.4482802	9.0296517958074	31.1156029858443	52.1190331182916	-95.9436981017418	1	1	1	corewise_z
LV3003047153	ST8	38.71393	4.5099502	8.96336671938132	36.336190972649	58.759854163548	-92.646386534422	1	1	1	corewise_z
LV3003047141	ST8	39.15347	4.55	8.89722610078355	-381.835540042096	-85.2620708781212	94.8165983849299	1	2	2	corewise_z
LV3003047128	ST8	39.57797	4.55	8.83334865482924	5.48992470184871	3.61627627259809	-120.530454372225	1	1	1	corewise_z
LV3003047112	ST8	40.0335	4.54866	8.76480191052874	29.5337960627382	43.8730884989507	-109.432155350082	1	1	1	corewise_z
LV3003047095	ST8	40.9751666666667	4.51099333333333	8.62310282547109	-11.9961938922286	38.0130015616151	-70.0482651843083	1	1	1	corewise_z
LV3003047082	ST8	41.9168333333333	4.50083166666667	8.48140374041344	-48.9729647092797	20.3086317076333	-69.3761857254812	1	1	1	corewise_z
LV3003047067	ST8	42.86602	4.4653592	8.33857306903406	54.6856720075345	57.2486233484923	-72.5570444818295	1	1	1	corewise_z
LV3003047164	ST8	43.93302	4.4786604	8.37946113303367	-59.4916133477995	12.8860198427146	-81.3550661427635	1	1	1	corewise_z
LV3003047152	ST8	45.00002	4.3300006	8.47849004532337	16.7787607842457	58.6382120593543	-74.0874915043693	1	1	1	corewise_z
LV3003047140	ST8	46.0948	4.361896	8.58009723613548	-290.537866230244	-57.7154597163058	43.2353606209324	1	2	2	corewise_z
LV3003047127	ST8	47.6248	4.423736	8.72209745713196	-201.376243931115	-27.9381178410394	0.952260730771201	1	2	2	corewise_z
LV3003047110	ST8	49.1548	4.441424	8.86409767812845	-92.4109414679414	3.14496130473737	-65.906570617546	1	1	1	corewise_z
LV3003047094	ST8	50.6848	4.333152	8.71916462667657	-17.035983880765	60.2400973659664	-40.3324708614706	1	1	1	corewise_z
LV3003047081	ST8	52.20718	4.3369334	7.53394237030326	0.842562986799801	35.6248134809132	-76.8645295079928	1	1	1	corewise_z
LV3003047065	ST8	53.61018	4.4033892	6.44166131978254	-187.745990020231	-48.1971603992028	0.814714667567884	1	2	2	corewise_z
LV3003047161	ST8	54.98346	4.3111578	6.47543092855096	-381.403438848118	-86.5034014832053	92.6025387325062	1	2	2	corewise_z
LV3003047160	ST8	55.8911266666667	4.34564506666667	6.67190717786631	-393.116805250224	-89.7563268548496	99.624273703389	1	2	2	corewise_z
LV3003047159	ST8	56.7987933333333	4.41390346666667	6.86838342718166	-68.8957535937188	31.6209783374843	-33.6989771870773	1	1	1	corewise_z
LV3003047158	ST8	57.70646	4.4723876	7.06485967649701	-77.0639582872096	-6.25200755961474	-77.2274676245577	1	1	1	corewise_z
LV3003047139	ST8	58.6141266666667	4.4531524	8.62798528680874	-78.4903097859029	-4.74732467242762	-83.069376726874	1	1	1	corewise_z
LV3003047150	ST8	59.5217933333333	4.51870486666667	8.44254713374637	18.805997741506	9.37903570034777	-117.331697671583	1	1	1	corewise_z
LV3003047149	ST8	60.4317	4.561147	7.85555370343168	-81.3438990964071	8.65573042708053	-58.819771951404	1	1	1	corewise_z
LV3003047148	ST8	61.3767	4.543903	7.88451611411687	-50.2378834890165	9.72917598641561	-84.123509948069	1	1	1	corewise_z
LV3003047147	ST8	62.3217	4.577481	7.91347852480206	-34.7252983484431	8.81453056753291	-97.2775723073323	1	1	1	corewise_z
LV3003047146	ST8	63.2667	4.484661	7.94244093548725	45.3429904654454	23.1643408217106	-113.362220503435	1	1	1	corewise_z
LV3003047126	ST8	64.210824	4.38529888	7.97137649847746	-70.4972365334645	11.6531681464714	-71.4284147142464	1	1	1	corewise_z
