sample	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	nondmg_total_reads	nondmg_n_taxa	core	age_kyr	state	state_label
LV3003047073	-6.41217350705413	-13.8155105579643	0	-11.6334581791695	-1.72412621725714	-1.33831792300335	ko	34	26	12	21	0.781901121933177	0.361607693256072	0.609296017753668	8111	34	ST8	101.685	2	IG-E
LV3003047074	52.8455371130175	-13.8155105579643	0	-11.9294345980313	-2.43575212052071	-0.849287647488015	ko	27	25	13	21	0.977578001057642	0.599048122686409	0.810153358011634	9455	27	ST8	100.672	2	IG-E
LV3003047077	-86.3200745716176	-13.8155105579643	0	-10.4941231188189	-1.93548865613016	-0.952469379285824	ko	69	62	32	48	0.950091312999155	0.491700057240985	0.796753618447952	73374	69	ST8	99.7145	2	IG-E
LV3003047078	-57.4099912304695	-13.8155105579643	0	-10.4756782868591	-2.0598224292898	-0.829544443756049	ko	61	49	24	39	0.861208817764412	0.563327336680719	0.748355395644819	37243	61	ST8	98.757	2	IG-E
LV3003047079	-28.9844518773743	-13.8155105579643	0	-3.90433923977676	-2.34803920784835	-0.805118139216298	ko	93	86	43	66	0.98275140547028	0.584916461373255	0.832081833112248	253296	93	ST8	97.52	1	IG-D
LV3003047080	-166.939032514962	-13.8155105579643	0	-8.7594283523678	-1.21728995023885	-0.812825804807206	ko	85	77	35	54	0.987920477054128	0.488935226604192	0.753455892335595	287263	85	ST8	87.9935	1	IG-D
LV3003047081	-74.7593895930648	-13.8155105579643	6.73059855214116	-2.2016570037965	-1.42441363398264	-0.555238305563432	ko	156	134	84	109	0.957961045114563	0.593892780992994	0.83605780620706	236376	156	ST8	52.20718	4	IG-B
LV3003047082	-84.2214744582793	-13.8155105579643	6.59419403071875	-1.86561392128728	-1.14314469202738	-0.532274538964526	ko	257	226	146	180	0.976286112560862	0.610033891138756	0.862689687976904	605468	257	ST8	41.9168333333333	4	IG-B
LV3003047083	25.5779127224612	-13.8155105579643	5.99638705948346	-3.72097424637725	-1.56325063597111	-0.47532039629211	ko	199	184	105	138	0.988062213829157	0.693779663891233	0.899043846554854	477643	199	ST8	37.30319	4	IG-B
LV3003047084	-71.9585879446482	-13.8155105579643	6.84067340108979	-2.38098564403356	-1.33860281222763	-0.569996408678166	ko	277	240	162	192	0.974350344960216	0.573467310912923	0.808825532665048	623985	277	ST8	33.276	5	G-A
LV3003047085	-139.753828757871	-13.8155105579643	5.85169664201768	-2.19847078425453	-1.0109691042763	-0.606375561076108	ko	279	236	155	190	0.954494018752021	0.575822984740795	0.861845627090257	754692	279	ST8	29.703	5	G-A
