taxon	n_samples_non_damaged	total_reads_non_damaged	has_comp	has_ko	oap_v3	n_classes	dominant_class	o2_eff	so4_eff	ch4_eff	no3_eff	has_oap	light_filter_rule
S__GCA_015492195.1	38	144543	TRUE	TRUE	380.9	4	O2	1	1	0	1	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015492395.1	1	119	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015492755.1	7	1888	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015492775.1	2	374	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015492965.1	1	960	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015493625.1	1	110	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015494005.1	2	215	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015494165.1	1	114	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015494295.1	1	112	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015520145.1	3	755	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015554585.1	2	586	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015654675.1	1	111	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015654725.1	2	316	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015656075.1	1	252	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015658215.1	12	6275	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015658265.1	4	5229	TRUE	TRUE	405.2	2	O2	1	0.666666666666667	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015658865.1	16	7183	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015659125.1	4	1970	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015659205.1	8	2877	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015659285.1	54	66478	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015659305.1	13	5258	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015659495.1	1	131	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015659505.1	17	5913	TRUE	TRUE	506	3	O2	1	0.333333333333333	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015659555.1	1	101	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015660085.1	1	166	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015660335.1	19	6515	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015660425.1	6	800	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015660505.1	3	356	TRUE	TRUE	506	3	O2	1	0.333333333333333	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015660645.1	14	2170	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015660665.1	1	534	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015661045.1	1	103	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015661085.1	1	132	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015661095.1	1	161	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015661155.1	86	65881	TRUE	TRUE	8.16216216216216	3	NO3	0	0.333333333333333	0.4	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015661985.1	33	13873	TRUE	TRUE	-224.714285714286	2	CH4	0	1	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015662515.1	1	178	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015663575.1	15	3008	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015664755.1	8	1290	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015664815.1	1	104	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015665265.1	11	5679	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015665385.1	1	135	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015665415.1	1	1334	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015665495.1	3	966	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015698285.1	1	147	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015709595.1	6	3709	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015767355.1	5	726	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015767395.1	22	4436	TRUE	TRUE	666.666666666667	2	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015767405.1	12	4213	TRUE	TRUE	360	1	NO3	0	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016124315.1	1	158	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016124535.1	1	113	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016124895.1	4	629	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016125255.1	1	172	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016125275.1	8	3713	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016125285.1	10	7341	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016125975.1	2	1243	TRUE	TRUE	66.5	2	ANX	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016132425.1	2	310	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016132445.1	2	517	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016176745.1	7	1077	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016176815.1	1	147	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016176845.1	2	410	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016176915.1	17	4041	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016177405.1	1	202	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016177465.1	12	3216	TRUE	TRUE	712.727272727273	3	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016177515.1	17	5166	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016177575.1	2	202	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016177705.1	1	181	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016177915.1	11	5733	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016177925.1	6	1104	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016178045.1	144	256899	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016178075.1	17	8856	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016178155.1	5	826	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016178425.1	1	125	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016178705.1	2	249	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016178855.1	1	273	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016178915.1	3	1132	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016178945.1	19	7448	TRUE	TRUE	506	3	O2	1	0.333333333333333	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016179005.1	2	557	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016179015.1	2	221	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016179185.1	1	108	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016179225.1	14	3241	TRUE	TRUE	518.6	3	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016179765.1	17	5355	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016179845.1	8	1589	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016179925.1	3	552	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016179965.1	2	229	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016180235.1	15	2030	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016180285.1	2	242	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016180525.1	1	102	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016180575.1	28	12482	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016180805.1	84	57228	TRUE	TRUE	569.692307692308	4	O2	1	0.333333333333333	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016181505.1	1	121	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016181885.1	1	104	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016182605.1	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016182745.1	52	37280	TRUE	TRUE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016182905.1	24	8374	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016183025.1	1	123	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016183075.1	18	6091	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016183145.1	25	13045	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016183425.1	3	422	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016183485.1	60	52631	TRUE	TRUE	666.666666666667	2	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016183575.1	2	238	TRUE	TRUE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016183675.1	24	9091	TRUE	TRUE	-217	1	SO4	0	0.666666666666667	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016183945.1	1	193	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016184105.1	2	257	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016184145.1	34	6848	TRUE	FALSE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016184235.1	12	4974	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016184445.1	20	10596	TRUE	TRUE	356	2	NO3	0	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016184455.1	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016185365.1	2	288	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016185395.1	9	1276	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016185465.1	1	126	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016185915.1	8	1131	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016185945.1	8	970	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016185955.1	25	5287	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016187325.1	15	13339	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016187465.1	4	499	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016187495.1	32	6161	TRUE	FALSE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016187725.1	30	9816	TRUE	TRUE	506	3	O2	1	0.333333333333333	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016187975.1	1	113	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016188045.1	2	392	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016188245.1	1	142	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_016188625.1	27	7636	TRUE	TRUE	518.6	3	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
