sample	MEbrown	MEgreenyellow	MEblue	MEgreen	MEred	MEtan	MEmagenta	MEpurple	MEpink	MEyellow	MEblack	MEturquoise	MEgrey
LV3003047097	0.0201827231644453	-0.0293079712359777	-0.0455578311639258	-0.0567009677123663	0.0416119505856073	-0.0298023329839111	-0.0332943278271456	-0.0459579252263901	-0.0375313406096288	-0.0374924464978147	0.0269694790850467	-0.0353083054866026	-0.0474878399591126
LV3003047084	0.0152850207571582	0.027886432100045	-0.0465384149225751	0.00678154281685861	0.0196638590161707	-0.077577079213279	0.0333476260989777	0.00461739562908247	-0.0533986836280399	-0.0567628865139378	-0.0348641475039946	-0.0522234574038387	-0.0602168386817061
LV3003047069	0.0464340647951017	-0.031944896097689	-0.0219098150597754	-0.0228487194706482	0.026964243206131	-0.0508848224697492	-0.0463282609023974	-0.0236574590058718	-0.0114685092841978	-0.014736949614898	-0.00770152811099227	-0.0136871459852829	-0.0203680164785935
LV3003047167	-0.00939370268772139	-0.0696453663540573	-0.0258355405868788	-0.0546141587607798	0.00200890211842229	-0.00946637322117154	-0.0559673965305012	-0.0289665181540532	-0.0134035901919492	-0.0190118309796118	-0.00473589986708687	-0.0125628219412738	-0.0338681371431476
LV3003047154	-0.00552691588873633	-0.0499775307072335	-0.068132863364747	-0.0765666011954127	-0.0487129999294156	-0.0768217391559472	-0.0552463168115822	-0.0620965117829066	-0.0547212443230921	-0.0497988215739797	-0.0593624897667206	-0.0628662447298864	-0.0802392143848986
LV3003047142	-0.0183813653123422	-0.0743927699600949	-0.0395049176844157	-0.0620405815996863	0.0250453007705697	0.0573857979508686	-0.0695010611733805	-0.0458530369281125	-0.032449237363873	-0.0308390016456548	-0.0184577467369729	-0.0307177676653528	-0.0558700796620921
LV3003047129	-0.00852404261604345	-0.0878235493984364	-0.0461709636459021	-0.0585869525382716	0.0397221031488461	0.0397973137402242	-0.0882772889472401	-0.0692809207405073	-0.0586643260785604	-0.0475827712136658	-0.0052222493605488	-0.0569886765627054	-0.0689219674904663
LV3003047113	0.0668991230950022	0.0150330957177641	0.0206983279854626	0.022831744445689	0.0932624564944093	0.0472000676949781	-0.0543196283951728	-0.0206173925887055	-0.010907182678287	-0.00579053418607406	0.0925635780183172	-0.00118797607384488	0.000462907252010579
LV3003047096	0.00949477801701661	-0.0515767978162486	-0.0292770206932048	-0.0559339483533374	0.060541087903668	-0.00937710990991875	-0.0811643905284871	-0.0604058602261739	-0.0485191478964021	-0.0417012677533213	0.0501203493786974	-0.0456295842637038	-0.0506807009584699
LV3003047083	0.0282411284104306	-0.038159326566432	-0.0382091219004334	-0.04501737858289	0.000127748227759292	-0.0558576892977643	-0.0438080366780287	-0.0411257813025468	-0.026865359370379	-0.0313496925766559	-0.0177851083219445	-0.0307568661395927	-0.0426957862915639
LV3003047068	0.0404215521011396	-0.0308774101358558	-0.0232292055006987	-0.0399944529356316	0.00467411501754352	-0.0543358966543337	-0.0576919511342228	-0.031118316980246	-0.0115013893163117	-0.0216816874850771	-0.0134436903421726	-0.0197319838227622	-0.0258067608445975
LV3003047166	0.0257703594870852	-0.00883936317318334	-0.0340177103294884	-0.0515622686690451	0.0487462990263327	-0.0222713778858568	-0.027647200648215	-0.0508102807194635	-0.0378205049965515	-0.0383313368589819	-0.0126873977039639	-0.035073521631176	-0.0465826126212566
LV3003047153	0.0224878675314384	-0.0191807788812007	-0.0413543992284805	-0.0544574054889611	0.0505121453226895	-0.0187148469121469	-0.0496647922571812	-0.0517151905108058	-0.0437775720477263	-0.04182737762675	-0.0200460563437157	-0.0418299741021647	-0.0498798359514362
LV3003047141	-0.0525525707878386	0.0195389485172034	0.125423083314466	0.0744022359993214	0.0215388804292141	0.0926823141428236	0.0735890378560821	0.132686457540175	0.168097899586718	0.12587496112926	0.163755521364968	0.173011379828253	0.179813276852418
LV3003047128	0.0664431587429634	-0.00285777394576566	0.0270554009753973	0.00220525912390994	0.10906151244847	0.112095810312746	-0.0345679864256021	0.00224543342207911	0.0168937994037526	0.00986776478072003	0.0672109009427411	0.0332251281417573	0.0197366835477386
LV3003047112	0.0237227904740592	-0.0329352253650274	-0.0459342978228823	-0.0257549554995023	0.0215024826872667	-0.0524824521869548	-0.0619474421431908	-0.0573697752915991	-0.0452019945496138	-0.0452899516054404	-0.0515226395032603	-0.0477373328670989	-0.0600725746243895
LV3003047095	-0.0247560271476318	-0.0592668752393312	-0.0802010361777683	-0.0886213508372648	-0.0757485865965519	-0.0971131615368651	-0.0598383936986818	-0.0787798970708323	-0.0692131000205622	-0.0641489609898883	-0.0759969671475569	-0.0774985614928431	-0.0901156377969738
LV3003047082	0.0594045441427098	-0.0393073507061832	0.00545829319273548	-0.0274055277545074	0.00208033772935183	-0.0208718149652154	-0.0065204032233075	0.00616669911331796	0.0247417058644049	0.0133595355352211	0.0191479295085214	0.026274469433071	0.0255068800996562
LV3003047067	0.0400328431063916	0.0374861003012338	-0.0308123755748522	0.0061611813284438	0.0574353076272085	-0.0200822665515955	-0.0138052449459379	-0.0411432180051401	-0.0311952638047666	-0.0266718723830841	-0.0186373208027487	-0.0297200396946124	-0.0280822525409047
LV3003047164	-0.0351431571653858	-0.112357972206634	-0.0760794441371498	-0.0939071031428123	-0.0560972271490199	-0.0430275826600434	-0.0902969144056914	-0.0718008917993919	-0.0551711816839197	-0.05718254740891	-0.0546941381976162	-0.0701892749415566	-0.0853610933157808
