sample	MEpurple	MEmagenta	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV3003047164	-0.030144775975999	-0.0405684049332476	-0.059489226896837	-0.0302674855119402	0.0139952026856053	-0.00175792686686617	0.0513851609623757	-0.0607116061711033	-0.0314757247952568	-0.0379665051982334	-0.0260750058531351
LV3003047152	-0.030144775975999	-0.0263182686370112	-0.00541171835500186	-0.0267719112827726	0.0035639586824167	0.0602268106819338	0.056560140150843	-0.0552633991163056	-0.0326141806864617	-0.0288396351083727	-0.0265249795528161
LV3003047140	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.033710323713843	-0.044320781287413	-0.09942711483692	-0.112847588736914	-0.0653174018529304	-0.0382562334269976	-0.0678420104071401	-0.0342165004426363
LV3003047127	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0245152792201726	-0.0447792662954854	-0.102762565328579	-0.0176340359839656	-0.0653174018529304	-0.0350728814959426	-0.0694782653328122	-0.0187680486023258
LV3003047110	-0.030144775975999	-0.0339817064903862	-0.0624576248620107	-0.0317965044015697	-0.0283326713045889	-0.0309464976764436	0.0516300342587203	-0.0581519086148947	-0.0371823460329114	-0.0553940735733684	-0.0270377764073261
LV3003047094	-0.030144775975999	-0.0341905484473986	0.0194637596427199	-0.027813670774503	-0.0248277319861522	0.00232546001034487	0.0616619490743531	-0.0426359652458031	-0.0350199041617958	-0.0551145037765784	-0.016943411231908
LV3003047081	-0.0272843309662586	-0.0405684049332476	-0.020840457246379	-0.0231891600478709	0.0049044777120052	0.0500899666961602	0.0449561136900758	-0.0230211616436695	-0.0190406015171772	-0.00339712360819756	-0.0237152595344796
LV3003047065	-0.030144775975999	-0.0352811609937587	-0.0636178373912041	-0.00659702606369408	-0.0494790801280516	-0.0526685749813972	-0.04993413358329	-0.0571944928397836	-0.0264086076397967	-0.060334781142555	-0.0215290332694249
LV3003047161	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.033710323713843	-0.0494790801280517	-0.125464047944783	-0.183958863147636	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.031900134195667
LV3003047160	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0327290346453863	-0.0494790801280516	-0.128514374745165	-0.188505255793329	-0.0653174018529304	-0.0382562334269976	-0.066954973804595	-0.0285251354283383
LV3003047159	-0.023065114456975	-0.0405684049332476	-0.0129148086455189	-0.0280810420712445	-0.045861134964116	-0.0199242541608348	0.0430586240311383	-0.0555733008475033	-0.0371670548698831	-0.0612906859117935	-0.0313652732911866
LV3003047158	-0.0269844224108415	-0.0405684049332476	-0.0657348083040331	-0.0247768218503344	-0.0431172136228481	0.0397437198872572	-0.00824979348587815	-0.0629165574350672	-0.0255709342913268	0.00205861554116791	-0.032768882438371
LV3003047139	-0.027085207721267	-0.0405684049332476	-0.0681112431384553	-0.027793883618774	-0.046682041410081	0.051635871036051	0.000277925600866611	-0.0599775342803124	-0.0302077490683057	-0.000879660965211301	-0.0318008971252512
LV3003047150	-0.0199879372131091	-0.0405684049332476	-0.0555510763195372	-0.0196615585789655	-0.0372596148481822	0.0822360105473636	0.0353762683753146	-0.01999653683559	-0.0125123248940569	0.0507132639994455	-0.0284561122797585
LV3003047149	-0.0259860290393678	-0.0405684049332476	-0.0463305496175817	-0.0198264031233873	-0.0431828400348006	-0.00779007333040592	0.0333464910748387	-0.0628569564969599	-0.0282768765233573	-0.0517610713614094	-0.0278143923448667
LV3003047148	-0.0263920508033861	-0.0405684049332476	-0.0584585235662525	-0.016757198089162	-0.0494790801280517	0.0197568662108661	0.0379391659094893	-0.0635682057371079	-0.029931723717813	-0.0359882942984887	-0.0162879523261873
LV3003047147	-0.030144775975999	-0.0405684049332476	-0.0593029034624612	-0.0232160985599091	-0.0446404063816571	0.0514767828746055	0.0269187365567118	-0.0485695031840288	-0.0279098168439693	-0.0106284993605751	-0.0252988465621497
LV3003047146	-0.0276999132619242	-0.0405684049332476	-0.04362262799167	-0.0174922447790845	-0.0246881965599982	0.0712474303095839	0.0394349017498281	0.0159843105727703	-0.0131091915820399	0.0665911808731395	-0.0226929736508546
LV3003047126	-0.030144775975999	-0.0405684049332476	-0.0519199209360852	-0.0319375797848109	-0.0425293270181991	-0.00691106142113801	0.047532692019164	-0.0628289888571142	-0.0349768208821874	-0.0422771933133062	-0.0288171631651494
LV3003047138	-0.0184800301763359	0.0231128308813031	0.0706035617872141	-0.0286383603473573	-0.0454715307303296	-0.0299225757118282	0.0436217655280967	-0.0570461231435226	-0.0335818145872633	-0.0626495146181216	-0.0187110887815449
LV3003047137	-0.0273896166893682	-0.0405684049332476	-0.063159723610974	-0.0201833311664007	-0.0271224882227539	-0.0210636217187198	-0.0210779607058926	-0.0630416076378859	-0.0339187716761341	-0.0380311540919771	-0.0164121129930302
LV3003047136	-0.0173010085246612	0.123019693143689	0.112410141223465	-0.0296189306152531	-0.0494790801280516	0.0127544917232631	0.0436427180303549	-0.0356725819960902	-0.0337155473318126	-0.0490150949012145	-0.0211467548401744
LV3003047134	0.0752111721328809	0.164801128257442	0.137451814458374	-0.0299245405726368	-0.0494790801280516	-0.0470533188224923	0.0103518209482703	-0.0333042310216416	-0.0362157312471677	-0.0648864169291462	-0.0151538533659463
LV3003047133	-0.0259090545811385	-0.0405684049332476	0.00582081731299257	-0.0325752904561044	-0.0259642771106616	-0.00294808742597026	0.0573103715104491	-0.0608736223851423	-0.0356255834517104	-0.0614779535169627	-0.00969805957081479
LV3003047107	-0.030144775975999	-0.0130532273309328	0.0116713938524783	-0.0274422274673612	-0.039527104697056	0.0254911282815364	0.0620856775733022	-0.0531466482213257	-0.0374006366051262	-0.0518304213068697	-0.0130299400378043
LV3003047125	-0.030144775975999	-0.0405684049332476	-0.0236986007481057	-0.033710323713843	-0.0494790801280516	-0.111641611498997	-0.0190215101446833	-0.0634837932460113	-0.0382562334269976	-0.0682484705718824	-0.0226095612622529
LV3003047124	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0270420852018848	-0.0494790801280516	-0.115809924794015	-0.122121041008456	-0.0626393460543345	-0.0327603349743095	-0.0638331428193773	-0.0189902625717362
LV3003047123	-0.026438146863384	-0.0405684049332476	-0.0681112431384553	-0.0311208419128152	-0.0494790801280516	-0.118672305611821	-0.149665290101627	-0.0653174018529304	-0.035524829261963	-0.0668513537111931	-0.0276466533552244
LV3003047122	-0.0262027337665651	-0.0405684049332476	-0.0681112431384553	-0.0309178285035491	-0.0494790801280516	-0.105790545558245	-0.119946562522577	-0.0653174018529304	-0.0382562334269976	-0.0678165734840286	-0.0235647059840325
LV3003047093	-0.0262860591807481	0.0719688990945926	0.129521533681648	-0.0300037050153394	-0.0494790801280516	-0.0384532602942135	0.0346397369778974	-0.0408102122047735	-0.0382562334269976	-0.0674708723658924	-0.00161402813623972
LV3003047106	-0.030144775975999	-0.0405684049332476	-0.0217295848582208	-0.0311497090612848	-0.0494790801280516	-0.11585637474946	0.00141613374174374	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	0.00541598801156137
LV3003047105	-0.030144775975999	-0.0405684049332476	-0.0650516345327245	-0.0327776487159148	-0.0494790801280516	-0.128514374745165	-0.118982913197856	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.0222121354282886
LV3003047104	-0.030144775975999	-0.0304336962717027	-0.0571324940297085	-0.0328723053022311	-0.0494790801280516	-0.128514374745165	-0.108066321417438	-0.062753713738719	-0.0365888641338002	-0.0694782653328122	-0.0198333900709006
LV3003047101	-0.0151272389878108	-0.032702820053221	-0.0194668292919031	-0.0326772049361765	-0.0494790801280516	-0.0581757783697432	0.0274630063504267	-0.0555564969377185	-0.0350762751588984	-0.0614418540105948	-0.0182011186328623
LV3003047100	-0.025387911861672	-0.00698270302167677	0.102781528821479	-0.0260965183795206	-0.0494790801280516	-0.0340084049099148	0.0421336865596211	-0.041311582230651	-0.0332943134679585	-0.0618481592679206	-0.0080637251648713
LV3003047080	-0.030144775975999	-0.0226010189641115	0.0436756683785814	-0.0239075597251089	-0.0494790801280516	-0.0184329656294589	0.0562677254241564	-0.053464227192545	-0.0363232036292639	-0.0578343150082224	0.0137473359101043
LV3003047091	-0.019859025157909	-0.00300688713084335	0.0666425420635392	-0.030875677497666	-0.0494790801280516	-0.087053929691019	-0.00018763670834155	-0.0574338800427687	-0.0344047759706267	-0.0659109014010701	0.00656707004100381
LV3003047090	-0.030144775975999	-0.0405684049332476	-0.0482154901132415	-0.0305086963728109	-0.0407915877611024	-0.122521418597914	-0.103205054199658	-0.0653174018529304	-0.0382562334269976	-0.0667412443863449	-0.00507536378540785
LV3003047089	0.0512942281286998	-0.0200268137857038	0.0190614503599607	-0.0311374347679526	-0.0494790801280516	-0.124808440904878	-0.121215536214475	-0.0503060336648716	-0.0345022704508581	-0.0694782653328122	-0.0155654127583405
LV3003047088	-0.0217756989041083	-0.0405684049332476	-0.0242281075808436	-0.0327229404021149	-0.0494790801280516	-0.128514374745165	-0.139747405013208	-0.061760848793916	-0.0382562334269976	-0.0694782653328122	-0.0228436392683782
