taxon	brown	green	blue	turquoise	yellow	grey	assigned_module	assigned_kME	max_bio_kME	max_bio_module	next_best_bio_kME	setting_id	module_type	assigned_is_max_kME	kME_margin	weak_assigned_kME	negative_assigned_kME	strong_hub	grey_rescuable	magenta	pink	red	black
S__GCF_002831625.1	0.362440236163718	-0.0465457233609543	0.625125717199984	0.605469441733221	0.119332622722306	-0.0146050798399401	turquoise	0.605469441733221	0.625125717199984	blue	0.625125717199984	exp3	biological	FALSE	-0.0196562754667633	FALSE	FALSE	FALSE	FALSE		-0.0203175637931569	0.435819141486412	0.5530452913833
S__GCF_002831685.1	0.423015149469223	0.081385548403152	0.453613773945128	0.300865001335644	-0.0306892743349765	-0.0707770314367252	grey	-0.0707770314367252	0.453613773945128	blue	0.453613773945128	exp3	technical	FALSE	-0.524390805381853	TRUE	TRUE	FALSE	FALSE		-0.0820603345590485	0.31013342253714	0.165275228427559
S__GCF_002835935.1	0.366621520596707	0.0925057718047568	0.628876584319071	0.784975946999974	0.160172727488456	0.0498641345114047	turquoise	0.784975946999974	0.784975946999974	turquoise	0.628876584319071	exp3	biological	TRUE	0.156099362680903	FALSE	FALSE	TRUE	FALSE		0.0214809549782472	0.480479542429718	0.480488652071592
S__GCF_002835995.1	0.59419985912499	0.300104800360823	0.675396700835443	0.496226867696534	0.258611674205229	-0.0360412836449719	blue	0.675396700835443	0.675396700835443	blue	0.638625365507502	exp3	biological	TRUE	0.0367713353279411	FALSE	FALSE	FALSE	FALSE		0.191309881635098	0.638625365507502	0.216147517449054
S__GCF_002836055.1	0.32226314727934	0.085816408279044	0.535999710543622	0.635875826192348	0.0520786669796839	0.0426835884063531	turquoise	0.635875826192348	0.635875826192348	turquoise	0.535999710543622	exp3	biological	TRUE	0.0998761156487263	FALSE	FALSE	FALSE	FALSE		-0.0534580419611933	0.370412452764214	0.391600962719634
S__GCF_002836245.1	0.0431372387730322	0.0406376598151441	0.165174271632544	0.206192218603389	0.0551924599360848	-0.0355137901336202	grey	-0.0355137901336202	0.206192218603389	turquoise	0.206192218603389	exp3	technical	FALSE	-0.241706008737009	TRUE	TRUE	FALSE	FALSE		-0.0283207227261062	0.106656339112346	0.162384544229323
S__GCF_002836255.1	0.285040681155621	0.175549351801362	0.460111783365936	0.648330767683317	0.231929328451675	0.0206482559507951	turquoise	0.648330767683317	0.648330767683317	turquoise	0.460111783365936	exp3	biological	TRUE	0.188218984317381	FALSE	FALSE	FALSE	FALSE		0.127204073828608	0.413104092934878	0.259153766960193
S__GCF_002836415.1	0.354202599401935	0.0742546663277801	0.612768032483761	0.620822226538863	-0.0330747273732462	-0.0687113315411904	turquoise	0.620822226538863	0.620822226538863	turquoise	0.612768032483761	exp3	biological	TRUE	0.00805419405510166	FALSE	FALSE	FALSE	FALSE		-0.125195700163181	0.376150678528814	0.54484562059272
S__GCF_002836475.1	0.27558128119602	-0.0693727464507312	0.512125895437405	0.640175881961239	0.170611454642344	-0.0192385569947126	turquoise	0.640175881961239	0.640175881961239	turquoise	0.512125895437405	exp3	biological	TRUE	0.128049986523834	FALSE	FALSE	FALSE	FALSE		0.0690054404721414	0.37209133501455	0.437963938023119
S__GCF_002836745.1	0.288852566038721	0.0888650751904328	0.522425269662198	0.626812646019832	-0.00409942276088989	0.0856953347011498	turquoise	0.626812646019832	0.626812646019832	turquoise	0.522425269662198	exp3	biological	TRUE	0.104387376357634	FALSE	FALSE	FALSE	FALSE		-0.123424195417504	0.316421589348656	0.415799097431037
