Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.	core	signedR2
1	0.111762843815795	3.38380932201731	0.829369876406353	969.231620319738	1011.42263289382	1191.04718257642	GeoB25202_R1	0
2	0.202784747214953	3.80446224558982	0.327066419857834	591.038066365453	615.7316416562	849.940128873395	GeoB25202_R1	0
3	0.147832316791819	2.45670800211011	-0.0747146878941125	376.817220023376	388.762417639125	625.64411263453	GeoB25202_R1	0
4	0.0228936672943023	0.252122449824031	-0.0126625413594084	250.342072031914	254.274425320774	473.109374193933	GeoB25202_R1	0
5	0.000404706990261763	-0.0168480397465507	0.287617364188072	172.714865583278	174.720556836414	366.23780705492	GeoB25202_R1	0.000404706990261763
6	0.126277371055055	-0.58550795019982	0.590145786199772	123.337471779327	122.07119148234	289.343028555802	GeoB25202_R1	0.126277371055055
7	0.195888365450743	-0.758210981949534	0.676789419813808	90.8964407535495	88.4861017617411	232.682769840095	GeoB25202_R1	0.195888365450743
8	0.266232807974987	-0.951917734902003	0.746010219751935	68.9537275315069	66.288196553013	191.274378009711	GeoB25202_R1	0.266232807974987
9	0.32429918535688	-1.07940340180445	0.742451394897051	53.7200488225644	50.0191605543148	159.788626139484	GeoB25202_R1	0.32429918535688
10	0.391120242476064	-1.0279598059067	0.745304529836267	42.8937785585369	39.2280904981054	135.236333979931	GeoB25202_R1	0.391120242476064
12	0.532429189956613	-1.06275990393478	0.524345093358183	29.2223552160553	24.2102428285111	101.027796797306	GeoB25202_R1	0.532429189956613
14	0.51680269560941	-1.55951948810076	0.44029835134347	21.4986798158715	15.5943138394913	93.2966223607912	GeoB25202_R1	0.51680269560941
16	0.280429357776458	-4.15435452998483	0.175118353445983	16.8574524582552	10.9010591005972	88.5628814997274	GeoB25202_R1	0.280429357776458
18	0.328671920180954	-5.04693542168376	0.198220097548532	13.9195816564357	7.49251529152943	85.5438318234184	GeoB25202_R1	0.328671920180954
20	0.349257488932956	-4.96859015245382	0.218727993121267	11.9760595498827	5.27341726869127	83.5574508683648	GeoB25202_R1	0.349257488932956
