from	to	w
S__3300020389_47	S__3300027779_22	0.136898910831988
S__3300024516_18	S__3300027779_22	0.127154921713561
S__3300024516_26	S__3300027779_22	0.135891545127038
S__3300024516_38	S__3300027779_22	0.151892480314602
S__3300025276_12	S__3300027779_22	0.124557827786514
S__3300025894_53	S__3300027779_22	0.151031543147566
S__3300026108_2	S__3300027779_22	0.135865562438481
S__3300026119_8	S__3300027779_22	0.121813607341505
S__3300026253_28	S__3300027779_22	0.109858357668402
S__3300026253_8	S__3300027779_22	0.162882714845589
S__3300026264_34	S__3300027779_22	0.109019522590426
S__3300027668_18	S__3300027779_22	0.130057796493657
S__3300027685_31	S__3300027779_22	0.113789193825357
S__3300027687_20	S__3300027779_22	0.111526772060618
S__3300027752_17	S__3300027779_22	0.172894390755137
S__3300020389_47	S__3300027779_26	0.144929139088112
S__3300027685_31	S__3300027779_26	0.123846032352782
S__3300001683_4	S__3300027779_27	0.11119906254592
S__3300020389_47	S__3300027779_27	0.167239273735283
S__3300022920_20	S__3300027779_27	0.148099756109392
S__3300027668_18	S__3300027779_27	0.119338724806917
S__3300027685_31	S__3300027779_27	0.137054629642853
S__3300027685_36	S__3300027779_27	0.122237859968394
S__3300027687_7	S__3300027779_27	0.109139536334608
S__3300027779_26	S__3300027779_27	0.142205105042681
S__3300001683_28	S__3300027780_12	0.131565194898966
S__3300001683_4	S__3300027780_12	0.155759127264844
S__3300020389_17	S__3300027780_12	0.140044445304164
S__3300020389_47	S__3300027780_12	0.166155281545237
S__3300024516_18	S__3300027780_12	0.1166080963378
S__3300024516_26	S__3300027780_12	0.121408190715048
S__3300025894_53	S__3300027780_12	0.108409769789609
S__3300026108_2	S__3300027780_12	0.117824988702614
S__3300026119_8	S__3300027780_12	0.108852062580823
S__3300027668_18	S__3300027780_12	0.142329159712308
S__3300027685_31	S__3300027780_12	0.132165130565118
S__3300027752_17	S__3300027780_12	0.111165266292045
S__3300027771_26	S__3300027780_12	0.137342980927818
S__3300027779_22	S__3300027780_12	0.128156892332488
S__3300027779_27	S__3300027780_12	0.110818992009964
S__3300001683_4	S__3300027788_10	0.126394824210145
S__3300020389_17	S__3300027788_10	0.108266684697605
S__3300020389_47	S__3300027788_10	0.154217378495874
S__3300027668_18	S__3300027788_10	0.111978809701882
S__3300027685_31	S__3300027788_10	0.129328543762976
S__3300027779_27	S__3300027788_10	0.127318561573594
S__3300027780_12	S__3300027788_10	0.121518395365723
S__3300001683_28	S__3300027791_27	0.111239648124833
S__3300001683_4	S__3300027791_27	0.109564205526181
S__3300020263_16	S__3300027791_27	0.109517726085063
S__3300020389_47	S__3300027791_27	0.123905906873263
S__3300025894_53	S__3300027791_27	0.10914378489356
S__3300026253_8	S__3300027791_27	0.127445108174228
S__3300027752_17	S__3300027791_27	0.119773447429
S__3300027779_22	S__3300027791_27	0.154353822583008
S__3300000179_4	S__3300027801_21	0.122005830097528
S__3300001683_28	S__3300027801_21	0.175609139904031
S__3300001683_31	S__3300027801_21	0.122720649284306
S__3300001683_4	S__3300027801_21	0.173654018666001
S__3300020187_18	S__3300027801_21	0.135816260519865
S__3300020263_16	S__3300027801_21	0.144045876277024
S__3300020303_5	S__3300027801_21	0.109025670388177
S__3300020389_17	S__3300027801_21	0.18584543460813
S__3300020389_47	S__3300027801_21	0.173596593992555
S__3300024516_18	S__3300027801_21	0.152683890523115
S__3300024516_26	S__3300027801_21	0.15561168361423
S__3300024516_38	S__3300027801_21	0.124889673737573
S__3300025276_12	S__3300027801_21	0.1137171776018
S__3300025892_34	S__3300027801_21	0.116787392198928
S__3300025894_53	S__3300027801_21	0.140096341360914
S__3300026108_2	S__3300027801_21	0.161632549090841
S__3300026119_8	S__3300027801_21	0.145057288433145
S__3300026253_8	S__3300027801_21	0.146973520466082
S__3300026264_29	S__3300027801_21	0.12043905201041
S__3300026264_34	S__3300027801_21	0.108566671820493
S__3300026267_11	S__3300027801_21	0.123206836321463
S__3300027668_18	S__3300027801_21	0.165671754168129
S__3300027685_16	S__3300027801_21	0.12551452480305
S__3300027685_31	S__3300027801_21	0.144730328958119
S__3300027685_36	S__3300027801_21	0.134702111860944
S__3300027700_13	S__3300027801_21	0.108115186804956
S__3300027752_17	S__3300027801_21	0.155438087225496
S__3300027771_26	S__3300027801_21	0.1567742491981
S__3300027779_22	S__3300027801_21	0.158011377058933
S__3300027779_27	S__3300027801_21	0.116386171878005
S__3300027780_12	S__3300027801_21	0.172971678855929
S__3300027788_10	S__3300027801_21	0.134066684765146
S__3300027791_27	S__3300027801_21	0.130209926526554
S__3300001683_28	S__3300027801_7	0.127567459020755
S__3300001683_4	S__3300027801_7	0.123708832121142
S__3300020389_17	S__3300027801_7	0.120958419501381
S__3300020389_47	S__3300027801_7	0.147145199700673
S__3300026253_8	S__3300027801_7	0.117535781111768
S__3300027668_18	S__3300027801_7	0.110249542768495
S__3300027685_31	S__3300027801_7	0.122842146358113
S__3300027752_17	S__3300027801_7	0.121165625505419
S__3300027779_22	S__3300027801_7	0.160268815061376
S__3300027780_12	S__3300027801_7	0.116686428792237
S__3300027801_21	S__3300027801_7	0.153555402108456
S__3300001683_28	S__3300027810_12	0.108578896714341
S__3300001683_4	S__3300027810_12	0.111332697002844
S__3300020389_47	S__3300027810_12	0.137972645294632
S__3300027685_31	S__3300027810_12	0.117869634643353
S__3300027779_22	S__3300027810_12	0.142194807110439
S__3300027779_27	S__3300027810_12	0.110565408083126
S__3300027801_21	S__3300027810_12	0.129144686267434
S__3300001683_28	S__3300027827_16	0.135194640136851
S__3300001683_4	S__3300027827_16	0.13352440147185
S__3300020187_18	S__3300027827_16	0.11049957225236
S__3300020263_16	S__3300027827_16	0.130568965929706
S__3300020389_17	S__3300027827_16	0.145009376235861
S__3300020389_47	S__3300027827_16	0.145986941290378
S__3300026108_2	S__3300027827_16	0.11890717161857
S__3300026253_8	S__3300027827_16	0.129348748971346
S__3300027685_31	S__3300027827_16	0.11585999621622
S__3300027752_17	S__3300027827_16	0.129584201288177
S__3300027771_26	S__3300027827_16	0.135323703037023
S__3300027779_22	S__3300027827_16	0.14014656742581
S__3300027780_12	S__3300027827_16	0.123680485642683
S__3300027801_21	S__3300027827_16	0.175919281369057
S__3300027801_7	S__3300027827_16	0.113473070209476
S__3300000179_4	S__3300027838_66	0.134385338761431
S__3300001683_21	S__3300027838_66	0.118054591747572
S__3300001683_28	S__3300027838_66	0.16123702070752
S__3300001683_31	S__3300027838_66	0.15062790787128
S__3300001683_4	S__3300027838_66	0.180205880867274
S__3300020187_18	S__3300027838_66	0.129800320358214
S__3300020263_16	S__3300027838_66	0.12372791088471
S__3300020303_5	S__3300027838_66	0.123342526144991
S__3300020389_17	S__3300027838_66	0.170070894248447
S__3300020389_47	S__3300027838_66	0.188128878734911
S__3300022920_20	S__3300027838_66	0.153382130276291
S__3300024058_15	S__3300027838_66	0.117649861056906
S__3300024516_18	S__3300027838_66	0.135223777691755
S__3300024516_24	S__3300027838_66	0.108333261485486
S__3300024516_26	S__3300027838_66	0.157809871583169
S__3300025276_12	S__3300027838_66	0.117354183270056
S__3300025892_34	S__3300027838_66	0.125098088222091
S__3300025894_53	S__3300027838_66	0.148758440404442
S__3300026087_14	S__3300027838_66	0.117507612484639
S__3300026108_2	S__3300027838_66	0.13080365959899
S__3300026108_4	S__3300027838_66	0.116408317787474
S__3300026119_8	S__3300027838_66	0.138761492161943
S__3300026253_8	S__3300027838_66	0.131131935802045
S__3300026264_29	S__3300027838_66	0.134274599985697
S__3300026267_11	S__3300027838_66	0.138009905153767
S__3300027668_18	S__3300027838_66	0.186092171566865
