state	sample	module	core	age_kyr	state_label	index	centered	state_label_ref	state_label_source
1	LV3003047134	leiden3	ST8	68.807	state_03	OAP	99.7425842822263	state_03	IG-D
1	LV3003047134	leiden4	ST8	68.807	state_03	OAP	-3.62551202072768	state_03	IG-D
1	LV3003047134	leiden5	ST8	68.807	state_03	OAP	-577.532610576126	state_03	IG-D
1	LV3003047134	leiden2	ST8	68.807	state_03	OAP	113.992548776278	state_03	IG-D
1	LV3003047134	grey	ST8	68.807	state_03	OAP	150.522006354595	state_03	IG-D
1	LV3003047136	leiden3	ST8	67.8766	state_03	OAP	71.002512572417	state_03	IG-D
1	LV3003047136	leiden4	ST8	67.8766	state_03	OAP	54.1567656026319	state_03	IG-D
1	LV3003047136	leiden5	ST8	67.8766	state_03	OAP	-578.811194188308	state_03	IG-D
1	LV3003047136	leiden2	ST8	67.8766	state_03	OAP	141.951396504031	state_03	IG-D
1	LV3003047136	leiden1	ST8	67.8766	state_03	OAP	186.875269991624	state_03	IG-D
1	LV3003047136	grey	ST8	67.8766	state_03	OAP	124.825249517605	state_03	IG-D
1	LV3003047137	leiden4	ST8	66.9462	state_03	OAP	-48.4436333741891	state_03	IG-D
1	LV3003047137	leiden3	ST8	66.9462	state_03	OAP	-75.3523149422594	state_03	IG-D
1	LV3003047137	leiden5	ST8	66.9462	state_03	OAP	-368.130928237111	state_03	IG-D
1	LV3003047137	leiden2	ST8	66.9462	state_03	OAP	219.325899601348	state_03	IG-D
1	LV3003047137	grey	ST8	66.9462	state_03	OAP	23.0997449565884	state_03	IG-D
1	LV3003047137	leiden1	ST8	66.9462	state_03	OAP	311.238972029627	state_03	IG-D
1	LV3003047137	leiden6	ST8	66.9462	state_03	OAP	-61.7377400340047	state_03	IG-D
1	LV3003047138	leiden4	ST8	66.0158	state_03	OAP	28.325907807827	state_03	IG-D
1	LV3003047138	leiden5	ST8	66.0158	state_03	OAP	-475.254761854238	state_03	IG-D
1	LV3003047138	grey	ST8	66.0158	state_03	OAP	-259.097241269055	state_03	IG-D
1	LV3003047138	leiden3	ST8	66.0158	state_03	OAP	73.9385232376589	state_03	IG-D
1	LV3003047138	leiden2	ST8	66.0158	state_03	OAP	156.349279948078	state_03	IG-D
1	LV3003047138	leiden1	ST8	66.0158	state_03	OAP	195.129822914221	state_03	IG-D
1	LV3003047138	leiden6	ST8	66.0158	state_03	OAP	280.608469215508	state_03	IG-D
1	LV3003061474	leiden1	ST13	77.7798	state_03	OAP	-14.8252889888411	state_03	IG-D
1	LV3003061474	leiden2	ST13	77.7798	state_03	OAP	86.4411050110932	state_03	IG-D
1	LV3003061474	leiden3	ST13	77.7798	state_03	OAP	-12.7346353603464	state_03	IG-D
1	LV3003061474	leiden4	ST13	77.7798	state_03	OAP	-177.148028884938	state_03	IG-D
1	LV3003061474	leiden6	ST13	77.7798	state_03	OAP	310.391643593511	state_03	IG-D
1	LV3003061474	leiden5	ST13	77.7798	state_03	OAP	-111.177221406737	state_03	IG-D
1	LV3003061474	grey	ST13	77.7798	state_03	OAP	-80.9475739637411	state_03	IG-D
1	LV3003061485	leiden1	ST13	75.7796	state_03	OAP	15.1741171344474	state_03	IG-D
1	LV3003061485	leiden3	ST13	75.7796	state_03	OAP	15.6403581019951	state_03	IG-D
1	LV3003061485	leiden4	ST13	75.7796	state_03	OAP	-230.231836278344	state_03	IG-D
1	LV3003061485	leiden2	ST13	75.7796	state_03	OAP	2.74543540761897	state_03	IG-D
1	LV3003061485	leiden6	ST13	75.7796	state_03	OAP	222.804070429467	state_03	IG-D
1	LV3003061485	leiden5	ST13	75.7796	state_03	OAP	23.0647453901421	state_03	IG-D
1	LV3003061485	grey	ST13	75.7796	state_03	OAP	-49.1968901853264	state_03	IG-D
1	LV3003061500	leiden2	ST13	148.086	state_03	OAP	301.25027973401	state_03	IG-D
1	LV3003061500	leiden4	ST13	148.086	state_03	OAP	8.57646380532162	state_03	IG-D
1	LV3003061500	leiden1	ST13	148.086	state_03	OAP	-9.69341898240668	state_03	IG-D
1	LV3003061500	leiden5	ST13	148.086	state_03	OAP	-233.278768526995	state_03	IG-D
1	LV3003061500	leiden3	ST13	148.086	state_03	OAP	-208.117396764975	state_03	IG-D
1	LV3003061500	grey	ST13	148.086	state_03	OAP	-354.470526615332	state_03	IG-D
1	LV3003061500	leiden6	ST13	148.086	state_03	OAP	495.733367350378	state_03	IG-D
1	LV3003061501	leiden3	ST13	105.5872	state_03	OAP	-79.1249918567272	state_03	IG-D
1	LV3003061501	leiden4	ST13	105.5872	state_03	OAP	-166.933555035701	state_03	IG-D
1	LV3003061501	leiden2	ST13	105.5872	state_03	OAP	109.436029815563	state_03	IG-D
1	LV3003061501	leiden6	ST13	105.5872	state_03	OAP	-113.795708580039	state_03	IG-D
1	LV3003061501	leiden5	ST13	105.5872	state_03	OAP	-172.647345981105	state_03	IG-D
1	LV3003061501	leiden1	ST13	105.5872	state_03	OAP	267.000541827236	state_03	IG-D
1	LV3003061501	grey	ST13	105.5872	state_03	OAP	156.065029810773	state_03	IG-D
1	LV3003061503	leiden1	ST13	73.1472	state_03	OAP	-16.8766062515284	state_03	IG-D
1	LV3003061503	leiden2	ST13	73.1472	state_03	OAP	17.1149903604661	state_03	IG-D
1	LV3003061503	leiden3	ST13	73.1472	state_03	OAP	-3.50569891025032	state_03	IG-D
1	LV3003061503	leiden4	ST13	73.1472	state_03	OAP	-226.805551312582	state_03	IG-D
1	LV3003061503	leiden6	ST13	73.1472	state_03	OAP	170.84846836366	state_03	IG-D
1	LV3003061503	leiden5	ST13	73.1472	state_03	OAP	-75.5916901708343	state_03	IG-D
1	LV3003061503	grey	ST13	73.1472	state_03	OAP	134.81608792107	state_03	IG-D
1	LV3003061514	leiden2	ST13	100.6726	state_03	OAP	11.3428316605726	state_03	IG-D
1	LV3003061514	leiden3	ST13	100.6726	state_03	OAP	-5.11983010145309	state_03	IG-D
1	LV3003061514	leiden4	ST13	100.6726	state_03	OAP	-171.775902024346	state_03	IG-D
1	LV3003061514	leiden1	ST13	100.6726	state_03	OAP	-19.3111013818896	state_03	IG-D
1	LV3003061514	leiden6	ST13	100.6726	state_03	OAP	38.2251248878687	state_03	IG-D
1	LV3003061514	grey	ST13	100.6726	state_03	OAP	-40.3081730332245	state_03	IG-D
1	LV3003061514	leiden5	ST13	100.6726	state_03	OAP	186.947049992473	state_03	IG-D
1	LV3003061515	leiden1	ST13	71.0012	state_03	OAP	31.1508825762771	state_03	IG-D
1	LV3003061515	leiden3	ST13	71.0012	state_03	OAP	61.3319566845198	state_03	IG-D
1	LV3003061515	leiden4	ST13	71.0012	state_03	OAP	-142.813554591889	state_03	IG-D
1	LV3003061515	leiden2	ST13	71.0012	state_03	OAP	24.4052644563657	state_03	IG-D
1	LV3003061515	leiden6	ST13	71.0012	state_03	OAP	35.8073856263371	state_03	IG-D
1	LV3003061515	grey	ST13	71.0012	state_03	OAP	16.9556548520046	state_03	IG-D
1	LV3003061515	leiden5	ST13	71.0012	state_03	OAP	-26.8375896036149	state_03	IG-D
1	LV3003061528	leiden3	ST13	95.118	state_03	OAP	37.7382378386956	state_03	IG-D
1	LV3003061528	leiden4	ST13	95.118	state_03	OAP	-166.229813522401	state_03	IG-D
1	LV3003061528	leiden2	ST13	95.118	state_03	OAP	51.5520564429212	state_03	IG-D
1	LV3003061528	leiden1	ST13	95.118	state_03	OAP	10.5979578927747	state_03	IG-D
1	LV3003061528	leiden5	ST13	95.118	state_03	OAP	-128.175880783216	state_03	IG-D
1	LV3003061528	grey	ST13	95.118	state_03	OAP	-84.7967801206264	state_03	IG-D
1	LV3003061528	leiden6	ST13	95.118	state_03	OAP	279.314222251853	state_03	IG-D
1	LV3003061529	leiden1	ST13	66.015	state_03	OAP	-61.2703975171803	state_03	IG-D
1	LV3003061529	leiden2	ST13	66.015	state_03	OAP	-12.2251951443442	state_03	IG-D
1	LV3003061529	leiden3	ST13	66.015	state_03	OAP	28.9169728161252	state_03	IG-D
1	LV3003061529	leiden4	ST13	66.015	state_03	OAP	-202.378135247469	state_03	IG-D
1	LV3003061529	leiden5	ST13	66.015	state_03	OAP	43.2248007942715	state_03	IG-D
1	LV3003061529	grey	ST13	66.015	state_03	OAP	71.222711747254	state_03	IG-D
1	LV3003061529	leiden6	ST13	66.015	state_03	OAP	132.509242551344	state_03	IG-D
1	LV3003061541	leiden3	ST13	91.09	state_03	OAP	-123.032787924302	state_03	IG-D
1	LV3003061541	leiden4	ST13	91.09	state_03	OAP	-90.1845288919706	state_03	IG-D
1	LV3003061541	leiden5	ST13	91.09	state_03	OAP	-575.728178718658	state_03	IG-D
1	LV3003061541	leiden6	ST13	91.09	state_03	OAP	416.897432468436	state_03	IG-D
1	LV3003061541	leiden2	ST13	91.09	state_03	OAP	212.614280790632	state_03	IG-D
1	LV3003061541	grey	ST13	91.09	state_03	OAP	12.1609608163341	state_03	IG-D
1	LV3003061541	leiden1	ST13	91.09	state_03	OAP	147.272821459529	state_03	IG-D
1	LV3003061543	leiden1	ST13	62.293	state_03	OAP	56.5772918130224	state_03	IG-D
1	LV3003061543	leiden2	ST13	62.293	state_03	OAP	32.134606097247	state_03	IG-D
1	LV3003061543	leiden3	ST13	62.293	state_03	OAP	78.1287983298587	state_03	IG-D
1	LV3003061543	leiden4	ST13	62.293	state_03	OAP	-114.77342940312	state_03	IG-D
1	LV3003061543	leiden5	ST13	62.293	state_03	OAP	-394.925997115478	state_03	IG-D
1	LV3003061543	leiden6	ST13	62.293	state_03	OAP	156.411910878168	state_03	IG-D
1	LV3003061543	grey	ST13	62.293	state_03	OAP	186.446819400303	state_03	IG-D
1	LV3003061556	leiden2	ST13	86.6174	state_03	OAP	24.9430267105933	state_03	IG-D
1	LV3003061556	leiden3	ST13	86.6174	state_03	OAP	-84.7219519272239	state_03	IG-D
1	LV3003061556	leiden4	ST13	86.6174	state_03	OAP	-295.331008224419	state_03	IG-D
1	LV3003061556	leiden1	ST13	86.6174	state_03	OAP	184.852716789479	state_03	IG-D
1	LV3003061556	leiden5	ST13	86.6174	state_03	OAP	106.494936346389	state_03	IG-D
1	LV3003061556	grey	ST13	86.6174	state_03	OAP	-146.461370345653	state_03	IG-D
1	LV3003061556	leiden6	ST13	86.6174	state_03	OAP	210.223650650836	state_03	IG-D
1	LV3003061557	leiden3	ST13	58.082	state_03	OAP	124.74066873665	state_03	IG-D
1	LV3003061557	leiden4	ST13	58.082	state_03	OAP	-123.675479089511	state_03	IG-D
1	LV3003061557	leiden2	ST13	58.082	state_03	OAP	59.3596480007298	state_03	IG-D
1	LV3003061557	leiden6	ST13	58.082	state_03	OAP	164.195283234111	state_03	IG-D
1	LV3003061557	grey	ST13	58.082	state_03	OAP	-109.614515494702	state_03	IG-D
1	LV3003061557	leiden1	ST13	58.082	state_03	OAP	16.8967539406083	state_03	IG-D
1	LV3003061557	leiden5	ST13	58.082	state_03	OAP	-131.902359327887	state_03	IG-D
1	LV3003061569	leiden2	ST13	81.6946	state_03	OAP	115.648490270369	state_03	IG-D
1	LV3003061569	leiden3	ST13	81.6946	state_03	OAP	7.12972076983351	state_03	IG-D
1	LV3003061569	leiden4	ST13	81.6946	state_03	OAP	-139.609082272001	state_03	IG-D
1	LV3003061569	leiden1	ST13	81.6946	state_03	OAP	49.7666083504545	state_03	IG-D
1	LV3003061569	leiden5	ST13	81.6946	state_03	OAP	-132.781738109022	state_03	IG-D
1	LV3003061569	grey	ST13	81.6946	state_03	OAP	99.8460009903664	state_03	IG-D
1	LV7001898088	leiden1	ST13	6.031	state_03	OAP	-11.4000929989447	state_03	IG-D
1	LV7001898088	leiden3	ST13	6.031	state_03	OAP	74.3652279400906	state_03	IG-D
1	LV7001898088	leiden4	ST13	6.031	state_03	OAP	-328.079806099169	state_03	IG-D
1	LV7001898088	leiden2	ST13	6.031	state_03	OAP	18.1690826917941	state_03	IG-D
1	LV7001898088	leiden6	ST13	6.031	state_03	OAP	174.543991456667	state_03	IG-D
1	LV7001898088	leiden5	ST13	6.031	state_03	OAP	-33.1327907498139	state_03	IG-D
1	LV7001898088	grey	ST13	6.031	state_03	OAP	105.534387759375	state_03	IG-D
1	LV7001898100	leiden1	ST13	5.659	state_03	OAP	131.579448443949	state_03	IG-D
1	LV7001898100	leiden3	ST13	5.659	state_03	OAP	185.281783227575	state_03	IG-D
1	LV7001898100	leiden4	ST13	5.659	state_03	OAP	-180.685041313212	state_03	IG-D
1	LV7001898100	leiden2	ST13	5.659	state_03	OAP	83.6520957890969	state_03	IG-D
1	LV7001898100	grey	ST13	5.659	state_03	OAP	176.443413626732	state_03	IG-D
1	LV7001898100	leiden5	ST13	5.659	state_03	OAP	-14.7014963795972	state_03	IG-D
1	LV7001898100	leiden6	ST13	5.659	state_03	OAP	-381.570203394545	state_03	IG-D
1	LV7008886229	leiden2	GeoB25202_R2	68.149	state_03	OAP	65.5991463051419	state_03	IG-D
1	LV7008886229	leiden3	GeoB25202_R2	68.149	state_03	OAP	-41.5260554152669	state_03	IG-D
1	LV7008886229	leiden4	GeoB25202_R2	68.149	state_03	OAP	-147.04194029516	state_03	IG-D
1	LV7008886229	leiden1	GeoB25202_R2	68.149	state_03	OAP	17.0590123019884	state_03	IG-D
1	LV7008886229	leiden5	GeoB25202_R2	68.149	state_03	OAP	-111.601054654424	state_03	IG-D
1	LV7008886229	leiden6	GeoB25202_R2	68.149	state_03	OAP	158.315461332487	state_03	IG-D
1	LV7008886229	grey	GeoB25202_R2	68.149	state_03	OAP	59.1954304252332	state_03	IG-D
1	LV7008886695	leiden3	GeoB25202_R1	95.3875	state_03	OAP	-115.774502780435	state_03	IG-D
1	LV7008886695	leiden4	GeoB25202_R1	95.3875	state_03	OAP	-179.735702683737	state_03	IG-D
1	LV7008886695	leiden1	GeoB25202_R1	95.3875	state_03	OAP	19.5027549108554	state_03	IG-D
1	LV7008886695	grey	GeoB25202_R1	95.3875	state_03	OAP	84.4248951442862	state_03	IG-D
1	LV7008886695	leiden2	GeoB25202_R1	95.3875	state_03	OAP	94.3227433763453	state_03	IG-D
1	LV7008886695	leiden6	GeoB25202_R1	95.3875	state_03	OAP	349.132750925197	state_03	IG-D
1	LV7008886695	leiden5	GeoB25202_R1	95.3875	state_03	OAP	-251.872938892511	state_03	IG-D
1	LV7008886706	leiden3	GeoB25202_R1	79.0255	state_03	OAP	-26.8203837449762	state_03	IG-D
1	LV7008886706	leiden4	GeoB25202_R1	79.0255	state_03	OAP	-134.318276458017	state_03	IG-D
1	LV7008886706	leiden2	GeoB25202_R1	79.0255	state_03	OAP	111.719182211141	state_03	IG-D
1	LV7008886706	leiden1	GeoB25202_R1	79.0255	state_03	OAP	81.8487240724108	state_03	IG-D
1	LV7008886706	grey	GeoB25202_R1	79.0255	state_03	OAP	88.2636851853346	state_03	IG-D
1	LV7008886706	leiden5	GeoB25202_R1	79.0255	state_03	OAP	-120.692931265893	state_03	IG-D
1	LV7008886707	leiden1	GeoB25202_R2	95.3875	state_03	OAP	27.9504428238596	state_03	IG-D
1	LV7008886707	leiden3	GeoB25202_R2	95.3875	state_03	OAP	-133.029161733908	state_03	IG-D
1	LV7008886707	leiden4	GeoB25202_R2	95.3875	state_03	OAP	-125.900073071678	state_03	IG-D
1	LV7008886707	grey	GeoB25202_R2	95.3875	state_03	OAP	119.021374807165	state_03	IG-D
1	LV7008886707	leiden5	GeoB25202_R2	95.3875	state_03	OAP	-195.6851136686	state_03	IG-D
1	LV7008886707	leiden2	GeoB25202_R2	95.3875	state_03	OAP	137.954932234733	state_03	IG-D
1	LV7008886707	leiden6	GeoB25202_R2	95.3875	state_03	OAP	169.687598608427	state_03	IG-D
1	LV7008886708	leiden3	GeoB25202_R1	109.6305	state_03	OAP	-69.3077119120424	state_03	IG-D
1	LV7008886708	leiden4	GeoB25202_R1	109.6305	state_03	OAP	-63.4218371107228	state_03	IG-D
1	LV7008886708	grey	GeoB25202_R1	109.6305	state_03	OAP	166.033528330623	state_03	IG-D
1	LV7008886708	leiden5	GeoB25202_R1	109.6305	state_03	OAP	-192.381940670947	state_03	IG-D
1	LV7008886708	leiden2	GeoB25202_R1	109.6305	state_03	OAP	123.824218171841	state_03	IG-D
1	LV7008886708	leiden6	GeoB25202_R1	109.6305	state_03	OAP	-105.478744407293	state_03	IG-D
