sample	module	module_abundance	core	age_kyr	state	state_label	index	value
LV3003047027	leiden1	0.0275610211159401	ST8	12.877	1	IG-D	OAP	567.177737570356
LV3003047027	leiden2	0.114587448966153	ST8	12.877	1	IG-D	OAP	585.850848410393
LV3003047027	leiden6	0.0145089775670574	ST8	12.877	1	IG-D	OAP	492.578647380017
LV3003047027	grey	0.0241793428157513	ST8	12.877	1	IG-D	OAP	576.078394311414
LV3003047027	leiden5	0.000932876772465868	ST8	12.877	1	IG-D	OAP	216.890301724138
LV3003047028	leiden4	0.913595827023389	ST8	4.753	2	IG-E	OAP	284.624497337246
LV3003047028	leiden3	0.0751304055190981	ST8	4.753	2	IG-E	OAP	419.602777777778
LV3003047028	leiden2	0.011273767457513	ST8	4.753	2	IG-E	OAP	820
LV3003047041	leiden1	0.0475840127394038	ST8	19.097	3	IG-A	OAP	557.717496257488
LV3003047041	leiden2	0.153316146303758	ST8	19.097	3	IG-A	OAP	558.453483605133
LV3003047041	leiden4	0.731841796915241	ST8	19.097	3	IG-A	OAP	371.971771027613
LV3003047041	leiden3	0.0332654758035734	ST8	19.097	3	IG-A	OAP	552.872838343389
LV3003047041	leiden5	0.0309825118983294	ST8	19.097	3	IG-A	OAP	102.664635148269
LV3003047041	leiden6	0.00113450346033525	ST8	19.097	3	IG-A	OAP	440.897460405554
LV3003047041	grey	0.00187555287935915	ST8	19.097	3	IG-A	OAP	535.550607902736
LV3003047044	leiden1	0.0547942307866642	ST8	12.078	5	G-A	OAP	622.020415571349
LV3003047044	leiden4	0.616467580659296	ST8	12.078	5	G-A	OAP	453.288327461741
LV3003047044	leiden2	0.230913579650016	ST8	12.078	5	G-A	OAP	620.83677282907
LV3003047044	leiden6	0.0609194117167127	ST8	12.078	5	G-A	OAP	546.898157297648
LV3003047044	leiden3	0.0285378434649124	ST8	12.078	5	G-A	OAP	685.531423895254
LV3003047044	grey	0.00270148581719946	ST8	12.078	5	G-A	OAP	612.284153005465
LV3003047044	leiden5	0.00566586790520021	ST8	12.078	5	G-A	OAP	509.67832
LV3003047045	leiden1	0.00964934970253997	ST8	3.5865	1	IG-D	OAP	553.153786086134
LV3003047045	leiden3	0.190753921608771	ST8	3.5865	1	IG-D	OAP	641.387860777444
LV3003047045	leiden4	0.731214377950507	ST8	3.5865	1	IG-D	OAP	406.015397281126
LV3003047045	leiden2	0.0615602944539708	ST8	3.5865	1	IG-D	OAP	607.193425609319
LV3003047045	leiden6	0.00252369144052148	ST8	3.5865	1	IG-D	OAP	388.874747683007
LV3003047045	grey	0.00393883618576047	ST8	3.5865	1	IG-D	OAP	584.720057744565
LV3003047045	leiden5	0.000359528657929455	ST8	3.5865	1	IG-D	OAP	66.5
LV3003047059	leiden4	0.41034057752289	ST8	107.683	2	IG-E	OAP	424.420412714061
LV3003047059	leiden1	0.102399637790522	ST8	107.683	2	IG-E	OAP	-47.7850405305822
LV3003047059	leiden5	0.194825938223161	ST8	107.683	2	IG-E	OAP	-211.696069069265
LV3003047059	grey	0.0767682865479425	ST8	107.683	2	IG-E	OAP	244.806289568996
LV3003047059	leiden2	0.0952309085421068	ST8	107.683	2	IG-E	OAP	564.71199664843
LV3003047059	leiden3	0.120434651373378	ST8	107.683	2	IG-E	OAP	182.246074288546
LV3003047060	leiden4	0.736343509175288	ST8	106.686	2	IG-E	OAP	471.31194322681
LV3003047060	leiden2	0.156001192148848	ST8	106.686	2	IG-E	OAP	595.752165753703
LV3003047060	leiden3	0.0793630519010517	ST8	106.686	2	IG-E	OAP	225.011165375547
LV3003047060	grey	0.00261846979179972	ST8	106.686	2	IG-E	OAP	820
LV3003047060	leiden5	0.0146038233916635	ST8	106.686	2	IG-E	OAP	15.0198250728863
