state	sample	core	age_kyr	state_label	index	value	state_label_source
1	LV7008886706	GeoB25202_R1	79.0255	state_03	MFI	0	IG-D
1	LV7008886707	GeoB25202_R2	95.3875	state_03	MFI	0	IG-D
1	LV7008886708	GeoB25202_R1	109.6305	state_03	MFI	0	IG-D
1	LV7008886714	GeoB25202_R1	0.692	state_03	MFI	0	IG-D
1	LV7008886718	GeoB25202_R2	79.0255	state_03	MFI	0	IG-D
1	LV7008886719	GeoB25202_R1	87.2825	state_03	MFI	0	IG-D
1	LV7008886720	GeoB25202_R2	109.6305	state_03	MFI	0	IG-D
1	LV7008886726	GeoB25202_R2	0.692	state_03	MFI	0	IG-D
1	LV7008886730	GeoB25202_R1	75.351	state_03	MFI	0	IG-D
1	LV7008886731	GeoB25202_R2	87.2825	state_03	MFI	0	IG-D
1	LV7008886742	GeoB25202_R2	75.351	state_03	MFI	0	IG-D
1	LV7008886743	GeoB25202_R1	81.6705	state_03	MFI	0	IG-D
1	LV7008886744	GeoB25202_R1	105.5785	state_03	MFI	0	IG-D
1	LV7008886754	GeoB25202_R1	71.8895	state_03	MFI	0	IG-D
1	LV7008886755	GeoB25202_R2	81.6705	state_03	MFI	0	IG-D
1	LV7008886756	GeoB25202_R2	105.5785	state_03	MFI	0	IG-D
1	LV7008886766	GeoB25202_R2	71.8895	state_03	MFI	0	IG-D
1	LV7008886768	GeoB25202_R1	102.2955	state_03	MFI	0	IG-D
1	LV7008886778	GeoB25202_R1	68.149	state_03	MFI	0	IG-D
1	LV7008886780	GeoB25202_R2	102.2955	state_03	MFI	0	IG-D
1	LV3003046938	ST8	11.169	state_03	DCI	-1.86146486316911	IG-D
1	LV3003046939	ST8	2.42	state_03	DCI	-2.6817095209115	IG-D
1	LV3003046952	ST8	10.26	state_03	DCI	-1.7506824740213	IG-D
1	LV3003046953	ST8	1.5215	state_03	DCI	-2.70847735758146	IG-D
1	LV3003046980	ST8	8.056	state_03	DCI	-1.5242993185514	IG-D
1	LV3003046995	ST8	6.9705	state_03	DCI	-1.51146228180204	IG-D
1	LV3003047010	ST8	13.676	state_03	DCI	-1.49540627741313	IG-D
1	LV3003047013	ST8	5.885	state_03	DCI	-1.68823372237422	IG-D
1	LV3003047027	ST8	12.877	state_03	DCI	-1.84650268350092	IG-D
1	LV3003047045	ST8	3.5865	state_03	DCI	-2.08433976056551	IG-D
1	LV3003047079	ST8	97.52	state_03	DCI	-1.50130704420071	IG-D
1	LV3003047080	ST8	87.9935	state_03	DCI	-1.90108512680339	IG-D
