state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance	state_label_source
1	state_03	leiden6	MII	51	51	-5.24645464122023	-1.50633159119365	6.22077234431169	13.2091414726509	1.18570973537758	-1.73224016644889	0.848069696132649	4.00516924885208	0.00243247571991922	IG-D
1	state_03	grey	SRPI	59	59	-0.649827918815844	-0.442305457106048	1.37445968371776	0.513138660041114	2.11511331526412	0.71471685776145	1.02044243076267	1.12465907202445	0.0411871743194189	IG-D
1	state_03	leiden1	SRPI	60	60	-0.91194322758051	-0.936268368914293	0.560809893001778	0.748726914809599	0.614961409922053	0.464362337389504	0.447406212220696	0.690335560824188	0.0140575567303722	IG-D
1	state_03	leiden2	SRPI	60	60	-0.87094092831526	-0.917015509820698	0.187878157447328	0.207458855725226	0.215718599665259	0.505364636654755	0.437956173502274	0.624352999931419	0.0842462588564996	IG-D
1	state_03	leiden3	SRPI	60	60	-0.610078156566118	-0.535617243837448	0.538600911619215	0.984280814821559	0.882839199899863	0.766227408403896	0.685178167238219	0.784717210257647	0.125599426608705	IG-D
1	state_03	leiden4	SRPI	60	60	-0.694331533933026	-0.677094791176313	0.153101615956775	0.148018074018796	0.220502178677575	0.681974031036988	0.877775547684503	0.735554575722846	0.707099543707937	IG-D
1	state_03	leiden5	SRPI	59	59	-0.635710664671972	-0.341556664706226	1.36965167779523	1.16275411872787	2.15452052940149	0.740441277646026	0.96547019365441	1.25109627081887	0.0268716204144088	IG-D
1	state_03	leiden6	SRPI	51	51	-6.04185428018437	-9.21034037197618	3.55891207026375	6.90168859023528	0.589043016468638	-4.52803989800293	-7.06955101494404	4.52803989800293	0.00243247571991922	IG-D
2	state_05	grey	OAP	29	29	228.934935270196	232.085887223193	251.177703344609	318.176615610944	1.09715759653791	-45.8693637054891	-46.6191278000747	134.105380686283	0.0551058486737416	IG-E
2	state_05	leiden1	OAP	34	34	371.190933486741	554.506844835809	363.746767359211	630.984913824926	0.979945183311445	65.7924386657804	167.967083240469	247.826785970082	0.0387062244345803	IG-E
2	state_05	leiden2	OAP	38	38	603.212108120857	602.737498789463	90.0270926204615	89.7431478723863	0.149246163013731	289.704661499626	302.394606618435	290.422032793678	0.0925204740169838	IG-E
2	state_05	leiden3	OAP	39	39	268.397165204961	294.052165354331	149.36406146524	193.859032013551	0.55650387123567	-36.928239878001	-35.7374177745647	119.513918286379	0.112779957189028	IG-E
2	state_05	leiden4	OAP	39	39	271.861532319718	284.624497337246	102.714908308913	145.820881028377	0.377820677432646	-33.4638727632441	-40.3968598683438	108.662823406695	0.627529278841774	IG-E
2	state_05	leiden5	OAP	36	36	15.7584754875375	-88.7118487113685	268.39312746568	442.573938257943	17.0316683030625	-276.291897226483	-343.474585680588	302.242568887792	0.10197139417222	IG-E
2	state_05	leiden6	OAP	5	5	576.271046140722	666.666666666667	134.398628240654	151.939393939394	0.23322120578627	155.258437799764	178.102116892816	162.585536108	0.00321604721138381	IG-E
