sample	MEgreen	MElightcyan	MEsalmon	MEtan	MEbrown	MEpurple	MEblue	MEgreenyellow	MEblack	MEred	MEturquoise	MEyellow	MEgrey60	MEcyan	MEmidnightblue	MEmagenta	MEpink	MEgrey
LV3003046937	-0.0278612398608195	0.0368462157386307	0.0388438911018597	0.0460270257293184	0.0817589408656236	0.0630646440441706	-0.00667986071041919	0.052143237933237	0.00148832490775454	-0.0227218246650543	-0.0128421109314204	-0.0280484273633471	-0.0157695819916439	-0.0442488205943226	-0.034180795191179	-0.055339634683197	-0.0816846786828533	-0.0608089401958805
LV3003047041	-0.0380757498954136	-0.0157831587175802	-0.0184737672681492	0.0119855345589125	0.10077417150993	0.0250251727012571	0.129564477781801	0.0925365899231514	0.156230368137107	0.132383528410508	0.156669921638955	-0.0408326205837541	-0.039726023935428	-0.0564982261519215	-0.037294384174008	-0.0759641624608172	-0.0751303298664075	0.0185471381606284
LV3003047026	-0.076040724643719	-0.0909398940415115	-0.0965478454211818	-0.0691176825944769	-0.00727971147819287	-0.0338684070495022	0.317992070899448	-0.017839418540466	-0.00111186913488162	0.0690441820089277	0.0140108873049334	-0.0348100103523542	-0.0915983381069882	-0.0642605496799312	-0.0160386489102404	-0.0467291999152286	-0.107516999199863	0.0268708442308193
LV3003047009	-0.0628864333060902	-0.0474163355535115	-0.0632367751412017	-0.073621646146561	-0.0263177337737905	-0.0287311038151335	0.28433144727256	-0.107780368737504	-0.052771266440251	-0.00579610002658288	-0.0232972388114115	-0.0193264448226128	-0.103368230632902	-0.0502824039677335	-0.0236309057737015	-0.0636046687332317	-0.0955215937536708	-0.0133595620367202
LV3003046993	-0.067587850337445	-0.0297486770010431	-0.0676985209151796	-0.0308806382291544	0.00342070909141928	-0.00391292780477097	0.325330534615392	0.0898111080861072	0.0180484221716679	0.0805518201442315	0.0375340216086374	-0.0317143588563973	0.0177089447333246	0.214451985676565	0.291783896765679	0.175148994923422	0.0984784150583438	-0.000283342416720025
LV3003046978	-0.04632767539655	-0.0183770847090378	-0.0290788009650347	0.0136660099886183	0.100559365477431	0.0281094035021343	0.0775328036463452	0.114177131026602	0.174003372561046	0.0746158901291224	0.178424334039404	-0.0159938363249768	-0.0534388105079758	-0.0640638404052686	-0.0489685768598718	-0.0761112848738312	-0.099442340024913	0.0689266161080073
LV3003046965	0.00155314183272951	-0.0221638103398382	-0.0257832355458787	0.0325574837868322	0.119028590816682	0.0305769990860976	0.0846957158526222	0.105144579198395	0.218934553656444	0.333401865601512	0.278513251881046	-0.0459628129751	-0.0575997421266942	-0.0438840370208269	-0.0385269494297731	-0.0689518283075232	-0.0799563743262861	0.0447417567866662
LV3003046949	-0.0256797658476403	-0.00903600443059924	-0.0156278083005968	0.0323382962440577	0.112658948280293	0.0388458770504101	-0.00269857868500905	0.0986121949184388	0.176980986012416	0.0993984363787348	0.193728505775549	-0.0394722963912175	-0.043271608080589	-0.0564875754440642	-0.044589954093191	-0.0694036628805344	-0.0797226800722739	0.0222308250978169
LV3003046936	-0.0180382320225691	-0.0189833569983767	-0.0214280848351322	0.0330173515054603	0.12083627598241	0.0302358839307866	0.0506059015005935	0.110564564149047	0.208199966643713	0.274524484786971	0.243397015918838	-0.0443143176849145	-0.0594825451988031	-0.0657627385339564	-0.0228277013857015	-0.0764270168056021	-0.0899837560034736	0.0404283402783627
LV3003047145	-0.0608220698002368	0.0121756197463733	0.0134639961394343	0.0213302220404363	0.0511756625825443	0.0412652943825175	0.189384100292993	0.0163915215428271	0.00488075368184695	-0.036067993292514	-0.00309338387784235	-0.0233209308801474	-0.0504120516752675	-0.0421273702843794	-0.03624161042615	-0.0598496579306812	-0.0911768134826676	0.00403870316384274
LV3003047132	0.0753058741468541	-0.0305946692845878	-0.0262715508043377	0.0268496585140516	0.111522430022683	0.0283519802299054	0.00430682977095862	0.111090817674726	0.221950742180923	0.314893529214182	0.261665309476784	-0.047869986631684	-0.0652373770601366	-0.0409284119863315	-0.0307597618337927	-0.0743909188264188	-0.084631283845283	0.056115445521701
LV3003047118	-0.0436982135291407	0.000147083506317181	0.00504795800412985	0.0104863061418341	0.074281490560707	0.0431625734522155	-0.00969628229244877	0.104855062829191	0.113449371906827	0.0401216517905331	0.177286928487664	-0.0397133945575748	-0.0243745684092273	-0.0584758544588658	-0.0388094851680869	-0.0685126845691847	-0.0765932317411615	-0.00305458722479797
LV3003047099	-0.00532888218243012	0.0337796089772562	0.039803655506963	0.0482596044451745	0.0999695429089911	0.0639010749468342	-0.0251050148232881	0.0220499265699248	0.0321697637935345	-0.0171745542471796	0.00362865955535481	-0.0272891833658429	-0.0863375690735595	-0.032447498268693	-0.0319499178831031	-0.0468213215192708	-0.0869907118429848	-0.0313090830365128
LV3003047071	0.122162283705146	0.0276511591704174	0.0280778878340282	0.0635424762888108	0.128876699594523	0.0665868252317529	-0.0327156872715018	-0.0679013992078862	0.0596222315855352	-0.0187667004261236	-0.0337851669478432	-0.0248440013651621	-0.103406440516999	-0.0305566058916825	-0.0331458011636204	-0.0503734318562921	-0.0824817542052509	-0.036170784008105
LV3003047169	0.207172871979952	0.0138262868423328	0.00448847161344942	0.0568199725774732	0.122755567526728	0.0565612259677983	-0.0270340173393703	-0.0443299519159095	0.129264672034111	-0.00287229236607669	-0.0191382782307824	-0.0276611108897593	-0.104720537425035	-0.0446613356487351	-0.0369396594874444	-0.0591166591208622	-0.0913753097626796	-0.0301080617320622
LV3003047156	0.130652473889702	0.0373293913018194	0.0432743047150625	0.0648294708200242	0.118281607573796	0.0724004684711313	-0.0330690848737724	0.0195421603241256	0.125583575645408	0.000837823401038548	-0.00336662321241744	-0.0271417968863259	-0.061838296968551	-0.0426865712412741	-0.0353909562425334	-0.0539102016365506	-0.0839883399936115	-0.0417831336611916
LV3003047144	0.189923280119779	0.0199349089296667	0.0280703831243915	0.0626605345600614	0.132981766395442	0.0647843571840134	-0.033785497012281	0.0244043736938183	0.159425829666091	-0.00738881913622845	-0.00976840385117093	-0.0296421580042981	-0.00818885986429893	-0.0478723512493679	-0.0365419496354467	-0.0631802874258746	-0.0865441095213959	-0.0384303005618005
LV3003047131	0.0822637859480566	0.0562066365013705	0.0586398476032387	0.0639957284499258	0.0644605630723901	0.0697643976623709	-0.0260982720166778	-0.0644998022403346	-0.0353323686742353	-0.0398325469894682	-0.0453128766359691	-0.0215856414944689	0.0616776907942561	-0.020859977103059	-0.0267315508286177	-0.0365367958814809	-0.0224332822145335	-0.0242719258898507
LV3003047117	0.0900995326988409	0.07434607019558	0.0813324921685572	0.0710499145014039	0.0225576051465051	0.0907859257514482	-0.0261610215551165	-0.0489027388630356	-0.0298440320783537	-0.0244434669164911	-0.0311857931482285	-0.0189653181487867	0.0475882791463458	-0.0309845832609117	-0.0262137061925401	-0.0346114288690102	-0.0458341098243055	-0.0452594466704338
