sample	MEcyan	MEpink	MEpurple	MEblack	MEtan	MEgreen	MEyellow	MEmagenta	MEturquoise	MEblue	MEbrown	MEred	MEgreenyellow	MEsalmon	MEgrey
LV3003046966	-0.020476147111749	-0.0443515125519273	-0.0405684049332476	0.0507513036103772	0.0110196949849007	0.0817635014921039	0.0459904327590094	0.122433502329693	0.0344440997233397	0.0209884941274276	0.0161178593963723	0.161707158540745	0.0547198588600311	0.0822731820527605	-0.0236484354934396
LV3003046950	-0.0239625819044424	-0.0238419305452862	-0.0256862582885995	0.034685686060409	0.00569190760619319	0.040664016171655	0.119209621997084	0.160630649026671	0.0858143710378085	0.0295099679292275	0.0231581753752524	0.128372753502582	0.0774243369782101	0.0869668729476272	-0.0300347177962103
LV3003046937	-0.030144775975999	-0.0378854793234385	-0.0405684049332475	0.0202979656703004	-0.00819340530292831	-0.00949822240449142	0.0433094838615647	0.0488582142762901	0.00378065898443519	0.0434305459813422	0.0429812324153004	0.0719191652128153	0.0898613254257256	0.075309984807689	-0.0266494493553482
LV3003047041	-0.030144775975999	-0.00821724916544818	-0.0169035619357117	0.146296069813743	0.0854132370449658	-0.0171610617623757	0.12196454845975	0.189396037291403	0.179809557788666	0.0463629924472745	0.0249373557167601	0.118804213576504	0.0669033184473109	0.0660524305976263	-0.0136799743055311
LV3003047026	-0.030144775975999	-0.0290124517567456	0.0179525347748237	0.301418210884594	0.318620942404372	-0.0494790801280516	0.0428130850631827	0.0806750321802414	0.0561166782599018	0.0269896636732591	0.0101021268135157	0.0386210734657698	0.0359812403657892	0.0398785910410351	0.0251434706522709
LV3003047009	-0.030144775975999	-0.0616974469906795	-0.0299852339294751	0.27726912123002	0.320859587106941	-0.0494790801280516	-0.0268983367237234	-0.00764683637815543	0.0113825782460307	-0.000395363827074903	-0.00499817748328085	0.0106072878384094	0.0113358600120914	-0.00362518194076989	0.0177386609019757
LV3003046993	0.196235535392805	0.108114209515012	0.166238965773697	0.266266654017952	0.322409948777045	-0.04418531990383	0.110809193433631	0.0739816840899523	0.0634831182584339	0.0207010604090101	-0.00707146626220296	0.0302848994349345	0.0280960091440765	0.0309968892518758	-0.0121910386872417
LV3003046978	-0.030144775975999	-0.0234172313528874	-0.0339237722266441	0.104797516220275	0.0499380834601708	-0.0114990693420936	0.117862818286239	0.173554336213887	0.203001679259464	0.0436459720732431	0.0135531918273978	0.107257598497001	0.062587514436346	0.0663169291003517	0.0186527542048446
LV3003046965	-0.0168833678623812	-0.0047710904273594	-0.00772248507503144	0.101589370713499	0.0461291011121245	0.0137146586641814	0.136264821801851	0.212166113141068	0.273748719689919	0.0387898642728671	0.0161410675957896	0.131632025425777	0.0669835392750215	0.0698974969372697	-0.0115365177852975
LV3003046949	-0.0275026595312346	-0.0169520890578411	-0.0335810695893218	0.0177246858395382	0.0213417442649111	-0.00543402481479155	0.121877001482212	0.201933335787229	0.211332007512274	0.0414336928294414	0.0146466200349708	0.128100892322272	0.068882916201163	0.0732471398205359	-0.0115310503349313
LV3003046936	-0.030144775975999	-0.018246064648546	-0.0218419932576676	0.0680605955475238	0.02522875530406	-0.000397321309010431	0.135370862660574	0.200503042561372	0.250341532733864	0.0428736749057792	0.0168563467002065	0.13694644412061	0.0647679138562301	0.0725795998027754	-0.0185142800733375
LV3003047145	-0.030144775975999	-0.0477760622722164	-0.0303004894990603	0.186801527715634	0.198375504258184	-0.0494790801280516	0.0432950880110121	0.0334936306230907	0.0146963334936628	0.031848841067147	0.0253875123403376	0.0615870129245565	0.0613856078917992	0.061336236334381	0.0103017212401957
LV3003047132	-0.00511771090802343	-0.00730634891586645	-0.0134813006242888	0.022542114377371	0.0259708488007079	0.046488176063822	0.141870195970279	0.214385739327143	0.270365730733919	0.0442360023748345	0.0225448576279839	0.137890662473346	0.077093536723611	0.0779448609237194	-0.0130330885423573
LV3003047118	-0.0273285929419753	-0.0108325053770395	-0.0290197743676988	0.0179039151176093	0.00609647337900059	-0.0268938050246052	0.136204490051884	0.158367789725234	0.203986659957293	0.0417304292608839	0.0272319743268007	0.0838988327966987	0.0731051300482835	0.0703411997541375	-0.0167063662606479
LV3003047099	-0.0182797753591166	-0.0538300407930079	-0.0405684049332476	-0.0140692886169935	-0.0166259602560785	0.00529452135113443	0.0422888293717068	0.0170669425345276	0.0306716206849333	0.0286377887260166	0.0290320928991902	0.107722101718176	0.0641591960691869	0.0807599118586172	-0.0162738614171316
LV3003047071	-0.0216305020185851	-0.060263900396087	-0.0405684049332476	-0.0231036443369316	-0.0283090179994706	0.11935969988862	-0.0312712872718906	0.0417052384543719	-0.0180054766731192	0.0231111459247252	0.0233645265444777	0.136385635156364	0.0559709159622505	0.0799893811509713	-0.0179787909149822
LV3003047169	-0.030144775975999	-0.0662367683097716	-0.0405684049332476	-0.0123187578539021	-0.0184521862586576	0.174906475179289	-0.0072829949393488	0.0887888110150917	0.00460172928717912	0.017642735932157	0.0123279560264522	0.143596469394341	0.053119237913047	0.0714935204618984	-0.019863469025367
LV3003047156	-0.030144775975999	-0.0476970296215207	-0.0366581976733377	-0.0186100715614723	-0.0236049657341357	0.108277136320116	0.0252712041524319	0.128162472090644	0.00334497283733872	0.0240778837450424	0.0257391916533651	0.124702745030796	0.063614529452296	0.0638469701838774	-0.0281374644500544
LV3003047144	-0.030144775975999	-0.0374588267683372	-0.0405684049332476	-0.00998647169981838	-0.0283090179994706	0.171363258769987	0.0361664639780236	0.16498482959451	0.00607220767143687	0.0348400442146505	0.0243868050970085	0.136580315441491	0.0644273468343714	0.076594095757434	-0.0277905788811371
LV3003047131	-0.0104323553177369	-0.000229679035017349	-0.0288629613283546	-0.0174237688604159	-0.0265024771153907	0.0933989041426741	-0.0427536534751746	-0.0284553186685562	-0.0330592452019794	0.0560831157399687	0.0491730142832456	0.061578446503779	0.0713316144037922	0.0808099577066846	-0.0248770899364174
