state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance
5	IG-C	turquoise	DCI	13	13	-1.88448624042044	-1.94118944792038	0.822283604521278	0.76170605710815	0.436343650000767	0.541928139891847	0.763646815229016	1.2768928896421	0.628767326266568
5	IG-C	yellow	DCI	13	13	0.337192464258579	-0.827276480526645	3.26366529067712	1.3673535167264	9.67893899364948	2.76360684457087	2.71405140308305	2.84107608261958	0.0226467423624946
1	G-A	blue	MII	66	66	-8.51916457455989	-4.30762509930629	6.51033889780656	12.7098415826548	0.764199217050916	-3.13646000094533	-1.74107848585917	5.2047667272713	0.00292340260748472
1	G-A	brown	MII	60	60	-1.36967156957884	-0.782098066397682	9.77372111625759	13.3150519081187	7.13581367485264	3.69570699392573	3.80308464126846	7.25710494734921	0.00167454912824539
1	G-A	green	MII	67	67	-14.7991008887894	-14.8163840550347	0.159886237379907	0.114215846250749	0.0108037804851391	-9.23705276443998	-9.13796843773659	9.23705276443998	0.00729897573293151
1	G-A	grey	MII	75	75	-1.92931920405968	-1.87119162591929	0.298075346505214	0.44492405685112	0.154497682849993	3.46517209663988	3.00592372135499	3.54967701471158	0.264992591477075
1	G-A	turquoise	MII	75	75	-2.9653460537956	-2.94531997599627	0.372947382722467	0.45782445486512	0.125768586855184	2.42914524690396	2.07066688446987	2.75929156825896	0.643992105144893
1	G-A	yellow	MII	75	75	-3.23352230231905	-3.19803340483842	0.334121756291895	0.31835440715816	0.10333058660281	2.16096899838051	1.69285967590755	2.56866757790924	0.0805826514594304
2	IG-D	blue	MII	14	14	-11.9713210268404	-14.9141228466324	6.10327479763398	0.779283476502501	0.509824670472883	-5.25045931165511	-6.34342306052498	6.14335953157127	0.00188229200204814
2	IG-D	brown	MII	18	18	-4.17681672400254	-0.446978648711754	9.61490428456022	14.1128825258154	2.30196939916159	1.67333498310712	1.99277895893948	6.3843452033056	0.00564892514845446
2	IG-D	green	MII	26	26	-14.5310566129508	-14.5823292649259	0.297173057355703	0.514507592847801	0.0204508911685643	-7.01306936905416	-6.3798381747459	7.01306936905416	0.015747604135016
2	IG-D	grey	MII	51	51	-1.90868924590723	-1.87183181926646	0.510092383846377	0.668170978599215	0.267247476214454	4.59523067105776	4.93285957191226	4.65237413148119	0.470146461803202
2	IG-D	turquoise	MII	51	51	-4.68034508499949	-3.24015994937324	3.95990012066459	1.29909105292201	0.846070118495338	1.8235748319655	2.79579101902197	3.74806128417009	0.483202554193621
2	IG-D	yellow	MII	47	47	-8.69548545987041	-3.90696037804176	5.9323036103007	11.6352480485359	0.682227994938089	-2.1624016253518	-1.13126798123828	4.77369728394729	0.0391857390627829
3	IG-A	blue	MII	31	31	-5.19286128860954	-3.33716303713133	4.50251613435321	0.6727275371519	0.867058810954456	-0.452552418500449	1.23459231444283	2.52967988754948	0.0126907272325412
3	IG-A	brown	MII	32	32	-0.966139551752322	-1.2438439287774	2.68378964014067	0.813626411721334	2.77784884727365	3.68235060517741	3.11439504617209	3.68235060517741	0.044409691195722
3	IG-A	green	MII	30	30	-14.7635834874581	-14.8191936895329	0.183830005532606	0.0844668020511232	0.0124515843791429	-10.0367313301374	-10.2316788880933	10.0367313301374	0.0068277564500307
3	IG-A	grey	MII	32	32	-1.81298300512539	-2.03577528001683	0.624209489702783	0.703677251395545	0.344299691689394	2.83550715180435	2.57661035570328	2.86162708475708	0.287632889784009
3	IG-A	turquoise	MII	32	32	-2.75686722401663	-2.73532699295806	0.248057700318429	0.37520023150789	0.0899781092674535	1.89162293291311	1.86571310211669	1.95763778301829	0.582619269396638
3	IG-A	yellow	MII	32	32	-3.21012506939844	-3.20039740500768	0.206390431711509	0.220253703569257	0.0642935796112722	1.4383650875313	1.47736983784883	1.61825777579381	0.0666429859452034
4	IG-B	blue	MII	33	33	-10.8541786491046	-14.6633177648709	5.43738387370852	10.7950288197207	0.50094844110172	-3.88824882104819	-6.31431020852412	5.25893175973839	0.00261117167484127
4	IG-B	brown	MII	24	24	-8.0262700309736	-8.57631857267243	7.26788166556339	13.947181035454	0.905511730544379	-1.3387840261467	-1.67871189215735	5.80441467511363	0.00169710702698156
4	IG-B	green	MII	43	43	-14.7554044607104	-14.7707169223064	0.0802124298333246	0.102510066375601	0.00543613901244851	-8.06675053126169	-7.98131234696412	8.06675053126169	0.0362565516658289
4	IG-B	grey	MII	43	43	-2.17241249971143	-2.15315355293105	0.273514218614194	0.27517656565026	0.125903445432452	4.51624142973729	4.64145974958263	4.51624142973729	0.341571290156376
4	IG-B	turquoise	MII	43	43	-3.0201660790902	-3.02984130677892	0.342613936557403	0.418242978208415	0.11344208483416	3.66848785035852	3.83991690330661	3.66848785035852	0.580391945781092
4	IG-B	yellow	MII	43	43	-3.07539947544304	-3.07236793643503	0.262528874106765	0.273969061355365	0.0853641538938434	3.61325445400568	3.69785525997852	3.61325445400568	0.038829067421882
5	IG-C	blue	MII	13	13	-6.41051125957565	-3.97156200311761	4.9257697691015	1.15473446603964	0.768389535506029	-0.470951970069231	1.71029369332021	3.21109562057599	0.00330698039360187
5	IG-C	brown	MII	4	4	-4.28230924717983	-7.65979397737025	14.0866166735565	18.8409137211568	3.28949075381081	0.943959966252145	-1.74551125154473	9.29176053590338	0.000295340014485379
5	IG-C	green	MII	13	13	-14.7842721582844	-14.7860802647917	0.0421144421502281	0.0675606725605995	0.00284859759745624	-8.84471286877794	-9.11092661430554	8.84471286877794	0.100148521809168
5	IG-C	grey	MII	13	13	-2.74165677957191	-2.83452546790763	0.566146123376699	0.62924706864724	0.206497810956884	3.19790250993451	2.73054592491771	3.21040191940901	0.245039555317557
5	IG-C	turquoise	MII	13	13	-3.09591076731861	-3.36386817136457	0.729714741416272	0.94368776724855	0.235702769317309	2.84364852218781	3.07086904620825	2.96462295228587	0.628767326266568
