module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	centered_abs_mean	mean_module_abundance	median_module_abundance
blue	DCI	157	157	-1.71670360378125	0	5.69959393122794	1.58272776210653	3.32008036720718	1.08954513939242	2.05036392921132	3.77885567171158	0.00472527780075177	0.00216616016402496
brown	DCI	138	138	-6.25066063871968	-2.10679410723176	6.61919228539618	13.6716779998915	1.05895883139034	-3.27452170297141	-0.412654232068706	4.98648045879529	0.0120664901980834	0.00166911782915935
green	DCI	179	179	-3.84606917653929	0	4.65093335529932	9.33518287402724	1.20926929335271	-1.14899858117066	0.654980675996809	3.84312407125143	0.0221467278227238	0.00969887105926693
grey	DCI	214	214	-2.14464918145446	-1.77631114738951	2.26484841359482	0.929320595638418	1.05604610450034	0.620680601729723	0.853427564540233	1.93402899806548	0.331445075148059	0.284602555616987
turquoise	DCI	214	214	-2.35176263278726	-1.74565742547725	2.76389470704091	0.815277572072268	1.17524390791311	0.413567150396931	1.01119967573542	2.23005644134094	0.582791512525637	0.620605166195879
yellow	DCI	210	210	-1.50537329297807	-0.606483668913456	3.81832149148966	1.36624200823816	2.53646156026583	1.262700643809	1.91270564885386	2.9643859377207	0.0570574366452759	0.053011334190938
blue	MII	157	157	-8.48641145247483	-4.30452307351902	6.11432877839202	11.7600908622493	0.720484602076292	-2.73233440830935	-0.62387521694606	4.60656500060378	0.00472527780075177	0.00216616016402496
brown	MII	138	138	-2.88434187387635	-1.18417506644798	8.61543407006544	13.5333274222168	2.98696702637642	2.4734977676423	3.23334497385841	6.12067191458313	0.0120664901980834	0.00166911782915935
green	MII	179	179	-14.7426405920536	-14.7912119746194	0.19236486523865	0.1330280563113	0.013048196083837	-8.73841239584009	-8.7929583754029	8.73841239584009	0.0221467278227238	0.00969887105926693
grey	MII	214	214	-2.0052001104289	-2.02354467907252	0.479601914164727	0.522532077802705	0.239179078272713	3.83528978709125	3.70074259317614	3.88318939229979	0.331445075148059	0.284602555616987
turquoise	MII	214	214	-3.36183311174858	-2.99572911503937	2.08466713338551	0.557320453203928	0.620098340426308	2.47865678577157	2.4749563033596	3.07022186034493	0.582791512525637	0.620605166195879
yellow	MII	210	210	-4.40283238139908	-3.16969337072225	3.62650882887086	0.416567953450135	0.823676332579	1.43154791634602	1.78312242650711	3.16543349037442	0.0570574366452759	0.053011334190938
blue	SRPI	157	157	-3.74682652035105	-1.75312711848999	3.63331559286612	8.03824420943168	0.969704781668329	-2.02176696608833	-0.65584943277114	2.35676811350642	0.00472527780075177	0.00216616016402496
brown	SRPI	138	138	-1.93275288931797	-0.714564248023138	3.10856156337431	0.989282634301428	1.60835954795611	-0.228182540542888	0.444256202887154	1.81095160100507	0.0120664901980834	0.00166911782915935
green	SRPI	179	179	-2.87036149872855	-1.56874767046278	3.00217263667524	0.816183659102725	1.04592144160416	-1.13345712071913	-0.459509176563673	1.70279729164122	0.0221467278227238	0.00969887105926693
grey	SRPI	214	214	-0.478887075176297	-0.440493372373456	0.301212575467096	0.329240426345414	0.628984558324545	1.19417688526093	0.74008550877443	1.20623640909829	0.331445075148059	0.284602555616987
turquoise	SRPI	214	214	-0.833166003020048	-0.830889158254472	0.162831671546871	0.219484519693918	0.195437248947558	0.83989795741718	0.329146218680963	0.903898148686382	0.582791512525637	0.620605166195879
yellow	SRPI	210	210	-1.1232721031223	-1.06727613684494	0.844222346573278	0.270475186063386	0.751574212718928	0.554778154982834	0.199732476858607	0.86357259848557	0.0570574366452759	0.053011334190938
