sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	state	label
LV3003061516	ST13	48.537	4.45537	8.80675928823849	0.457035727717188	-0.401526908114912	-0.831800970874398	4	IG-A
LV3003061504	ST13	50.268	4.33732	8.96741444022863	0.5135314376518	-0.356571027881371	-0.764495439222627	4	IG-A
LV3003061475	ST13	53.844	4.38936	6.25962485846197	0.620932438743154	-0.292826977047044	-0.659833039045307	4	IG-A
LV3003061539	ST13	130.0556	3.677784	12.6881606418456	0.877544457415573	-0.492402960433409	-0.596406356769425	4	IG-A
LV3003061513	ST13	138.493	4.88014	10.3255171456423	1.04502344437197	-0.434915867767409	-0.480584324312308	4	IG-A
LV3003061500	ST13	148.086	4.71344	9.56141856461617	0.72825672150545	-0.522058273235045	-0.76896460702667	4	IG-A
LV7008886751	GeoB25202_R1	7.1335	3.376675	6.13742853745238	-0.0261203911275394	-0.626838833995556	-0.684673043436267	4	IG-A
LV7008886703	GeoB25202_R1	27.6855	4.75	7.86592749392857	-0.792490321420838	-0.672639179008034	-1.12262412610946	4	IG-A
LV7008886776	GeoB25202_R1	36.607	4.45607	9.28041102375	-1.34118645085615	0.0919604951156508	-0.716279273718667	4	IG-A
LV7008886740	GeoB25202_R1	43.105	4.4621	8.3026120984	-0.453524921402032	-0.518822083936338	-0.850725903589785	4	IG-A
LV7008886221	GeoB25202_R1	50.3555	4.336445	8.9755353679	-0.083163783097629	-0.549718094054212	-0.851901860585585	4	IG-A
LV7008886692	GeoB25202_R1	53.875	4.3875	6.235490352	0.809391921080038	-0.471620082727258	-0.329607606343472	4	IG-A
LV7008886765	GeoB25202_R1	58.181	4.47914	7.16758002833333	-0.40401462934533	-0.388109702800451	-0.905934642281513	4	IG-A
LV7008886222	GeoB25202_R1	136.2775	4.81445	10.5709554267778	0.169038957644647	-0.244101432883793	-0.479478266602756	4	IG-A
LV7008886709	GeoB25202_R1	147.206	4.79734	9.36027059022222	0.284765792364445	-0.496947112407692	-0.536244859423779	4	IG-A
LV7008886702	GeoB25202_R2	2.324	3.21564	6.90941715213889	-0.580540538018151	-0.787257358916509	-0.899425247159124	4	IG-A
LV7008886763	GeoB25202_R2	7.1335	3.376675	6.13742853745238	1.78960261619628	-0.582604162248348	0.127555690383008	4	IG-A
LV7008886715	GeoB25202_R2	27.6855	4.75	7.86592749392857	-1.12312564689277	-0.78306947913038	-0.96550445054513	4	IG-A
LV7008886226	GeoB25202_R2	36.607	4.45607	9.28041102375	0.410727196418265	-0.525805207840904	-0.495884256946694	4	IG-A
LV7008886752	GeoB25202_R2	43.105	4.4621	8.3026120984	-0.163230899532461	-0.577809327308929	-0.954927442146468	4	IG-A
LV7008886728	GeoB25202_R2	50.3555	4.336445	8.9755353679	0.128274561201963	-0.615879154936673	-0.820325830881486	4	IG-A
LV7008886704	GeoB25202_R2	53.875	4.3875	6.235490352	0.466511702492954	-0.440175125605171	-0.520417601147517	4	IG-A
LV7008886721	GeoB25202_R2	147.206	4.79734	9.36027059022222	-0.226999010239746	-0.314971447507761	-0.666461757940053	4	IG-A
LV3003047028	ST8	4.753	3.26988	6.51953039778323	2.59664811401747	-0.235685175488034	0.790813753064894	5	IG-C
LV3003047141	ST8	39.15347	4.55	8.89722610078355	2.66886379607249	-0.33920606068516	0.763315781972101	5	IG-C
LV3003047140	ST8	46.0948	4.361896	8.58009723613548	1.96039048566636	-0.311653775688725	0.368131022236697	5	IG-C
LV3003047127	ST8	47.6248	4.423736	8.72209745713196	1.38904047216535	-0.23260679518312	0.0617392516075814	5	IG-C
LV3003047065	ST8	53.61018	4.4033892	6.44166131978254	1.32137483383672	-0.283897126623499	0.0123187772560573	5	IG-C
LV3003047161	ST8	54.98346	4.3111578	6.47543092855096	2.63026029960499	-0.359020246002722	0.737166991052779	5	IG-C
