sample	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV7001898088	0.105856936069306	0.100456359484386	-0.00686180208101946	-0.0243264152941973	0.0773512690550857	0.0739767188664059	0.104807805154712	0.0228016724319625	-0.023656871221937
LV7001898076	0.0163924500663827	0.0639318143957766	-0.00630827803069948	0.235485925847038	0.106977914749047	0.193820256195226	0.193270877142384	0.284082648724241	-0.030570747303846
LV7001898064	-0.0298954588238713	-0.029628599776659	-0.0438592172023118	0.203477453714043	0.0547923798217444	0.0562916831119501	0.0320061646437736	0.0197457440761833	-0.0168877215240428
LV3003061546	-0.0298954588238713	-0.0505668543831095	-0.0466096198164225	0.264686299417342	-0.0118916320325592	-0.0475954169365341	-0.0386568065412323	-0.00530623088004992	-0.00887521963534785
LV3003061533	-0.0298954588238713	-0.0449365718045126	-0.0466096198164225	0.285251243944297	0.0254821385997597	-0.0143738835051956	-0.0131267050768218	-0.0188590491182139	-0.0128193955328417
LV3003061518	-0.0105834914566346	0.0261447818532041	-0.00969070289520552	0.0382625058586867	0.0850599748470192	0.156589732720013	0.152283826753555	0.180992007525408	-0.0298637676038532
LV3003061506	-0.0298954588238713	-0.0510047648770479	-0.0412615750106643	0.131157372219563	0.0178542277823126	-0.0316741302773005	-0.02396717087039	-0.0241619571535799	-0.0259953377812515
LV3003061492	0.000590206139389755	0.0242834347054007	0.0143827324823883	0.151861920189403	0.110798189006612	0.195915421438161	0.204641736799317	0.309077573632187	-0.0378146382362986
LV3003061477	0.0159525382205036	0.0292105916356542	0.00116484158749615	0.0344643092368615	0.101980290189678	0.193607840190031	0.19279408809511	0.295976206937833	-0.040016858654229
LV3003061572	-0.0127240918059549	0.000242021272299061	-0.0230345859797892	0.0599286585095088	0.100365636458981	0.182525050128542	0.187333453565872	0.265663906729475	-0.0312154457535016
LV3003061559	-0.0298954588238713	-0.00591483203897079	0.170268921743427	-0.00690752229033206	0.0602862546317243	0.0655038819637117	0.0802235534322424	-0.00144630807035655	-0.0196260605305843
LV3003061545	-0.0298954588238713	-0.0320996378582516	0.276618139353695	-0.00427906926488556	0.0663576015753658	0.0801266787784289	0.137245741134687	0.0245739915286608	-0.0228800702144956
LV3003061531	-0.0178531194257278	0.0255085781521488	0.277770296926614	0.00324434988148771	0.082450062306402	0.0972894600630934	0.142295466114932	0.0248853341683592	-0.0142718430808098
LV3003061517	-0.00556916301492839	0.0897906340383901	0.187259250301683	-0.0155690110028022	0.0771069897984653	0.0981771039985166	0.126340879461417	0.0350267028363199	-0.0204076885304209
