module	n	jaccard_median	jaccard_p05	jaccard_p95	source	method_family	setting_id	comparison_id
turquoise	500	0.388124839784671	0.245103123333136	0.524590953098107	balanced	balanced_candidates	top1	balanced_top1
yellow	500	0.80382994319223	0.737864077669903	0.875070224719101	balanced	balanced_candidates	top1	balanced_top1
blue	500	0.651723527328533	0.384536662168241	0.809230769230769	balanced	balanced_candidates	top6	balanced_top6
brown	500	0.20725900116144	0	0.770117322291235	balanced	balanced_candidates	top6	balanced_top6
turquoise	500	0.487908080773332	0.299369380122543	0.779167271144639	balanced	balanced_candidates	top6	balanced_top6
yellow	500	0.82	0.752372524230931	0.876288659793815	balanced	balanced_candidates	top6	balanced_top6
blue	500	0.484021481662991	0.315894076194671	0.78495868777728	balanced	balanced_candidates	top4	balanced_top4
brown	500	0.28059351815697	0	0.757352941176471	balanced	balanced_candidates	top4	balanced_top4
turquoise	500	0.480722779635823	0.284623720485874	0.783591483188257	balanced	balanced_candidates	top4	balanced_top4
yellow	500	0.821782178217822	0.752380952380952	0.878848484848485	balanced	balanced_candidates	top4	balanced_top4
blue	500	0.56890492045875	0.346904856125276	0.803957278275549	balanced	balanced_candidates	top5	balanced_top5
brown	500	0.187155893536122	0	0.757878079379562	balanced	balanced_candidates	top5	balanced_top5
turquoise	500	0.48090681248576	0.286630495940841	0.788244869514567	balanced	balanced_candidates	top5	balanced_top5
yellow	500	0.822916666666667	0.754716981132076	0.881783344772363	balanced	balanced_candidates	top5	balanced_top5
